Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,1,640,640,1,1,1,1,1,0,0,0.234041,0.234496,0.233813,NOT SUPPORT!,NOT SUPPORT!,1.401515,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0002190079977457,2.8228918889116428,1915.1373662938986,2513.6177932607416,82.98,43.78,15.68,47.15,64.05,6.02,0.0,26214400.0,16.0
64,1,768,768,1,1,1,1,1,0,0,0.333028,0.332914,0.332345,NOT SUPPORT!,NOT SUPPORT!,1.718386,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0003138879980681,2.756961122593839,1924.188818041277,2525.4978236791762,83.06,45.04,15.71,47.55,64.31,6.05,0.0,37748736.0,16.0
64,1,896,896,1,1,1,1,1,0,0,0.447829,0.448740,0.448057,NOT SUPPORT!,NOT SUPPORT!,2.542592,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0004261440006417,2.7190067343216877,1929.1215710231345,2531.972061967864,83.08,45.71,15.7,47.77,64.35,6.05,0.0,51380224.0,16.0
64,1,1024,1024,1,1,1,1,1,0,0,0.582428,0.582315,0.581746,NOT SUPPORT!,NOT SUPPORT!,2.954240,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0005558400012854,2.6966726731257533,1931.7462246634525,2535.4169198707814,83.07,46.11,15.69,47.82,64.37,6.06,0.0,67108864.0,16.0
64,1,2048,2048,1,1,1,1,1,0,0,2.293874,2.293874,2.292850,NOT SUPPORT!,NOT SUPPORT!,11.432846,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0022182399974321,2.6429728345706063,1936.204964734195,2541.269016213631,83.17,47.17,15.7,48.1,64.51,6.07,0.0,268435456.0,16.0
64,1,3072,3072,1,1,1,1,1,0,0,4.339712,4.340508,4.339257,NOT SUPPORT!,NOT SUPPORT!,22.599226,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0049846079983953,2.632742404933943,1938.7033883328515,2544.548197186867,83.15,47.4,15.7,48.04,64.55,6.08,0.0,603979776.0,16.0
64,2,1,1,2,1,1,1,1,0,0,0.010354,0.009899,0.008875,NOT SUPPORT!,0.048014,0.033337,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.177600481234573e-05,27.166666666666668,0.6956518896299762,3.543476812802691,24.48,1.87,0.1699999999999999,1.87,0.28,0.07,0.0,768.0,94.0
64,2,2,2,2,1,1,1,1,0,0,0.009557,0.010012,0.009444,NOT SUPPORT!,0.033109,0.033906,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.171200196094983e-05,38.35294117647059,2.797813739210009,14.251363734100982,29.9,1.87,0.39,1.87,0.97,0.25,0.0,1536.0,94.0
64,2,4,4,2,1,1,1,1,0,0,0.010809,0.010809,0.011378,NOT SUPPORT!,0.032882,0.034361,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.143998407872407e-06,33.723076923076924,21.333338861555575,45.6666785005174,3.12,1.31,0.47,1.31,1.4,0.35,0.0,2048.0,80.0
64,2,7,7,2,1,1,1,1,0,0,0.010581,0.010695,0.010923,NOT SUPPORT!,0.033564,0.035840,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.17600262858027e-06,34.076142131979694,64.99479099028089,139.12947446357,3.12,1.93,1.23,2.19,4.03,1.01,0.0,6272.0,80.0
64,2,8,8,2,1,1,1,1,0,0,0.010581,0.010695,0.010354,NOT SUPPORT!,0.033223,0.036181,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.3696005831195745e-05,40.5126213592233,38.28035753356762,194.99057118661003,36.43,5.0,4.340000000000001,2.78,14.55,3.94,0.0,20992.0,94.0
64,2,15,15,2,1,1,1,1,0,0,0.011036,0.010923,0.010695,NOT SUPPORT!,0.036181,0.036864,NOT SUPPORT!,NOT SUPPORT!,2,2,1,5.280002314693961e-06,10.227272727272727,174.54537802667946,223.63626559668305,47.12,1.93,0.92,2.84,4.25,0.15,0.0,29696.0,20.0
64,2,16,16,2,1,1,1,1,0,0,0.010581,0.010923,0.010468,NOT SUPPORT!,0.037433,0.037888,NOT SUPPORT!,NOT SUPPORT!,2,2,1,5.21600330131226e-06,10.25,201.03054761031223,257.5703891257125,48.03,2.01,0.99,3.06,4.88,0.16,0.0,32768.0,20.0
64,2,24,24,2,1,1,1,1,0,0,0.010240,0.011036,0.011378,NOT SUPPORT!,0.045056,0.039026,NOT SUPPORT!,NOT SUPPORT!,0,0,1,8.640004647436589e-06,34.20546163849155,546.1330395695983,1169.0660378286716,25.82,9.65,9.65,9.8,31.64,8.1,0.0,73728.0,80.0
64,2,32,32,2,1,1,1,1,0,0,0.011036,0.010923,0.010809,NOT SUPPORT!,0.043918,0.040960,NOT SUPPORT!,NOT SUPPORT!,2,2,1,5.792004186538558e-06,10.247498169392237,724.1541727038386,927.8225337767934,56.67,7.99,3.52,12.31,16.95,0.57,0.0,131072.0,20.0
64,2,48,48,2,1,1,1,1,0,0,0.011492,0.011605,0.011719,NOT SUPPORT!,0.071908,0.061554,NOT SUPPORT!,NOT SUPPORT!,0,0,1,1.884800455666487e-05,34.2462840403602,1001.3987392275862,2143.6191761590517,31.39,17.42,17.42,16.59,56.67,14.6,204.0,294912.0,80.0
64,2,64,64,2,1,1,1,1,0,0,0.012971,0.013653,0.013312,NOT SUPPORT!,0.072363,0.064398,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.8511996346382943e-05,34.24790967348184,1176.8531249919558,2519.201220685906,32.78,19.44,19.44,17.53,63.1,16.29,459.0,524288.0,80.0
64,2,96,96,2,1,1,1,1,0,0,0.017749,0.018432,0.017636,NOT SUPPORT!,0.213788,0.114802,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.7119996686076434e-05,10.24972195849722,2204.949959523109,2825.092135638984,85.26,22.47,11.44,32.29,48.23,1.78,0.0,1179648.0,20.0
64,2,97,97,2,1,1,1,1,0,0,0.018773,0.019001,0.018432,NOT SUPPORT!,0.214244,0.137216,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.7375999349260315e-05,10.249455337690632,2217.9595674098937,2841.7606957439257,85.42,22.12,11.36,32.86,47.62,1.76,0.0,1205248.0,20.0
64,2,128,128,2,1,1,1,1,0,0,0.068267,0.067925,0.090340,NOT SUPPORT!,0.217543,0.175445,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001114879966464,39.688720666162,0.0,3009.69010201364,35.92,49.28,48.61,9.58,67.72,41.86,345.0,540928.0,144.0
64,2,256,256,2,1,1,1,1,0,0,0.285924,0.305493,0.088292,NOT SUPPORT!,0.781312,0.575602,NOT SUPPORT!,NOT SUPPORT!,2,2,1,9.542400258996608e-05,6.3278798940241385,2813.0810772364957,3604.260130209261,85.22,32.31,14.08,43.21,59.09,2.22,0.0,8388608.0,20.0
64,2,384,384,2,1,1,1,1,0,0,0.629874,0.635790,0.186482,NOT SUPPORT!,NOT SUPPORT!,1.566037,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.000212000001933,5.601061346101109,2848.961181570557,3650.2315138872755,85.59,33.91,14.13,44.15,59.48,2.24,0.0,18874368.0,20.0
64,2,512,512,2,1,1,1,1,0,0,1.113884,1.101824,0.315051,NOT SUPPORT!,NOT SUPPORT!,2.123890,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0003651520003211,5.377770216853967,2940.5338682406077,3767.559018683279,85.21,35.47,14.6,45.86,61.31,2.31,0.0,33554432.0,20.0
64,2,640,640,2,1,1,1,1,0,0,2.094877,2.039239,0.571051,NOT SUPPORT!,NOT SUPPORT!,4.733497,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.000566240002576,5.284519331404588,2962.916064508915,3796.236207652047,85.06,35.82,14.73,46.05,61.72,2.33,0.0,52428800.0,20.0
64,2,768,768,2,1,1,1,1,0,0,3.010560,2.912370,0.821134,NOT SUPPORT!,NOT SUPPORT!,5.758862,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0008135360003194,5.2365178436865,2969.6523608684715,3804.8670873627293,85.04,36.04,14.72,46.25,61.67,2.33,0.0,75497472.0,20.0
64,2,896,896,2,1,1,1,1,0,0,4.082688,3.943879,1.111268,NOT SUPPORT!,NOT SUPPORT!,8.438442,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.001105824003858,5.205423750256986,2973.650711621068,3809.9899742644934,85.12,36.18,14.75,46.3,61.81,2.33,0.0,102760448.0,20.0
64,2,1024,1024,2,1,1,1,1,0,0,5.352789,5.164714,1.443044,NOT SUPPORT!,NOT SUPPORT!,10.085033,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.001437759998399,5.1845312619463435,2987.26303470858,3827.4307632203686,84.93,36.38,14.84,46.41,62.05,2.34,0.0,134217728.0,20.0
64,2,2048,2048,2,1,1,1,1,0,0,17.649549,16.985657,5.550535,NOT SUPPORT!,NOT SUPPORT!,33.567398,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0064686079974368,3.4217031291051034,2655.8834900503416,3402.850721627,85.73,48.76,13.03,49.77,55.13,2.08,0.0,536870912.0,20.0
64,2,3072,3072,2,1,1,1,1,0,0,39.601719,38.003262,12.526023,NOT SUPPORT!,NOT SUPPORT!,75.933365,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0145596799980299,3.4188933238020387,2654.9145083704066,3401.609213849584,85.69,48.81,13.03,49.82,55.12,2.08,0.0,1207959552.0,20.0
64,4,1,1,4,1,1,1,1,0,0,0.008875,0.008988,0.009102,NOT SUPPORT!,0.032882,0.033792,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.368001233741724e-06,21.1,1.4472359005158109,4.241205208456058,3.07,1.07,0.1,1.07,0.1,0.03,0.0,128.0,80.0
64,4,2,2,4,1,1,1,1,0,0,0.009671,0.009899,0.009216,NOT SUPPORT!,0.032540,0.033906,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.2671997436925776e-05,35.39393939393939,2.5858591088816945,23.59596436854546,28.88,1.81,0.51,1.81,1.03,0.32,0.0,1536.0,94.0
64,4,4,4,4,1,1,1,1,0,0,0.010354,0.010126,0.009557,NOT SUPPORT!,0.032996,0.034020,NOT SUPPORT!,NOT SUPPORT!,2,2,1,6.1440037791807765e-06,11.076923076923077,21.33332021118593,29.999981546980212,47.73,0.51,0.17,0.51,0.6,0.02,0.0,4096.0,20.0
