Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,4,96,96,4,1,1,1,1,0,0,0.032085,0.032768,0.032085,NOT SUPPORT!,0.161337,0.143815,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.051200000015154e-05,28.245345895956852,1715.5113696413941,4464.228450544082,45.33,30.03,28.19,36.75,71.44,22.18,3676.0,1179648.0,64.0
64,4,128,128,4,1,1,1,1,0,0,0.085561,0.085675,0.116053,NOT SUPPORT!,0.168391,0.202752,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001029119967498,26.12696025180357,1793.2736884765443,4666.58721205828,46.2,31.06,29.26,37.97,73.95,23.01,6434.0,2097152.0,64.0
64,16,32,32,16,1,1,1,1,0,0,0.022187,0.021959,0.034361,NOT SUPPORT!,0.050517,0.047900,NOT SUPPORT!,NOT SUPPORT!,1,1,1,1.8751996983358836e-05,21.30664795435824,1006.525759189795,4767.0178317183345,34.39,43.64,33.41,52.61,45.83,23.51,0.0,131072.0,64.0
64,32,24,24,32,1,1,1,1,0,0,0.024235,0.024121,0.039708,NOT SUPPORT!,0.076459,0.057572,NOT SUPPORT!,NOT SUPPORT!,1,1,1,2.271999589770767e-05,19.32592552441867,571.1324974891048,4017.397908474499,24.03,42.12,33.45,50.42,35.66,19.89,0.0,73728.0,80.0
64,32,32,32,32,1,1,1,1,0,0,0.030379,0.033223,0.053248,NOT SUPPORT!,0.079644,0.074524,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.2383999659302146e-05,19.326056466857736,712.3478335812554,5010.719420304513,28.78,51.7,42.0,61.67,44.32,24.75,0.0,131072.0,80.0
64,32,97,97,32,1,1,1,1,0,0,0.206734,0.206165,0.333938,NOT SUPPORT!,1.639196,0.689380,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0002524160012834,10.183946045896818,534.4503015422416,5563.3988053845,48.400000000000006,75.52,51.84,87.92,39.330000000000005,31.130000000000003,674746.0,1204384.0,80.0
64,48,15,15,48,1,1,1,1,0,0,0.023780,0.024007,0.044487,NOT SUPPORT!,0.057572,0.063147,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.3552002430486335e-05,37.7439446366782,586.9564611672191,4446.195193341684,20.86,34.82,32.95,41.86,38.68,23.38,0.0,57600.0,80.0
64,48,16,16,48,1,1,1,1,0,0,0.023893,0.024462,0.044487,NOT SUPPORT!,0.059847,0.068153,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.3167997971175503e-05,37.75517157459236,678.8950870752324,5142.630284594885,22.28,36.21,36.21,36.4,43.57,26.34,0.0,65536.0,80.0
64,64,15,15,64,1,1,1,1,0,0,0.027762,0.028444,0.054613,NOT SUPPORT!,0.070542,0.080782,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.816000067141191e-05,37.3886318115892,621.8181669923252,4921.363519024784,19.85,38.58,38.58,44.59,40.54,24.55,0.0,57600.0,80.0
64,64,16,16,64,1,1,1,1,0,0,0.028558,0.027534,0.054158,NOT SUPPORT!,0.074297,0.082375,NOT SUPPORT!,NOT SUPPORT!,1,1,1,2.7775997295091664e-05,37.44633249232453,717.2719592509684,5676.830045913915,21.77,43.92,43.92,40.0,47.08,28.51,0.0,65536.0,80.0
64,96,8,8,96,1,1,1,1,0,0,0.024804,0.025145,0.071225,NOT SUPPORT!,0.135509,0.101490,NOT SUPPORT!,NOT SUPPORT!,0,0,1,1.8975996520246835e-05,54.56054703029339,559.4874550420658,4628.722602593388,10.57,35.67,35.67,24.73,38.71,24.13,0.0,24576.0,80.0
64,128,8,8,128,1,1,1,1,0,0,0.033451,0.034475,0.093298,NOT SUPPORT!,0.177721,0.131413,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.831999761473509e-05,71.8442327040303,647.9548568341801,5486.789162692291,12.32,41.06,41.06,21.91,44.46,28.14,0.0,32768.0,80.0
64,256,4,4,256,1,1,1,1,0,0,0.031972,0.041529,0.124473,NOT SUPPORT!,0.456363,0.171691,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.347199934632913e-05,117.65202108963094,524.7265876851842,4608.000089989108,7.09,34.84,34.84,18.81,35.24,22.81,0.0,16384.0,80.0
64,1024,2,2,1024,1,1,1,1,0,0,0.094777,0.187164,0.154624,NOT SUPPORT!,6.061284,1.122532,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001138879999995,117.01589316667074,596.1584714833702,5387.005338601903,7.2,50.68,50.68,17.49,40.21,26.5,0.0,16384.0,80.0
64,4096,2,2,4096,1,1,1,1,0,0,0.949248,1.019108,0.860615,NOT SUPPORT!,NOT SUPPORT!,15.356587,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0014852160000043,111.0679896950714,0.7060090922781361,5785.126753263581,27.21,35.220000000000006,34.71,13.489999999999998,44.8,26.74,149272.0,41472.0,94.0
