Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,16,256,256,16,1,1,1,1,0,0,0.713500,0.714069,1.144832,NOT SUPPORT!,2.787783,1.836032,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.000720383996128,10.99930970617108,1676.827301123672,7941.640412266281,48.02,69.91,54.63,84.4,72.62,38.13,265387.0,8388608.0,64.0
64,16,512,512,16,1,1,1,1,0,0,2.585031,2.585258,4.169386,NOT SUPPORT!,NOT SUPPORT!,6.297942,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0029131520019234,10.678314753625628,1658.6289369074434,7855.450937297754,48.22,68.72,53.67,83.27,71.42,37.49,1038823.0,33554432.0,64.0
64,16,1024,1024,16,1,1,1,1,0,0,9.561998,9.747684,15.609743,NOT SUPPORT!,NOT SUPPORT!,23.950905,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0115895040013362,10.63322173733058,1667.6600508332083,7898.223296307278,48.25,69.33,54.15,84.0,72.04,37.82,4173651.0,134217728.0,64.0
64,48,32,32,48,1,1,1,1,0,0,0.050972,0.099442,0.093412,NOT SUPPORT!,0.128455,0.113664,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.833599901454254e-05,35.995127515999926,1078.4860302866514,8169.531679421385,32.66,56.18,56.18,54.92,67.22,40.84,8527.0,262144.0,80.0
64,48,48,48,48,1,1,1,1,0,0,0.102514,0.147456,0.148252,NOT SUPPORT!,0.523833,0.261689,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001211839960825,14.065480627808112,1168.1225621874187,8848.528408569695,34.83,60.6,60.6,65.03,72.38,44.03,25756.0,589824.0,80.0
64,48,96,96,48,1,1,1,1,0,0,0.426212,0.428259,0.571733,NOT SUPPORT!,3.281123,0.885305,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0004456960038657,12.94016135534785,1270.4422635357985,9623.600146283678,36.31,65.28,65.28,70.7,77.67,47.36,157456.0,2359296.0,80.0
64,48,97,97,48,1,1,1,1,0,0,0.409941,0.438613,0.558308,NOT SUPPORT!,2.974037,1.311516,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0004921600028975,12.896465255704264,1174.5955717583902,8897.561456069807,36.34,61.39,61.39,82.8,71.76,43.78,169737.0,2408704.0,80.0
64,64,32,32,64,1,1,1,1,0,0,0.064284,0.102741,0.121970,NOT SUPPORT!,0.160199,0.154510,NOT SUPPORT!,NOT SUPPORT!,0,0,1,7.404800032798457e-05,30.907875176415242,1076.2177999002965,8517.697455789848,32.64,65.05,65.05,57.93,68.58,41.77,16531.0,262144.0,80.0
64,64,48,48,64,1,1,1,1,0,0,0.124928,0.169074,0.189212,NOT SUPPORT!,0.719417,0.335872,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001498879990265,14.18115964859439,1322.1930060255318,9609.509883078419,45.57,73.95,73.95,69.65,77.63,47.85,37240.0,589824.0,64.0
64,64,97,97,64,1,1,1,1,0,0,0.484238,0.516665,0.721351,NOT SUPPORT!,4.157440,1.659107,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0006126079996781,13.02074147030339,1321.1132476645203,9601.662353561782,48.44,74.52,74.52,87.03,76.97,47.58,233377.0,2408704.0,64.0
64,128,15,15,128,1,1,1,1,0,0,0.069860,0.070201,0.142905,NOT SUPPORT!,0.189781,0.217202,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.87360003329375e-05,66.42903838371261,938.5474814874643,7947.485995024207,28.36,59.52,59.52,38.22,62.89,39.81,0.0,115200.0,80.0
64,128,16,16,128,1,1,1,1,0,0,0.074297,0.176583,0.164068,NOT SUPPORT!,0.195356,0.239275,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.899199739401337e-05,70.13617586734841,1063.8961440819098,9008.920562922172,29.14,65.11,65.11,33.19,69.8,44.19,0.0,131072.0,80.0
64,256,7,7,256,1,1,1,1,0,0,0.052224,0.061895,0.141881,NOT SUPPORT!,0.458866,0.260551,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.051199901786706e-05,134.91346470222643,888.8926638189246,7806.003299618803,17.18,57.93,57.93,31.81,59.8,38.72,0.0,50176.0,80.0
