Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,48,128,128,48,1,1,1,1,0,0,0.665941,0.626119,0.874268,NOT SUPPORT!,3.091683,1.434396,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0005164479950235,17.03557827545528,0.0,12734.425799640758,36.72,47.98,47.3,41.39,86.11,36.95,42588.0,1065216.0,144.0
64,48,256,256,48,1,1,1,1,0,0,2.974037,2.769238,3.902009,NOT SUPPORT!,12.313374,5.381575,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0022230399995469,10.896675870903161,0.0,11833.64882924366,52.040000000000006,58.87,53.58,61.620000000000005,87.55,36.75,165811.0,4260096.0,144.0
64,48,512,512,48,1,1,1,1,0,0,10.156640,9.744099,13.827435,NOT SUPPORT!,NOT SUPPORT!,21.467695,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0088598719995563,10.750393552553854,0.0,11876.774151733764,94.22,70.95,61.37,76.05,109.1,37.81,667682.0,17039616.0,144.0
64,48,640,640,48,1,1,1,1,0,0,16.856405,15.922402,22.442554,NOT SUPPORT!,NOT SUPPORT!,39.142857,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0138941120001631,10.746506298425004,0.0,11833.553436021672,93.32,76.0,64.84,82.07000000000001,118.08,38.17,1041118.0,26624256.0,144.0
64,48,768,768,48,1,1,1,1,0,0,26.477110,21.972536,30.982483,NOT SUPPORT!,NOT SUPPORT!,48.066563,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0200005119973621,10.744290656679691,0.0,11837.700566026842,96.44,80.56,68.04,87.47999999999999,126.25,38.59,1504527.0,38338816.0,144.0
64,64,96,96,64,1,1,1,1,0,0,0.545906,0.503694,0.734663,NOT SUPPORT!,4.627115,1.147108,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0003765120035908,17.24049140393866,0.0,13033.676571261141,36.42,47.39,46.77,41.96,86.31,34.07,36163.0,599296.0,144.0
64,64,128,128,64,1,1,1,1,0,0,0.800199,0.739783,1.078386,NOT SUPPORT!,4.226275,1.705188,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0006543679995728,16.78116499538107,0.0,13332.180555429833,36.78,48.69,48.0,43.44,89.21000000000001,34.75,57004.0,1065216.0,144.0
64,64,256,256,64,1,1,1,1,0,0,3.767524,3.449287,4.970610,NOT SUPPORT!,16.901007,7.058887,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0025607360013519,16.211941033033902,0.0,13627.570066409377,52.11,53.26,51.34,49.71,98.58,35.61,245403.0,4260096.0,144.0
64,96,32,32,96,1,1,1,1,0,0,0.176924,0.168391,0.263168,NOT SUPPORT!,0.395492,0.318692,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001373119987796,26.662494835891447,0.0,11851.767991609602,33.400000000000006,38.39,37.83,28.65,78.19999999999999,29.130000000000003,3515.0,132352.0,144.0
64,96,96,96,96,1,1,1,1,0,0,1.265436,1.192391,1.518251,NOT SUPPORT!,9.380751,2.462606,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0008456639985726,12.289754422273626,0.0,12989.653331040969,36.6,53.91,53.28,55.02,85.11,33.54,62166.0,894208.0,144.0
