N,C,H,W,perf
1,64,128,128,31.96
1,64,128,128,32.15
1,256,50,50,31.14
1,256,64,64,32.36
1,256,64,64,31.92
1,256,64,64,31.87
1,256,100,100,30.05
2,48,128,128,33.8
2,64,128,128,35.0
2,64,128,128,34.75
2,128,64,64,31.11
2,256,50,50,35.04
2,256,50,50,35.27
2,256,100,100,34.63
2,512,1,1,39.62
2,512,1,1,39.79
2,512,1,1,39.65
2,512,1,1,39.63
3,256,64,64,36.76
3,256,64,64,36.44
4,64,64,64,31.57
4,64,64,64,31.95
4,64,128,128,39.9
4,64,128,128,40.0
4,128,64,64,37.7
4,128,64,64,34.41
4,128,64,64,35.03
4,256,32,32,32.14
4,256,32,32,31.8
4,256,32,32,32.18
4,256,32,32,31.57
4,256,56,56,33.48
4,256,56,56,33.1
4,256,64,64,39.96
4,256,64,64,40.0
4,256,64,64,39.87
4,512,1,1,38.92
4,512,1,1,39.11
4,512,1,1,39.15
4,512,1,1,38.98
4,512,32,32,35.31
4,512,32,32,35.01
6,256,25,25,37.49
6,256,32,32,34.24
6,256,50,50,35.2
6,256,50,50,35.35
6,384,16,16,30.61
8,128,23,23,34.02
8,128,32,32,31.85
8,128,46,46,35.55
8,128,64,64,39.98
8,128,92,92,37.81
8,256,20,20,33.78
8,256,20,20,33.66
8,256,20,20,33.72
8,256,20,20,33.83
8,256,20,20,33.8
8,256,40,40,34.24
8,256,40,40,34.26
8,256,40,40,34.18
8,256,40,40,34.19
8,256,40,40,34.16
8,256,80,80,38.46
8,256,80,80,38.51
8,256,80,80,38.52
10,64,64,64,33.39
10,256,32,32,35.98
10,512,16,16,33.05
12,64,64,64,36.52
16,32,160,160,39.91
16,32,160,160,39.93
16,64,20,20,30.19
16,64,20,20,30.08
16,64,32,32,31.76
16,64,40,40,30.62
16,64,64,64,39.94
16,64,64,64,39.83
16,64,80,80,35.09
16,256,16,16,31.91
16,256,16,16,31.69
16,256,40,40,33.11
25,256,16,16,34.14
25,256,16,16,33.17
64,256,8,8,33.15
64,256,8,8,33.3
64,256,16,16,40.0
64,256,16,16,39.99
