,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
16,1.0015999299796262e-05,0.0,0.0,0.0,1294720.0,0.0,254080.0,0.0,0.0,0.0,0.0,1.95,276608.0,1004768.0,860320.0,2843520.0,0.0,2843520.0,10.279962980101805,2.830026433962865,3.3051887669704296,264.400414587137,0.0,25.71997730915161,1.6540178333859556
17,1.9295996022268312e-05,0.0,0.0,0.0,0.0,512.0,6537216.0,0.0,0.0,0.0,0.0,47.57,16777344.0,34444128.0,16793568.0,6537728.0,0.0,6537728.0,0.3896759820863183,0.18980675022459562,0.38929952229329706,315.54389138912927,0.0,809.759661603245,52.07457630889035
18,1.4719998216926243e-05,0.0,0.0,0.0,0.0,40960.0,5611520.0,0.0,0.0,0.0,0.0,15.59,4096128.0,9576928.0,6748352.0,5652480.0,0.0,5652480.0,1.3799568763476142,0.5902184917752331,0.8376089451172671,357.62791197278835,0.0,259.1587593079982,16.66615815485519
19,0.0003040960025786,0.0,0.0,0.0,21962752.0,0.0,41017344.0,0.0,0.0,0.0,0.0,25.49,134838272.0,273917376.0,1214096960.0,84942848.0,0.0,84942848.0,0.629960965385258,0.31010390520096104,0.06996380915079468,260.1454515143908,0.0,412.9548746806822,26.55658358075127
20,1.3247995872121112e-05,0.0,0.0,0.0,280000.0,0.0,121920.0,0.0,0.0,0.0,0.0,1.3,327808.0,882528.0,1331200.0,681920.0,0.0,681920.0,2.080242092932448,0.7726893650966314,0.5122596153846154,47.93838224378194,0.0,23.044616973500805,1.4819689372026241
21,2.7551998649279012e-05,0.0,0.0,0.0,0.0,512.0,2281472.0,0.0,0.0,0.0,0.0,16.11,8601856.0,17814176.0,8372128.0,2281984.0,0.0,2281984.0,0.2652897235201333,0.12809932943291905,0.27256917237767986,77.13644447957108,0.0,290.7630324162069,18.698587293646746
22,0.0009874880012915,0.0,0.0,0.0,11067392.0,0.0,108044288.0,0.0,0.0,0.0,0.0,50.88,418391296.0,838659360.0,3404862656.0,130179072.0,0.0,130179072.0,0.3111419220346305,0.1552228213371398,0.03823328138378807,122.77486747943267,0.0,394.59442390976704,25.375847196769584
23,2.671999595374787e-05,0.0,0.0,0.0,0.0,512.0,2195456.0,0.0,0.0,0.0,0.0,15.95,8257664.0,17202464.0,8273920.0,2195968.0,0.0,2195968.0,0.26593089764853595,0.12765427092304915,0.26540841584158414,76.54022759110262,0.0,287.81998732716266,18.50932394386898
24,2.2111998956016755e-05,0.0,0.0,0.0,0.0,512.0,7160320.0,0.0,0.0,0.0,0.0,45.96,19269760.0,39708544.0,19640800.0,7160832.0,0.0,7160832.0,0.37160981766249296,0.18033479142423353,0.36458962975031567,301.6029671444171,0.0,811.611945673464,52.193694255528236
25,8.19199914110088e-06,0.0,0.0,0.0,0.0,73728.0,294912.0,0.0,0.0,0.0,0.0,6.75,295040.0,2330016.0,1474560.0,368640.0,0.0,368640.0,1.2494577006507592,0.15821350583000288,0.25,41.90952025174561,0.0,33.54216811815056,2.1570526120997147
