Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,16,128,128,16,1,1,1,1,0,0,0.360814,0.361049,0.580743,NOT SUPPORT!,1.449845,0.822692,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0003650880009671,11.362262957573613,1654.340253309031,7835.1392552552725,47.75,68.99,53.87,82.49,71.67,37.61,128336.0
128,48,24,24,48,1,1,1,1,0,0,0.055296,0.055637,0.100011,NOT SUPPORT!,0.196722,0.159630,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.419199967486365e-05,34.71754662246167,1102.6121690942687,8352.287180889085,33.12,56.82,56.82,55.69,68.0,41.31,8697.0
128,48,32,32,48,1,1,1,1,0,0,0.093184,0.145636,0.138012,NOT SUPPORT!,0.205483,0.196039,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001075520032253,14.80955970239788,1169.9374835112378,8862.276437597626,34.61,59.99,59.99,64.15,71.62,43.59,25526.0
128,48,48,48,48,1,1,1,1,0,0,0.189668,0.231538,0.268516,NOT SUPPORT!,0.929906,0.496412,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002289920019402,13.254661962248628,1236.3554953938262,9365.392877608234,35.78,63.68,63.68,68.71,75.89,46.24,69336.0
128,48,97,97,48,1,1,1,1,0,0,0.760946,0.806116,1.037995,NOT SUPPORT!,5.362916,2.567395,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0009702399999968,12.754094522592757,1191.6411609537984,9026.681794225022,36.58,62.11,62.11,83.79,72.57,44.28,347025.0
128,48,384,384,48,1,1,1,1,0,0,11.571654,11.760413,164.166321,NOT SUPPORT!,NOT SUPPORT!,29.849941,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0141840319961506,12.616624286317425,1277.4501132623936,9676.684607962632,36.84,65.39,65.39,71.37,77.82,47.46,5156974.0
128,48,512,512,48,1,1,1,1,0,0,20.746695,20.768768,341.356415,NOT SUPPORT!,NOT SUPPORT!,42.706146,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0250861759966867,12.59678692427477,1284.063969106112,9726.784565978796,36.85,65.74,65.74,71.68,78.22,47.71,9256718.0
128,64,24,24,64,1,1,1,1,0,0,0.070087,0.070201,0.129138,NOT SUPPORT!,0.252928,0.190009,NOT SUPPORT!,NOT SUPPORT!,0,0,1,8.121599644027857e-05,26.690728052732183,1103.8865732063718,8736.681233995168,33.14,65.79,65.79,59.55,69.36,42.23,16532.0
128,64,32,32,64,1,1,1,1,0,0,0.115257,0.159403,0.173966,NOT SUPPORT!,0.265671,0.254293,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001352960003237,14.165472672285915,1178.0359479856743,9323.53450938662,34.68,70.33,70.33,68.38,73.94,45.07,37085.0
128,96,15,15,96,1,1,1,1,0,0,0.062009,0.062692,0.133575,NOT SUPPORT!,0.194332,0.244167,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001533759961115,129.0011978780446,168.24536207895687,9436.762183750063,22.11,32.34,32.34,21.16,66.27,26.75,40997.0
128,128,15,15,128,1,1,1,1,0,0,0.117077,0.193877,0.211854,NOT SUPPORT!,0.253611,0.318464,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002055999990438,117.4654410216827,161.36965055594194,9379.610938564125,22.16,32.0,32.0,20.81,64.31,25.62,22915.0
128,256,7,7,256,1,1,1,1,0,0,0.091136,0.104334,0.175104,NOT SUPPORT!,0.729771,0.444530,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001067840035463,124.84059539918809,1007.4293941728456,8846.959250693255,27.06,64.73,64.73,34.93,66.74,43.21,0.0
128,384,4,4,384,1,1,1,1,0,0,0.070201,0.120946,0.157468,NOT SUPPORT!,1.514041,0.544427,NOT SUPPORT!,NOT SUPPORT!,0,0,1,8.163200065061953e-05,185.31035664120046,953.7530304227466,8481.417415741673,16.67,63.21,63.21,26.56,64.24,41.91,0.0
128,384,7,7,384,1,1,1,1,0,0,0.175900,0.215836,0.330524,NOT SUPPORT!,1.518364,0.934684,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002178560009666,173.69882663814528,1094.4676802203637,9732.747312868712,29.99,70.56,70.56,33.68,72.96,47.61,0.0
128,512,4,4,512,1,1,1,1,0,0,0.136761,0.218453,0.202069,NOT SUPPORT!,2.680035,0.943218,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.00014710399903,234.14344921741673,933.7846483152812,8356.837992890289,20.14,61.5,61.5,24.66,62.72,41.08,0.0
128,768,4,4,768,1,1,1,1,0,0,0.200135,0.274432,0.296846,NOT SUPPORT!,5.760455,1.956978,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.000287903998069,309.096241979835,1065.3151121801832,9595.347846951123,26.15,69.78,69.78,26.91,71.5,47.02,0.0
128,896,4,4,896,1,1,1,1,0,0,0.410055,0.392988,0.398905,NOT SUPPORT!,7.886621,2.569216,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0003417279988778,311.9886455995633,0.0,9633.405406670241,17.549999999999997,27.6,27.0,11.06,61.14,18.79,0.0
128,2048,2,2,2048,1,1,1,1,0,0,0.495275,0.560583,0.594034,NOT SUPPORT!,40.062519,6.989823,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0005967680006444,233.80305277355646,904.902138547779,8216.818909031786,21.61,76.41,76.41,24.85,60.96,40.28,0.0
128,4096,2,2,4096,1,1,1,1,0,0,1.798485,1.424839,1.427797,NOT SUPPORT!,NOT SUPPORT!,26.962376,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0020079680008094,186.3076150943187,8.355320400144427,8566.165768113111,46.6,93.54,92.71,29.83,63.17,53.18,8587005.0
