Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,512,32,32,512,1,1,1,1,0,0,4.407297,4.252103,4.500025,NOT SUPPORT!,10.473130,6.812217,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0045979840004194,28.51870587554186,0.0,14974.757297485068,35.93,39.99,39.42,28.08,94.47,29.64,123155.0
128,512,64,64,512,1,1,1,1,0,0,17.894514,16.156105,17.405497,NOT SUPPORT!,44.185940,26.969772,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0182729599947987,28.482316604902724,0.0,15072.25856863887,36.9,40.37,39.77,28.42,95.6,29.81,496529.0
128,512,96,96,512,1,1,1,1,0,0,40.545166,36.415939,39.091877,NOT SUPPORT!,NOT SUPPORT!,60.740383,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.041077759997599,28.46482174823859,0.0,15085.614459313765,37.15,40.73,40.080000000000005,28.8,96.65,29.89,1175295.0
128,512,97,97,512,1,1,1,1,0,0,40.559727,37.989830,40.976387,NOT SUPPORT!,NOT SUPPORT!,87.478722,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0419281599965782,28.404178003018256,0.0,15089.156258601188,37.28,40.91,40.330000000000005,31.76,96.69,29.9,1476554.0
128,512,128,128,512,1,1,1,1,0,0,68.242203,64.139832,69.310806,NOT SUPPORT!,NOT SUPPORT!,107.523308,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0729620799956109,28.424081724041987,0.0,15099.06394513796,37.25,41.11,40.43,29.4,97.91,29.96,2098471.0
128,640,15,15,640,1,1,1,1,0,0,1.872555,1.597895,1.674240,NOT SUPPORT!,4.164721,4.889372,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0016029119995586,28.04394231522942,0.0,14741.80991003064,35.61,39.67,39.08,32.22,92.93,28.92,44726.0
128,640,16,16,640,1,1,1,1,0,0,2.127758,2.032412,2.108530,NOT SUPPORT!,4.308423,5.257216,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0018256960014208,29.27524415098984,0.0,14726.158472756182,32.96,38.91,38.36,27.110000000000003,92.86,28.87,36925.0
128,640,24,24,640,1,1,1,1,0,0,4.460430,3.723605,3.834994,NOT SUPPORT!,14.476288,7.719254,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0040667840066036,29.092998994049434,0.0,14874.738698139163,35.379999999999995,39.23,38.67,27.34,93.6,29.110000000000003,104122.0
128,768,15,15,768,1,1,1,1,0,0,2.255986,2.213205,2.275328,NOT SUPPORT!,5.859442,6.830535,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.00228451200424,28.466136759698507,0.0,14890.750907354924,35.870000000000005,39.77,39.17,31.98,93.71,29.0,62138.0
128,768,16,16,768,1,1,1,1,0,0,3.035136,2.931939,2.978133,NOT SUPPORT!,6.002006,7.375644,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0026293119967007,29.585401997478446,0.0,14720.595106464223,33.2,38.6,38.06,26.78,92.69,28.67,44225.0
128,768,24,24,768,1,1,1,1,0,0,5.360071,5.249934,5.322069,NOT SUPPORT!,20.467142,10.932794,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0057927359999663,29.502357697048406,0.0,15033.713594492592,35.480000000000004,39.41,38.86,27.31,94.64,29.28,133794.0
128,768,32,32,768,1,1,1,1,0,0,9.847012,9.231360,9.417727,NOT SUPPORT!,20.645546,14.562757,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0102505279954459,29.500371153258968,0.0,15103.62679042323,36.08,39.61,39.05,27.43,95.14,29.41,249831.0
128,768,48,48,768,1,1,1,1,0,0,23.797417,20.331749,21.072556,NOT SUPPORT!,95.028900,43.308369,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0230288000042577,29.492710111132155,0.0,15126.508360991273,36.66,39.72,39.16,27.53,95.49,29.45,548021.0
128,768,64,64,768,1,1,1,1,0,0,38.236500,35.703926,37.435394,NOT SUPPORT!,95.777000,57.837910,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0408355520074012,29.50151270165844,0.0,15165.231435582382,36.96,39.93,39.36,27.71,96.06,29.52,901301.0
128,768,96,96,768,1,1,1,1,0,0,83.777992,80.144279,83.978355,NOT SUPPORT!,NOT SUPPORT!,130.092041,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0917708800006561,29.488494730989718,0.0,15183.262307412091,37.17,40.24,39.64,27.98,97.14,29.6,2193986.0
128,768,97,97,768,1,1,1,1,0,0,87.107246,83.180550,87.322174,NOT SUPPORT!,NOT SUPPORT!,183.726532,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0937202560036825,29.379062824899222,0.0,15178.803104337487,37.3,40.46,39.85,30.77,97.13,29.6,2766067.0
128,768,128,128,768,1,1,1,1,0,0,148.946945,142.058502,149.119781,NOT SUPPORT!,NOT SUPPORT!,230.599792,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.1631471360002833,29.470972883153912,0.0,15183.364223835953,37.25,40.7,40.04,28.55,98.52,29.66,3832373.0
128,896,15,15,896,1,1,1,1,0,0,3.357582,2.971534,3.012608,NOT SUPPORT!,7.999488,9.251613,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0031657920022708,28.831384378440298,0.0,14623.137327655695,36.05,38.87,38.3,30.97,92.03,28.38,68252.0
128,896,16,16,896,1,1,1,1,0,0,3.683669,3.285219,3.317419,NOT SUPPORT!,8.049664,9.804005,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0035791679996407,29.832706811069826,0.0,14716.28871214974,33.34,38.38,37.84,26.51,92.58,28.53,62989.0
128,896,24,24,896,1,1,1,1,0,0,7.832348,7.106787,7.151388,NOT SUPPORT!,27.791927,14.649685,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0078601279999854,29.802880508367345,0.0,15077.636989145743,35.56,39.31999999999999,38.79,27.11,94.87,29.24,176423.0
128,1024,15,15,1024,1,1,1,1,0,0,3.830898,3.804502,3.849330,NOT SUPPORT!,10.297686,11.885910,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0040902719980771,29.121987970285854,0.0,14780.669849932172,36.2,39.16,38.58,30.99,92.97,28.6,89204.0
128,1024,16,16,1024,1,1,1,1,0,0,4.197945,4.169272,4.207616,NOT SUPPORT!,10.377558,12.653112,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0045813440013873,30.039821845607463,0.0,15014.499146794125,33.47,39.04,38.49,26.860000000000003,94.4,29.02,89548.0
128,1024,24,24,1024,1,1,1,1,0,0,9.401116,9.132828,9.341952,NOT SUPPORT!,36.073013,18.913054,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0102821439931246,30.033518913648,0.0,15052.290427316571,35.62,39.15,38.62,26.9,94.65,29.110000000000003,220991.0
128,1024,32,32,1024,1,1,1,1,0,0,19.423119,16.002844,16.394693,NOT SUPPORT!,36.302624,25.308388,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0181451200067771,30.03188387403921,0.0,15163.655147898411,36.16,39.43,38.9,27.06,95.42,29.32,380561.0
128,1024,48,48,1024,1,1,1,1,0,0,38.266193,35.529278,36.758987,NOT SUPPORT!,NOT SUPPORT!,75.030754,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0407685439915406,30.04768458424085,0.0,15185.21903868968,36.7,39.59,39.02,27.21,95.81,29.37,860715.0
128,1024,64,64,1024,1,1,1,1,0,0,66.110916,62.979641,65.182495,NOT SUPPORT!,NOT SUPPORT!,100.079964,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.072427039997814,30.034879426071587,0.0,15195.780051666034,36.96,39.7,39.1,27.33,96.2,29.380000000000003,1411004.0
128,1024,96,96,1024,1,1,1,1,0,0,147.806671,141.140991,146.502991,NOT SUPPORT!,NOT SUPPORT!,225.536331,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.1628316800059577,30.025244235444685,0.0,15207.83352176552,37.18,40.01,39.4,27.6,97.26,29.46,3450954.0
128,1024,97,97,1024,1,1,1,1,0,0,152.759186,145.941162,151.675568,NOT SUPPORT!,NOT SUPPORT!,315.111053,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.1662600639995812,29.892335518129574,0.0,15206.15148088941,37.31,40.25,39.63,29.77,97.31,29.47,4240424.0
128,2048,7,7,2048,1,1,1,1,0,0,3.548388,3.327887,3.356786,NOT SUPPORT!,40.026684,21.797890,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.003645216004875,62.5677125846239,0.0,14440.581687779866,30.18,39.59,39.02,20.55,90.72,27.6,51818.0
128,2048,8,8,2048,1,1,1,1,0,0,5.397163,4.232534,5.014642,NOT SUPPORT!,40.177891,24.783417,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.004577503997883,54.88085742511922,0.0,15019.764308189971,31.67,38.62,38.02,20.73,94.43,28.7,58621.0
128,2048,24,24,2048,1,1,1,1,0,0,37.010666,35.378742,35.568867,NOT SUPPORT!,NOT SUPPORT!,72.850319,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0406399679980608,30.82707941278994,0.0,15225.830899805973,35.82,39.08,38.53,26.53,95.65,29.1,716087.0
128,2048,32,32,2048,1,1,1,1,0,0,67.336304,62.422127,63.043472,NOT SUPPORT!,NOT SUPPORT!,97.116272,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0721860799958555,30.84279322774339,0.0,15239.066849885165,36.27,39.15,38.61,26.55,95.81,29.130000000000003,1256938.0
128,2048,48,48,2048,1,1,1,1,0,0,146.376816,140.526703,141.590302,NOT SUPPORT!,NOT SUPPORT!,289.230743,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.1623210560002582,30.83360933144314,0.0,15248.232010294849,36.75,39.24,38.68,26.68,96.15,29.17,2832276.0
128,2048,64,64,2048,1,1,1,1,0,0,259.726929,249.905380,251.552521,NOT SUPPORT!,NOT SUPPORT!,385.724976,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.2882551680019438,30.85243761044282,0.0,15264.926645555677,37.0,39.32,38.76,26.75,96.54,29.17,4558977.0
128,4096,8,8,4096,1,1,1,1,0,0,21.918606,16.107634,19.864576,NOT SUPPORT!,NOT SUPPORT!,97.593910,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.018177088000479,52.11203969505932,0.0,15125.911026054047,32.55,38.690000000000005,38.07,21.28,95.05,28.77,214772.0
