Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,8,96,96,8,1,1,1,1,0,0,0.113810,0.114329,0.168654,NOT SUPPORT!,0.604921,0.273248,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001379519996775,15.37935700590337,1915.457206983117,6601.486445495386,46.82,51.65,39.86,62.5,75.35,29.49,24504.0
128,8,97,97,8,1,1,1,1,0,0,0.118062,0.118244,0.182702,NOT SUPPORT!,0.607470,0.404292,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001421119983802,14.925039348075334,1898.3256239790298,6542.443668356298,46.84,65.77,45.42,81.33,74.97,29.35,29943.0
128,8,128,128,8,1,1,1,1,0,0,0.234286,0.234268,0.335374,NOT SUPPORT!,0.708846,0.507957,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0002410240016098,13.727021239881184,1949.026009287282,6717.1789248650975,47.32,52.39,40.49,63.57,76.48,29.94,42957.0
128,8,256,256,8,1,1,1,1,0,0,1.037614,0.930446,2.642909,NOT SUPPORT!,2.446372,1.937170,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0009474239983927,12.440443779998427,1983.3234066139296,6835.382454937294,47.77,53.17,41.15,65.63,77.63,30.42,176230.0
128,8,384,384,8,1,1,1,1,0,0,2.310809,2.054162,5.095840,NOT SUPPORT!,NOT SUPPORT!,5.191453,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0021274880032091,12.225543362401513,1987.2537121820212,6848.927972341609,47.83,53.24,41.15,65.84,77.73,30.45,392130.0
128,8,512,512,8,1,1,1,1,0,0,4.089667,3.618293,9.769778,NOT SUPPORT!,NOT SUPPORT!,7.082563,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.003772704002884,12.136112892172278,1992.256154274052,6866.1685316945,47.87,53.38,41.3,66.05,77.92,30.53,710532.0
128,8,640,640,8,1,1,1,1,0,0,5.466386,4.867353,13.836583,NOT SUPPORT!,NOT SUPPORT!,13.066578,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0058954239964931,12.116283850489127,1992.0621836505672,6865.5000257957045,47.87,53.35,41.27,65.97,77.89,30.52,1104916.0
128,8,768,768,8,1,1,1,1,0,0,7.543940,6.859523,19.996572,NOT SUPPORT!,NOT SUPPORT!,16.009901,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0085019839990328,12.059180818962812,1989.1161557024657,6855.346750903141,47.92,53.27,41.19,66.01,77.8,30.48,1584776.0
128,8,896,896,8,1,1,1,1,0,0,10.233110,9.174564,30.450932,NOT SUPPORT!,NOT SUPPORT!,24.038002,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0115604160026149,12.079578022609251,1991.1342590779936,6862.302000036656,47.93,53.34,41.25,66.13,77.88,30.51,2163941.0
128,8,1024,1024,8,1,1,1,1,0,0,13.391896,11.798679,43.490097,NOT SUPPORT!,NOT SUPPORT!,28.299694,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.0150789120013259,12.082817337507512,1993.8289360237916,6871.589011653426,47.89,53.39,41.33,66.25,77.96,30.55,2841123.0
