Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,32,512,512,32,1,1,1,1,0,0,10.444800,10.154325,16.238592,NOT SUPPORT!,NOT SUPPORT!,22.577721,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0069501119976194,8.13973103703097,0.0,10196.520632800426,94.25,78.36,65.8,82.8,99.35,36.52,593030.0
128,32,640,640,32,1,1,1,1,0,0,17.643406,17.638515,27.428181,NOT SUPPORT!,NOT SUPPORT!,40.919498,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0109180159944943,8.133766238992491,0.0,10141.91824373937,94.11,82.59,68.7,87.64,107.1,36.67,929359.0
128,64,48,48,64,1,1,1,1,0,0,0.286606,0.310386,0.405959,NOT SUPPORT!,1.418354,0.736256,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002863360038673,13.416366610550211,1384.253892792645,10060.559542260831,47.42,77.1,77.1,73.02,80.74,49.85,99433.0
128,64,97,97,64,1,1,1,1,0,0,0.945835,0.999765,1.397646,NOT SUPPORT!,7.315569,3.332665,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0012062720041869,12.86012374427601,1341.8607763271993,9752.452427949464,48.94,75.71,75.71,88.53,78.15,48.33,480855.0
128,64,384,384,64,1,1,1,1,0,0,14.870300,15.574812,325.455536,NOT SUPPORT!,NOT SUPPORT!,39.286442,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0176816320003053,12.531630111177162,1298.0267594984282,10273.198629451374,37.01,77.33,77.33,76.28,80.9,49.41,7343352.0
128,96,16,16,96,1,1,1,1,0,0,0.066560,0.066901,0.139264,NOT SUPPORT!,0.201956,0.258958,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001487679993546,129.0282516472606,197.35513099169847,11069.50832937366,22.49,37.28,37.28,19.43,77.42,31.23,41294.0
128,96,24,24,96,1,1,1,1,0,0,0.157468,0.148025,0.230514,NOT SUPPORT!,0.559332,0.379449,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0001222399934488,18.69364681608911,0.0,11232.905314046213,33.39,47.31,46.760000000000005,42.5,74.10000000000001,29.71,7134.0
128,128,16,16,128,1,1,1,1,0,0,0.110023,0.187620,0.205369,NOT SUPPORT!,0.262827,0.341333,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001989759961486,126.95531098635777,189.71502457918768,11027.185803665285,22.5,37.54,37.54,19.3,76.08,30.49,71154.0
128,256,8,8,256,1,1,1,1,0,0,0.105358,0.117874,0.223346,NOT SUPPORT!,0.731819,0.536804,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001257600029255,131.38797873790378,1117.280381133876,9811.639466412602,28.94,69.19,69.19,26.22,74.62,48.32,0.0
128,256,24,24,256,1,1,1,1,0,0,0.858112,0.886443,1.039132,NOT SUPPORT!,3.045718,1.771520,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0009391679961388,46.840651691671425,341.64734884405,10694.064441390594,35.85,56.94,56.94,25.73,74.4,45.36,302035.0
