Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,640,32,32,640,1,1,1,1,0,0,8.981959,9.347301,7.583061,NOT SUPPORT!,14.606223,10.335460,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0091738560015786,40.36551866368558,9.144037140496343,11723.798618758874,122.9,119.91,83.11,77.96000000000001,133.89,53.21,2353674.0
128,640,48,48,640,1,1,1,1,0,0,19.427557,16.871651,14.940046,NOT SUPPORT!,67.771271,30.766195,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0204383999994145,40.19779856499297,9.23475810266004,11840.114232373004,131.2,125.99,85.03,83.02,138.93,53.41,4952654.0
128,640,64,64,640,1,1,1,1,0,0,32.394466,29.626255,26.424891,NOT SUPPORT!,68.411736,40.959431,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0361281280035749,40.142720222736365,9.287619883510093,11907.889643145378,132.78,128.32999999999998,85.86,84.96000000000001,140.88,53.650000000000006,9997548.0
128,640,96,96,640,1,1,1,1,0,0,70.890839,66.571259,59.330791,NOT SUPPORT!,NOT SUPPORT!,92.229744,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0811378240015362,40.09967128929801,9.304843077695871,11929.97193099082,134.2,129.70999999999998,86.27,86.31,142.01,53.66,19349170.0
128,640,128,128,640,1,1,1,1,0,0,123.569962,117.900406,105.379379,NOT SUPPORT!,NOT SUPPORT!,163.285110,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.1440732800009243,40.08430944443795,9.315934779796706,11944.192879546854,134.69,130.03,86.41,86.49,142.25,53.75,37791424.0
128,768,8,8,768,1,1,1,1,0,0,0.765497,0.757760,0.843207,NOT SUPPORT!,5.776156,3.752960,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.000743999997536,84.48239460623529,0.0,13005.72494629853,28.880000000000003,34.24,33.61,16.48,81.89,25.31,8369.0
128,896,7,7,896,1,1,1,1,0,0,0.836608,0.805547,0.908629,NOT SUPPORT!,7.897884,4.339712,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0007645760002036,77.99343484404537,0.0,13186.083954133157,27.47,36.95,36.33,18.04,83.17,25.62,9164.0
128,896,8,8,896,1,1,1,1,0,0,0.999310,0.959829,1.038450,NOT SUPPORT!,7.904255,5.026702,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0009760640021418,69.97646889171705,0.0,13490.936433579265,29.68,35.5,34.879999999999995,18.04,85.35,26.28,10440.0
128,896,32,32,896,1,1,1,1,0,0,15.644673,14.002403,12.613974,NOT SUPPORT!,27.959183,19.624050,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0175114879970467,45.00126803804901,6.706483881884067,12032.270394585254,128.28,124.63,84.45,80.45,138.08,53.35,4173172.0
128,896,48,48,896,1,1,1,1,0,0,33.082481,31.060198,28.294258,NOT SUPPORT!,127.871880,58.143745,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0392538560022164,44.91684109034412,6.731597323459894,12077.327047952482,132.47,127.48,85.33000000000001,82.71000000000001,140.25,53.49,9026685.0
128,896,64,64,896,1,1,1,1,0,0,58.562675,54.835884,50.174637,NOT SUPPORT!,128.726135,77.651855,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0695347520069219,44.88898772006569,6.7557880691547885,12120.728269572337,133.66,128.55,85.74,83.55000000000001,141.11,53.68,17739069.0
128,896,96,96,896,1,1,1,1,0,0,129.046295,123.105278,112.778580,NOT SUPPORT!,NOT SUPPORT!,174.668900,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.1563711040005275,44.86812308620255,6.759334563478137,12127.091123700213,134.56,129.51,85.99,84.38,141.88,53.66,34948979.0
128,896,97,97,896,1,1,1,1,0,0,133.570129,127.350433,117.000992,NOT SUPPORT!,NOT SUPPORT!,244.943420,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.1619409919961918,44.84774875308363,6.663534530067445,11955.213888757256,134.64,126.77,84.82000000000001,85.87,138.93,52.93,34917588.0
128,896,128,128,896,1,1,1,1,0,0,229.156311,218.492004,200.359253,NOT SUPPORT!,NOT SUPPORT!,309.576477,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.2774762879980784,44.86042502446309,6.771923487793714,12149.677227537897,134.91,129.87,86.16000000000001,84.62,142.18,53.74,66345066.0
128,1024,7,7,1024,1,1,1,1,0,0,1.082823,1.014556,1.130155,NOT SUPPORT!,10.181064,5.699470,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.0009928959985183,67.55504649216942,0.0,13260.38418892604,28.05,37.13,36.51,18.76,83.83,25.78,13792.0
128,1024,8,8,1024,1,1,1,1,0,0,1.140053,1.188068,1.263957,NOT SUPPORT!,10.189596,6.476800,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0014198719983899,130.02747826682574,192.01009690250635,12321.509468345643,22.54,43.16,43.16,18.32,83.3,32.31,61659.0
128,2048,15,15,2048,1,1,1,1,0,0,14.734563,14.262955,14.233601,NOT SUPPORT!,40.292007,45.990231,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.020330528003221,53.245110282760606,2.9011740369288646,11889.373850089103,121.53,103.84,76.85,62.17,118.72,51.77,3784394.0
128,2048,16,16,2048,1,1,1,1,0,0,16.363747,16.026394,15.929230,NOT SUPPORT!,40.442764,48.948105,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.022856543997763,53.43060369209686,2.9360897258381677,12032.462707700543,112.53,110.5,78.83,66.18,125.29,52.25,4498921.0
128,4096,7,7,4096,1,1,1,1,0,0,12.966799,12.693048,12.493027,NOT SUPPORT!,NOT SUPPORT!,85.836113,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0178341120016528,63.758723592423635,1.4405041303777355,11803.670907331461,79.89,96.99,75.12,58.28999999999999,113.54,50.77,3250441.0
128,4096,15,15,4096,1,1,1,1,0,0,59.194931,56.137272,54.970024,NOT SUPPORT!,NOT SUPPORT!,180.085297,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0789851840020373,57.44597952343736,1.4935054148504265,12237.970057461253,123.86,115.22,80.86,72.59,128.95999999999998,52.43,14134788.0
128,4096,16,16,4096,1,1,1,1,0,0,66.941727,63.405735,62.067368,NOT SUPPORT!,NOT SUPPORT!,191.839340,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0892715519978531,57.61583111413991,1.5034770315545518,12319.678731186943,121.74,120.19,82.03,74.56,133.85000000000002,52.760000000000005,16376328.0
128,4096,24,24,4096,1,1,1,1,0,0,145.692780,139.970566,139.375046,NOT SUPPORT!,NOT SUPPORT!,286.254639,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.1999143680053163,57.81384524862469,1.5105962168360463,12378.01422528167,129.8,124.19,83.44999999999999,77.99000000000001,137.2,52.99,38679204.0
128,4096,32,32,4096,1,1,1,1,0,0,258.671997,248.339005,247.235779,NOT SUPPORT!,NOT SUPPORT!,380.667358,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.3554477760057369,58.20880406822918,1.5104072897373675,12376.466133019207,132.41,126.48,84.08000000000001,80.16,139.09,52.92,67108386.0
128,4096,48,48,4096,1,1,1,1,0,0,581.014893,557.243713,555.826355,NOT SUPPORT!,NOT SUPPORT!,1135.261719,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.7967128959908113,58.38351717649591,1.5161792385671786,12423.762203224282,134.12,127.28,84.48,80.53999999999999,139.79000000000002,53.120000000000005,159395518.0
