Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,4,128,128,4,1,1,1,1,0,0,0.163033,0.163033,0.213099,NOT SUPPORT!,0.336818,0.347918,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001995200032146,18.785886311404408,1849.9335708360245,4814.031678652836,46.7,31.62,29.89,38.64,75.43,23.49,12945.0
128,8,24,24,8,1,1,1,1,0,0,0.018336,0.018564,0.026304,NOT SUPPORT!,0.050670,0.047225,NOT SUPPORT!,NOT SUPPORT!,0,0,1,1.3919995616207225e-05,24.119765675851596,1186.4279598458563,4088.939218754469,34.81,34.09,25.18,41.7,49.44,18.87,0.0
128,8,32,32,8,1,1,1,1,0,0,0.023584,0.023591,0.032924,NOT SUPPORT!,0.052110,0.051477,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.1311997377251385e-05,21.872997467272892,984.0241451223706,4305.105634910372,31.12,38.14,28.53,46.29,55.35,21.4,2132.0
128,8,48,48,8,1,1,1,1,0,0,0.036949,0.037099,0.053298,NOT SUPPORT!,0.157934,0.104672,NOT SUPPORT!,NOT SUPPORT!,0,0,1,4.028800162761458e-05,20.95906432748538,1171.2152028820756,5124.066512609082,33.47,44.74,34.04,54.25,65.15,25.36,4687.0
128,8,64,64,8,1,1,1,1,0,0,0.057180,0.057436,0.087004,NOT SUPPORT!,0.185657,0.128789,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.742400032394409e-05,20.15379640954269,1244.1575640270898,5443.189342618519,34.34,47.19,36.17,56.0,68.77,26.86,9567.0
128,16,24,24,16,1,1,1,1,0,0,0.023904,0.024053,0.036203,NOT SUPPORT!,0.072288,0.060956,NOT SUPPORT!,NOT SUPPORT!,0,0,1,1.9871995640192813e-05,21.307298022943616,1068.5219735582618,5060.638791435657,35.95,46.51,35.55,56.14,48.68,24.98,0.0
128,32,16,16,32,1,1,1,1,0,0,0.022869,0.023552,0.038912,NOT SUPPORT!,0.056661,0.070656,NOT SUPPORT!,NOT SUPPORT!,0,0,1,2.031999835946477e-05,19.323699774403998,567.6346914972789,3992.7940231456328,21.71,40.03,31.85,47.75,34.02,18.97,0.0
128,32,24,24,32,1,1,1,1,0,0,0.033906,0.034020,0.058709,NOT SUPPORT!,0.108999,0.091022,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.471999871127985e-05,19.32278343810969,747.4728388042428,5257.7919002252975,29.58,51.54,41.75,61.42,43.98,24.57,0.0
128,64,8,8,64,1,1,1,1,0,0,0.020708,0.020935,0.047559,NOT SUPPORT!,0.089202,0.077255,NOT SUPPORT!,NOT SUPPORT!,0,0,1,1.8047997037883e-05,37.30006661418277,551.943352998714,4368.341142483243,12.35,32.59,32.59,30.6,35.27,21.36,0.0
128,96,7,7,96,1,1,1,1,0,0,0.030606,0.039026,0.067925,NOT SUPPORT!,0.181817,0.128114,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.059200000007214e-05,54.99324854765269,531.4142259401694,4396.468619236494,13.55,34.08,34.08,30.21,35.01,21.83,0.0
128,4096,1,1,4096,1,1,1,1,0,0,0.871879,0.717255,0.586752,NOT SUPPORT!,NOT SUPPORT!,15.384918,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0009608000035729,60.24962123116029,0.5456785991364955,4471.358651149337,19.02,30.83,30.83,10.57,34.82,20.8,91428.0
