Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,97,97,1,3,3,1,1,0,0,0.027534,0.027989,0.021845,NOT SUPPORT!,0.138923,0.263282,0.323356,0.126748,2,7,1,4.262399933958437e-05,0.0,0.0,0.0,11552000.0,1155200.0,0.0,0.0,0.0,0.0,0.0,4817536.0,16354976.0,11067904.0,17.68,17.68,13.22,20.21,834432.0,16.16,14.82,105984.0,24259200.0,0.0,24259200.0,5.035603262746765,1.4832916905533826,2.191851320719804,569.1441529624552,0.0
128,1,128,128,1,3,3,1,1,0,0,0.039822,0.040164,0.031972,NOT SUPPORT!,0.143246,0.417109,0.557739,0.237227,2,7,1,7.033599738758048e-05,0.0,0.0,0.0,20321280.0,2032128.0,0.0,0.0,0.0,0.0,0.0,8388736.0,27494144.0,17685408.0,17.94,17.94,13.01,21.14,1414060.0,16.41,14.93,134784.0,42674688.0,0.0,42674688.0,5.087141614660421,1.552137356958631,2.4129886062000945,606.7261371847021,0.0
128,1,256,256,1,3,3,1,1,0,0,0.246670,0.247922,0.133575,NOT SUPPORT!,0.588459,1.596757,2.642148,1.122531,2,7,1,0.0002651840029223,0.0,0.0,0.0,82580480.0,8258048.0,0.0,0.0,0.0,0.0,0.0,52193024.0,131858528.0,74460672.0,18.4,18.4,14.62,22.51,5464689.0,16.73,14.96,267264.0,173419008.0,0.0,173419008.0,3.32264725646094,1.3151899284056925,2.329001382098727,653.957275284107,0.0
128,1,384,384,1,3,3,1,1,0,0,0.547044,0.547271,0.291499,NOT SUPPORT!,NOT SUPPORT!,3.366002,5.914966,2.539406,2,7,1,0.0005881280039065,0.0,0.0,0.0,186782720.0,18678272.0,0.0,0.0,0.0,0.0,0.0,135756672.0,308449824.0,166137792.0,18.58,18.58,14.74,23.02,12176876.0,16.85,14.93,399744.0,392243712.0,0.0,392243712.0,2.8893144345789503,1.2716613253765383,2.3609541650824397,666.9359550890532,0.0
128,1,512,512,1,3,3,1,1,0,0,0.847303,0.848441,0.423822,NOT SUPPORT!,NOT SUPPORT!,4.844999,8.603763,3.876523,2,7,1,0.0010473280019271,0.0,0.0,0.0,332928000.0,33292800.0,0.0,0.0,0.0,0.0,0.0,252896768.0,573196192.0,309764960.0,18.33,18.33,14.95,22.84,21628562.0,16.59,14.94,548352.0,699148800.0,0.0,699148800.0,2.7645620208163355,1.219737342567691,2.257029975243165,667.5547667144918,0.0
128,1,640,640,1,3,3,1,1,0,0,1.376825,1.376939,0.659684,NOT SUPPORT!,NOT SUPPORT!,8.038286,13.445804,6.069134,2,7,1,0.0017041599987139,0.0,0.0,0.0,521016320.0,52101632.0,0.0,0.0,0.0,0.0,0.0,403874816.0,910575296.0,494753152.0,17.63,17.63,14.34,22.05,33718037.0,15.92,14.95,668160.0,1094134272.0,0.0,1094134272.0,2.7090925917004935,1.20158571927697,2.2114750913198833,642.0372927575604,0.0
128,1,768,768,1,3,3,1,1,0,0,1.999986,1.999644,0.948338,NOT SUPPORT!,NOT SUPPORT!,11.271623,19.367367,8.724139,2,7,1,0.0024643200006451,0.0,0.0,0.0,751047680.0,75104768.0,0.0,0.0,0.0,0.0,0.0,588322432.0,1315158432.0,714642848.0,17.58,17.58,13.99,22.04,48567527.0,15.82,14.99,771840.0,1577200128.0,0.0,1577200128.0,2.6808430925169957,1.1992472462815795,2.206976719089757,640.0143356330049,0.0
128,1,896,896,1,3,3,1,1,0,0,3.273728,3.273159,1.567403,NOT SUPPORT!,NOT SUPPORT!,16.062920,26.360493,11.862585,2,7,1,0.0034872320041775,0.0,0.0,0.0,1023022080.0,102302208.0,0.0,0.0,0.0,0.0,0.0,806307840.0,1825973248.0,1007399488.0,16.98,16.98,13.42,21.3,66228891.0,15.22,15.01,858240.0,2148346368.0,0.0,2148346368.0,2.6644245056577893,1.176548654452138,2.132566468010752,616.0606364665175,0.0
128,1,1024,1024,1,3,3,1,1,0,0,4.395804,4.396829,1.962894,NOT SUPPORT!,NOT SUPPORT!,19.988365,34.405716,15.492209,2,7,1,0.0046827519961669,0.0,0.0,0.0,1336939520.0,133693952.0,0.0,0.0,0.0,0.0,0.0,1058033024.0,2466787008.0,1386070912.0,16.61,16.61,13.38,20.84,86645717.0,14.85,15.04,941184.0,2807572992.0,0.0,2807572992.0,2.6535778452223435,1.1381497400848968,2.0255623054298684,599.5561999222164,0.0
128,1,2048,2048,1,3,3,1,1,0,0,7.773867,6.711183,6.702990,NOT SUPPORT!,NOT SUPPORT!,77.304497,137.673737,62.311077,2,7,1,0.0072082559964441,0.0,0.0,0.0,4822405632.0,535822848.0,0.0,0.0,0.0,0.0,0.0,4278513536.0,14493429056.0,29806330592.0,43.41,43.41,43.01,76.44,33488944.0,3.73,86.13,0.0,10180634112.0,0.0,10180634112.0,2.379479234163629,0.7024310170259821,0.34155945766542883,1412.3574574796178,0.0
