Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,64,64,1,1,1,1,1,0,0,0.012288,0.012288,0.011947,NOT SUPPORT!,0.053817,0.050631,NOT SUPPORT!,NOT SUPPORT!,2,2,2,0.0001488319986702,0.0,0.0,0.0,67108864.0,524288.0,0.0,2359296.0,0.0,0.0,131072.0,4194816.0,23792832.0,14942208.0,30.18,25.45,20.31,136.24,3359331.0,20.94,117.12,0.0,139460608.0,67108864.0,206569472.0,49.24398877090199,8.682004395273333,13.824561403508772,1387.9372302037125,450.9034656499371
128,1,96,96,1,1,1,1,1,0,0,0.015701,0.016270,0.015929,NOT SUPPORT!,0.140743,0.081465,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.000312127999035,0.0,0.0,0.0,150994944.0,1179648.0,0.0,14155776.0,0.0,0.0,442368.0,4718720.0,36461824.0,24182784.0,17.8,17.8,3.55,78.09,6659906.0,17.17,35.23,0.0,331481088.0,226492416.0,557973504.0,118.24679235046793,15.302950943979106,23.073170731707318,1787.6432288198293,725.6395347429329
128,1,97,97,1,1,1,1,1,0,0,0.016156,0.016384,0.015701,NOT SUPPORT!,0.140629,0.093298,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.417600101182411e-05,0.0,0.0,0.0,1204352.0,1204352.0,0.0,1204352.0,0.0,0.0,37636.0,4817664.0,15300608.0,10839168.0,20.18,12.27,33.59,48.67,75300.0,4.48,82.96,0.0,6021760.0,19269632.0,25291392.0,5.249721026622031,1.652966470352028,2.3333333333333335,1784.0991954574927,1359.3136727295187
128,1,128,128,1,1,1,1,1,0,0,0.021276,0.021276,0.021049,NOT SUPPORT!,0.145522,0.114005,NOT SUPPORT!,NOT SUPPORT!,2,2,1,2.1119996986686143e-05,0.0,0.0,0.0,2097152.0,2097152.0,0.0,2097152.0,0.0,0.0,65536.0,8389504.0,26242880.0,18874368.0,23.11,14.13,39.16,55.93,131072.0,5.19,82.63,0.0,10485760.0,33554432.0,44040192.0,5.2494392993912395,1.678176785474765,2.3333333333333335,2085.2366611492675,1588.751741828013
128,1,256,256,1,1,1,1,1,0,0,0.082034,0.082148,0.081692,NOT SUPPORT!,0.587548,0.417678,NOT SUPPORT!,NOT SUPPORT!,2,2,1,7.254400163278732e-05,0.0,0.0,0.0,8388608.0,8388608.0,0.0,8388608.0,0.0,0.0,262144.0,52825472.0,122629248.0,75497472.0,36.25,15.58,46.14,62.91,524288.0,5.9,82.78,0.0,41943040.0,134217728.0,176160768.0,3.334769408212765,1.4365314219328817,2.3333333333333335,2428.3298968219806,1850.156111864366
128,1,384,384,1,1,1,1,1,0,0,0.171236,0.171463,0.171008,NOT SUPPORT!,NOT SUPPORT!,1.079637,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0001590079977354,0.0,0.0,0.0,18874368.0,18874368.0,0.0,18874368.0,0.0,0.0,589824.0,136656000.0,289196896.0,169869312.0,42.45,15.66,46.93,63.85,1179648.0,6.0,82.96,0.0,94371840.0,301989888.0,396361728.0,2.9004341412012646,1.3705601044901947,2.3333333333333335,2492.715672450467,1899.2119409146417
128,1,512,512,1,1,1,1,1,0,0,0.295936,0.296277,0.296050,NOT SUPPORT!,NOT SUPPORT!,1.490603,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0002795840025739,0.0,0.0,0.0,33554432.0,33554432.0,0.0,33554432.0,0.0,0.0,1048576.0,254284800.0,524544768.0,301989888.0,44.71,15.68,47.74,64.18,2097152.0,6.04,83.03,0.0,167772160.0,536870912.0,704643072.0,2.7710782241014797,1.3433421034522643,2.3333333333333335,2520.326862456116,1920.2490380618024
128,1,640,640,1,1,1,1,1,0,0,0.456932,0.456932,0.456704,NOT SUPPORT!,NOT SUPPORT!,2.747848,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.000435584002578,0.0,0.0,0.0,52428800.0,52428800.0,0.0,52428800.0,0.0,0.0,1638400.0,405062656.0,829299008.0,471859200.0,45.77,15.71,47.81,64.42,3276800.0,6.06,83.06,0.0,262144000.0,838860800.0,1101004800.0,2.718109861996264,1.3276330845436148,2.3333333333333335,2527.6520567415537,1925.8301384697552
128,1,768,768,1,1,1,1,1,0,0,0.631239,0.631353,0.630670,NOT SUPPORT!,NOT SUPPORT!,3.261212,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0006248959964618,0.0,0.0,0.0,75497472.0,75497472.0,0.0,75497472.0,0.0,0.0,2359296.0,589953920.0,1195756864.0,679477248.0,46.37,15.72,47.97,64.5,4718592.0,6.07,83.11,0.0,377487360.0,1207959552.0,1585446912.0,2.6874080470556074,1.3258940506487447,2.3333333333333335,2537.137253201971,1933.0569548205497
128,1,896,896,1,1,1,1,1,0,0,0.884281,0.884395,0.883940,NOT SUPPORT!,NOT SUPPORT!,5.037966,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0008502720041808,0.0,0.0,0.0,102760448.0,102760448.0,0.0,102760448.0,0.0,0.0,3211264.0,807763840.0,1634139488.0,924844032.0,46.67,15.72,47.88,64.53,6422528.0,6.07,83.09,0.0,513802240.0,1644167168.0,2157969408.0,2.6715350466789896,1.3205539819866343,2.3333333333333335,2537.975374220523,1933.6955232156363
