Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,1,1,1,1,3,3,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,1,2,2,1,3,3,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,1,4,4,1,3,3,1,1,0,0,0.014564,0.010354,0.009102,NOT SUPPORT!,0.027534,0.037888,0.024804,0.021390,2
64,1,7,7,1,3,3,1,1,0,0,0.010354,0.010923,0.010468,NOT SUPPORT!,0.027193,0.038002,0.024121,0.021732,0
64,1,8,8,1,3,3,1,1,0,0,0.011264,0.011264,0.010012,NOT SUPPORT!,0.027989,0.037774,0.024690,0.021618,2
64,1,15,15,1,3,3,1,1,0,0,0.013084,0.013198,0.010468,NOT SUPPORT!,0.029127,0.038912,0.029013,0.023893,2
64,1,16,16,1,3,3,1,1,0,0,0.012629,0.013084,0.010126,NOT SUPPORT!,0.029013,0.038457,0.029127,0.023666,2
64,1,24,24,1,3,3,1,1,0,0,0.015019,0.015132,0.009899,NOT SUPPORT!,0.036750,0.038912,0.034816,0.025259,2
64,1,32,32,1,3,3,1,1,0,0,0.017977,0.018091,0.010126,NOT SUPPORT!,0.036978,0.038571,0.038912,0.028217,2
64,1,48,48,1,3,3,1,1,0,0,0.012402,0.013540,0.011378,NOT SUPPORT!,0.045625,0.083172,0.060075,0.034588,2
64,1,64,64,1,3,3,1,1,0,0,0.015815,0.015474,0.012060,NOT SUPPORT!,0.046535,0.161451,0.089088,0.043691,2
64,1,96,96,1,3,3,1,1,0,0,0.022528,0.022642,0.016156,NOT SUPPORT!,0.097963,0.271360,0.173625,0.073728,2
64,1,97,97,1,3,3,1,1,0,0,0.022869,0.022983,0.015929,NOT SUPPORT!,0.098304,0.269653,0.173170,0.074183,2
64,1,128,128,1,3,3,1,1,0,0,0.033564,0.033678,0.021163,NOT SUPPORT!,0.099783,0.412331,0.290702,0.114802,2
64,1,256,256,1,3,3,1,1,0,0,0.184548,0.184320,0.060530,NOT SUPPORT!,0.251449,1.332224,1.332793,0.568889,2
64,1,384,384,1,3,3,1,1,0,0,0.479346,0.479346,0.151552,NOT SUPPORT!,NOT SUPPORT!,3.263260,2.971420,1.270101,2
64,1,512,512,1,3,3,1,1,0,0,0.744448,0.743424,0.218908,NOT SUPPORT!,NOT SUPPORT!,4.670578,4.350863,1.943893,2
64,1,640,640,1,3,3,1,1,0,0,1.204565,1.204110,0.335076,NOT SUPPORT!,NOT SUPPORT!,7.758165,6.727453,3.046741,2
64,1,768,768,1,3,3,1,1,0,0,1.713266,1.714290,0.479118,NOT SUPPORT!,NOT SUPPORT!,10.776917,9.678620,4.372139,2
64,1,896,896,1,3,3,1,1,0,0,2.399801,2.399801,0.648988,NOT SUPPORT!,NOT SUPPORT!,14.268415,13.163293,5.950805,2
64,1,1024,1024,1,3,3,1,1,0,0,3.210468,3.211719,0.845369,NOT SUPPORT!,NOT SUPPORT!,18.961636,17.190002,7.762375,2
