Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,2,256,256,2,1,1,1,1,0,0,0.285924,0.305493,0.088292,NOT SUPPORT!,0.781312,0.575602,NOT SUPPORT!,NOT SUPPORT!,2
64,2,384,384,2,1,1,1,1,0,0,0.629874,0.635790,0.186482,NOT SUPPORT!,NOT SUPPORT!,1.566037,NOT SUPPORT!,NOT SUPPORT!,2
64,2,512,512,2,1,1,1,1,0,0,1.113884,1.101824,0.315051,NOT SUPPORT!,NOT SUPPORT!,2.123890,NOT SUPPORT!,NOT SUPPORT!,2
64,2,640,640,2,1,1,1,1,0,0,2.094877,2.039239,0.571051,NOT SUPPORT!,NOT SUPPORT!,4.733497,NOT SUPPORT!,NOT SUPPORT!,2
64,2,768,768,2,1,1,1,1,0,0,3.010560,2.912370,0.821134,NOT SUPPORT!,NOT SUPPORT!,5.758862,NOT SUPPORT!,NOT SUPPORT!,2
64,2,896,896,2,1,1,1,1,0,0,4.082688,3.943879,1.111268,NOT SUPPORT!,NOT SUPPORT!,8.438442,NOT SUPPORT!,NOT SUPPORT!,2
64,2,1024,1024,2,1,1,1,1,0,0,5.352789,5.164714,1.443044,NOT SUPPORT!,NOT SUPPORT!,10.085033,NOT SUPPORT!,NOT SUPPORT!,2
64,2,2048,2048,2,1,1,1,1,0,0,17.649549,16.985657,5.550535,NOT SUPPORT!,NOT SUPPORT!,33.567398,NOT SUPPORT!,NOT SUPPORT!,2
64,2,3072,3072,2,1,1,1,1,0,0,39.601719,38.003262,12.526023,NOT SUPPORT!,NOT SUPPORT!,75.933365,NOT SUPPORT!,NOT SUPPORT!,2
64,4,1,1,4,1,1,1,1,0,0,0.008875,0.008988,0.009102,NOT SUPPORT!,0.032882,0.033792,NOT SUPPORT!,NOT SUPPORT!,0
64,4,2,2,4,1,1,1,1,0,0,0.009671,0.009899,0.009216,NOT SUPPORT!,0.032540,0.033906,NOT SUPPORT!,NOT SUPPORT!,2
64,4,4,4,4,1,1,1,1,0,0,0.010354,0.010126,0.009557,NOT SUPPORT!,0.032996,0.034020,NOT SUPPORT!,NOT SUPPORT!,2
64,4,7,7,4,1,1,1,1,0,0,0.010468,0.010581,0.009899,NOT SUPPORT!,0.033109,0.034702,NOT SUPPORT!,NOT SUPPORT!,2
64,4,8,8,4,1,1,1,1,0,0,0.009899,0.010468,0.010126,NOT SUPPORT!,0.033451,0.034475,NOT SUPPORT!,NOT SUPPORT!,0
64,4,15,15,4,1,1,1,1,0,0,0.010126,0.010581,0.010012,NOT SUPPORT!,0.035840,0.037319,NOT SUPPORT!,NOT SUPPORT!,2
64,4,16,16,4,1,1,1,1,0,0,0.010581,0.010695,0.010354,NOT SUPPORT!,0.036409,0.037319,NOT SUPPORT!,NOT SUPPORT!,2
64,4,24,24,4,1,1,1,1,0,0,0.011492,0.011492,0.011378,NOT SUPPORT!,0.044487,0.038343,NOT SUPPORT!,NOT SUPPORT!,2
64,4,32,32,4,1,1,1,1,0,0,0.011947,0.012288,0.011833,NOT SUPPORT!,0.043804,0.041870,NOT SUPPORT!,NOT SUPPORT!,2
64,4,48,48,4,1,1,1,1,0,0,0.015246,0.015815,0.015132,NOT SUPPORT!,0.078393,0.061554,NOT SUPPORT!,NOT SUPPORT!,2
64,4,64,64,4,1,1,1,1,0,0,0.019456,0.020252,0.019570,NOT SUPPORT!,0.060302,0.065650,NOT SUPPORT!,NOT SUPPORT!,0
