[64] [1, 3]
=========batchsize= 64 =======kernelsize= 1 ===========
*****file  perfrangeabove70.csv
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem
8 4 1 0.0
8 7 1 0.0
8 8 1 0.0
8 15 1 0.0
8 16 1 0.0
8 24 1 0.0
8 32 1 0.0
8 48 1 0.0
8 64 1 622.0
16 1 1 0.0
16 2 1 0.0
16 4 1 0.0
16 7 1 0.0
16 8 1 0.0
16 15 1 0.0
16 16 1 0.0
16 24 1 0.0
32 1 1 0.0
32 2 1 0.0
32 4 1 0.0
32 7 1 0.0
32 8 1 0.0
32 15 1 0.0
32 16 1 0.0
48 1 1 0.0
48 2 1 0.0
48 4 1 0.0
48 7 1 0.0
48 8 1 0.0
64 1 1 0.0
64 2 1 0.0
64 4 1 0.0
64 7 1 0.0
64 8 1 0.0
96 1 1 0.0
96 2 1 0.0
96 4 1 0.0
96 7 1 0.0
128 1 1 0.0
128 2 1 0.0
128 4 1 0.0
128 7 1 0.0
256 1 1 0.0
256 2 1 0.0
384 1 1 0.0
384 2 1 0.0
512 1 1 0.0
512 2 1 2835.0
640 1 1 0.0
640 2 1 3038.0
768 1 1 0.0
768 2 1 5168.0
896 1 1 0.0
896 2 1 5087.0
1024 1 1 0.0
2048 1 1 0.0
4096 1 1 0.0
*****file  perfrange60-70.csv
==================perfrange60-70=====================
perf occupancy sm l1 l2 sharedmem
48 128 1 42588.0
48 256 1 165811.0
48 512 1 667682.0
48 640 1 1041118.0
48 768 1 1504527.0
64 96 1 36163.0
64 128 1 57004.0
64 256 1 245403.0
96 32 1 3515.0
96 96 1 62166.0
96 97 1 76947.0
96 128 1 116183.0
96 256 1 468549.0
96 384 1 1066602.0
96 512 1 1905385.0
128 32 1 4192.0
256 16 1 0.0
384 15 1 6627.0
384 16 1 5553.0
640 96 1 9723276.0
640 128 1 19478439.0
768 7 1 0.0
1024 8 1 0.0
1024 48 1 5982092.0
2048 7 1 67463.0
2048 16 1 2356669.0
2048 24 1 4885161.0
2048 32 1 10267190.0
2048 48 1 20781993.0
2048 64 1 36170985.0
2048 96 1 82405304.0
2048 97 1 82082809.0
4096 8 1 2821592.0
4096 15 1 7060836.0
4096 16 1 8678120.0
4096 24 1 18123099.0
4096 32 1 37976405.0
4096 48 1 77342216.0
4096 64 1 129408868.0



=========batchsize= 64 =======kernelsize= 3 ===========
*****file  perfrangeabove70.csv
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem
*****file  perfrange50-60.csv
==================perfrange50-60=====================
perf occupancy sm l1 l2 sharedmem
8 96 3 30285.0
8 97 3 29747.0
8 128 3 55862.0
8 256 3 243375.0
8 384 3 556565.0
8 512 3 1001151.0
8 640 3 1574229.0
8 768 3 2284750.0
8 896 3 3110168.0
8 1024 3 4069698.0
16 48 3 11739.0
16 64 3 25459.0
16 96 3 69180.0
16 97 3 66557.0
16 128 3 126300.0
16 256 3 545676.0
16 384 3 1256366.0
16 512 3 2237252.0
16 640 3 3520094.0
16 768 3 5077791.0
16 896 3 6940064.0
16 1024 3 9098003.0
32 48 3 21855.0
32 64 3 47401.0
32 96 3 132567.0
32 97 3 123986.0
32 128 3 236784.0
32 256 3 1016466.0
32 384 3 2283604.0
32 512 3 4230812.0
32 640 3 6643001.0
32 768 3 9491055.0
32 896 3 13244685.0
48 32 3 15911.0
48 48 3 46642.0
48 64 3 101394.0
48 96 3 260328.0
48 97 3 252954.0
48 128 3 486212.0
48 256 3 1964047.0
48 384 3 4588821.0
48 512 3 8138832.0
48 640 3 12846171.0
48 768 3 18562388.0
64 32 3 35592.0
64 48 3 71925.0
64 64 3 158722.0
64 96 3 405717.0
64 97 3 394858.0
64 128 3 771601.0
64 256 3 3355400.0
64 384 3 7631294.0
64 512 3 13454602.0
64 640 3 21800124.0
96 24 3 139099.0
96 32 3 45920.0
96 48 3 157292.0
128 24 3 230550.0
128 32 3 463178.0
128 48 3 1157417.0
256 15 3 0.0
256 16 3 10415.0
256 32 3 466822.0
256 256 3 42239345.0
384 15 3 683523.0
384 16 3 790536.0
384 24 3 2058354.0
512 15 3 1166069.0
512 16 3 1365545.0
640 15 3 1843573.0
640 16 3 2109481.0
768 8 3 394773.0
768 15 3 2561054.0
1024 8 3 815200.0
1024 15 3 4529824.0
2048 7 3 2476664.0
2048 8 3 3454428.0
4096 7 3 9825450.0
4096 8 3 14368894.0
*****file  perfrange20-30.csv
==================perfrange20-30=====================
perf occupancy sm l1 l2 sharedmem
4 24 3 0.0
8 15 3 0.0
8 16 3 0.0
16 15 3 0.0
16 16 3 0.0
32 15 3 0.0
96 8 3 0.0
128 7 3 0.0
768 4 3 0.0
896 4 3 0.0
1024 4 3 0.0
2048 4 3 220668.0
*****file  perfrange30-40.csv
==================perfrange30-40=====================
perf occupancy sm l1 l2 sharedmem
4 32 3 0.0
8 24 3 0.0
8 32 3 0.0
16 24 3 0.0
32 16 3 0.0
48 15 3 0.0
64 15 3 0.0
128 8 3 0.0
256 8 3 0.0
384 7 3 0.0
640 7 3 198986.0
768 7 3 288155.0
4096 4 3 989546.0
*****file  perfrange40-50.csv
==================perfrange40-50=====================
perf occupancy sm l1 l2 sharedmem
4 48 3 2263.0
4 64 3 4808.0
4 96 3 13105.0
4 97 3 13089.0
4 128 3 23601.0
4 256 3 101733.0
4 384 3 232555.0
4 512 3 418448.0
4 640 3 655741.0
4 768 3 947178.0
4 896 3 1289486.0
4 1024 3 1685665.0
4 2048 3 6726231.0
8 48 3 5188.0
8 64 3 11061.0
16 32 3 0.0
32 24 3 0.0
32 32 3 0.0
48 16 3 0.0
48 24 3 0.0
64 16 3 0.0
64 24 3 0.0
96 15 3 0.0
96 16 3 0.0
128 15 3 0.0
128 16 3 72599.0
256 7 3 0.0
384 8 3 0.0
512 7 3 0.0
512 8 3 0.0
640 8 3 272034.0
896 7 3 411928.0
896 8 3 656073.0
1024 7 3 524213.0
*****file  perfrangeunder20.csv
==================perfrangeunder20=====================
perf occupancy sm l1 l2 sharedmem
1 4 3 0.0
1 7 3 0.0
1 8 3 0.0
1 15 3 0.0
1 16 3 0.0
1 24 3 0.0
1 32 3 16128.0
1 48 3 24768.0
1 64 3 33408.0
1 96 3 50688.0
1 97 3 52992.0
1 128 3 67392.0
1 256 3 133632.0
1 384 3 199872.0
1 512 3 274176.0
1 640 3 334080.0
1 768 3 385920.0
1 896 3 429120.0
1 1024 3 470592.0
1 2048 3 0.0
1 3072 3 0.0
2 4 3 0.0
2 7 3 0.0
2 8 3 0.0
2 15 3 0.0
2 16 3 0.0
2 24 3 0.0
2 32 3 0.0
2 48 3 0.0
2 64 3 0.0
2 96 3 0.0
2 97 3 0.0
2 128 3 0.0
2 256 3 0.0
2 384 3 0.0
2 512 3 0.0
2 640 3 0.0
2 768 3 0.0
2 896 3 0.0
2 1024 3 0.0
2 2048 3 0.0
2 3072 3 0.0
4 4 3 0.0
4 7 3 0.0
4 8 3 0.0
4 15 3 0.0
4 16 3 0.0
8 4 3 0.0
8 7 3 0.0
8 8 3 0.0
16 4 3 0.0
16 7 3 0.0
16 8 3 0.0
32 4 3 0.0
32 7 3 0.0
32 8 3 0.0
48 4 3 0.0
48 7 3 0.0
48 8 3 0.0
64 4 3 0.0
64 7 3 0.0
64 8 3 0.0
96 4 3 0.0
96 7 3 0.0
128 4 3 0.0
256 4 3 0.0
384 4 3 0.0
512 4 3 0.0
640 4 3 0.0
*****file  perfrange60-70.csv
==================perfrange60-70=====================
perf occupancy sm l1 l2 sharedmem
96 64 3 1403243.0
96 96 3 3315959.0
96 97 3 3355532.0
96 128 3 6050489.0
96 256 3 24678547.0
96 384 3 55583400.0
96 512 3 98809575.0
128 64 3 2190235.0
128 96 3 5101290.0
128 97 3 5173858.0
128 128 3 9295178.0
128 256 3 37795599.0
128 384 3 85379750.0
256 24 3 921579.0
256 48 3 4355883.0
256 64 3 8201845.0
256 96 3 18958301.0
256 97 3 19215617.0
256 128 3 34481549.0
384 32 3 3967379.0
384 48 3 9558190.0
384 64 3 18030468.0
384 96 3 41392511.0
384 97 3 42106487.0
384 128 3 75484532.0
384 256 3 305264050.0
512 24 3 3570284.0
512 32 3 6891222.0
512 48 3 16722739.0
512 64 3 31484593.0
512 96 3 72410005.0
512 97 3 73543413.0
512 128 3 132403359.0
640 24 3 5596633.0
640 32 3 10614759.0
640 48 3 25843736.0
640 64 3 47553733.0
640 96 3 108268291.0
640 97 3 110055107.0
640 128 3 196876861.0
768 16 3 2990011.0
768 24 3 7648131.0
768 32 3 14367120.0
768 48 3 34337582.0
768 64 3 63976892.0
768 96 3 145761950.0
768 97 3 147969978.0
768 128 3 261073169.0
896 15 3 3687348.0
896 16 3 4279845.0
896 24 3 10944170.0
896 32 3 20350723.0
896 48 3 48872862.0
896 64 3 90086296.0
896 96 3 207279656.0
896 97 3 211038816.0
896 128 3 372519764.0
1024 16 3 5276749.0
1024 24 3 13409289.0
1024 32 3 24905300.0
1024 48 3 59451725.0
1024 64 3 109980179.0
1024 96 3 252704263.0
1024 97 3 257832115.0
1024 128 3 454444759.0
2048 15 3 18154391.0
2048 16 3 21069585.0
2048 24 3 53157482.0
2048 32 3 98706055.0
2048 48 3 235625214.0
2048 64 3 434680342.0
2048 96 3 998514185.0
2048 97 3 1017885066.0
4096 15 3 72102982.0
4096 16 3 83363840.0
4096 24 3 210442816.0
4096 32 3 392287393.0
4096 48 3 936469911.0
4096 64 3 1725941704.0



