min wino algo ratio:  83 231 437 0.528604118993135 83 231 322 0.528604118993135
min wino algo ratio:  81 199 437 0.45537757437070936 81 199 306 0.45537757437070936
min wino algo ratio:  90 169 437 0.38672768878718533 90 169 286 0.38672768878718533
min wino algo ratio:  73 159 437 0.36384439359267734 73 159 269 0.36384439359267734
