=====================Occupancy==========================
29.9 37.5864
22.28 25.085333333333327
41.12 43.05567567567567
30.89 31.7055
36.144999999999996 57.805625
92.27 80.22435897435899
36.785 40.13982142857143
=====================SM Utilization==========================
18.91 28.137840000000008
43.57 45.588
61.18 68.4337837837838
70.095 69.035
81.15 91.73906249999999
109.1 109.77769230769233
95.195 96.57535714285714
=====================threadnum==========================
28800.0 41591958.528
65536.0 346327.4666666667
2097152.0 21515059.891891893
196608.0 9290636.8
461568.0 3948920.0
4260096.0 10040548.102564102
1919488.0 4594733.714285715
=====================registernum==========================
64.0 60.304
80.0 77.73333333333333
80.0 80.43243243243244
80.0 79.2
87.0 92.03125
144.0 121.53846153846153
144.0 144.0
=====================sharedmem_throughput==========================
2.39 5.59664
24.55 25.038
33.25 33.83135135135135
42.055 41.452000000000005
50.58 47.496562499999996
37.81 41.329230769230776
29.52 30.05125
=====================sharemem_bankconflict==========================
0.0 150.184
0.0 55608.53333333333
67584.0 637745.4054054054
4263.5 306324.25
127740.5 2452504.0
1066602.0 14438167.487179488
204231.0 563048.1964285715
=====================l1_throughput==========================
11.46 12.098
35.67 37.784666666666666
52.56 52.120000000000005
61.730000000000004 60.48499999999999
74.66499999999999 68.490625
64.84 63.315641025641035
39.545 40.98339285714286
=====================l2_throughput==========================
9.56 17.589279999999995
37.97 39.108
66.21 65.25675675675674
46.57 50.606500000000004
35.06 45.8128125
62.86 58.67256410256409
28.465 31.5425
