=========batchsize= 64 =======kernelsize= 1 ===========
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem
11542.91173555709 57.92 97.48 68.66 39.93 50.45


==================perfrange20-30=====================
perf occupancy sm l1 l2 sharedmem


4921.363519024784 22.28 43.57 35.67 37.97 24.55
4971.4675078999835 25.085333333333327 45.588 37.784666666666666 39.108 25.038


4464.228450544082 45.33 71.44 28.19 36.75 22.18
4666.58721205828 46.2 73.95 29.26 37.97 23.01
4767.017831718335 34.39 45.83 33.41 52.61 23.51
4017.397908474499 24.03 35.66 33.45 50.42 19.89
5010.719420304513 28.78 44.32 42.0 61.67 24.75
5563.3988053845 48.400000000000006 39.330000000000005 51.84 87.92 31.130000000000003
4446.195193341684 20.86 38.68 32.95 41.86 23.38
5142.630284594885 22.28 43.57 36.21 36.4 26.34
4921.363519024784 19.85 40.54 38.58 44.59 24.55
5676.830045913915 21.77 47.08 43.92 40.0 28.51
4628.722602593388 10.57 38.71 35.67 24.73 24.13
5486.789162692291 12.32 44.46 41.06 21.91 28.14
4608.000089989108 7.09 35.24 34.84 18.81 22.81
5387.005338601903 7.2 40.21 50.68 17.49 26.5
5785.126753263581 27.21 44.8 34.71 13.489999999999998 26.74


==================perfrange30-40=====================
perf occupancy sm l1 l2 sharedmem


7056.782444737758 41.12 61.18 52.56 66.21 33.25
7002.239392778772 43.05567567567567 68.4337837837838 52.120000000000005 65.25675675675674 33.83135135135135


6304.609601930253 45.79 72.78 38.41 60.42 28.43
6237.653627541186 45.8 72.25 43.72 78.46 28.23
6529.91641690264 46.73 75.08 39.7 62.14 29.36
6795.673842945409 47.64 77.28 40.95 65.03 30.27
6825.111310879564 47.77 77.52 41.04 65.65 30.36
6853.553951703452 47.84 77.77 41.22 65.91 30.47
6851.8136533474535 47.85 77.79 41.21 65.82 30.48
6855.733811733335 47.89 77.7 41.14 65.91 30.44
6861.94110626602 47.89 77.83 41.22 66.03 30.49
6870.131050798344 47.9 77.98 41.34 66.21 30.56
6008.901767862419 41.12 57.06 42.37 65.57 29.67
6549.7589829788 43.89 62.55 46.7 71.26 32.65
7480.287964445342 46.25 68.81 51.63 78.68 36.05
6377.0811461144 46.07 58.57 50.06 84.75 30.69
7645.492986694327 47.19 70.25 52.75 80.33 36.83
7643.26483347425 78.03 84.37 57.59 59.29 39.85
7687.639942313807 93.11 104.28 65.23 73.94 40.85
7707.247067052293 96.37 112.44 68.47999999999999 79.49 41.31
7707.362300580709 98.01 118.75 70.97999999999999 83.75 41.58
6248.306961039772 32.78 53.07 50.98 73.5 29.83
6549.368029569812 34.24 54.54 52.56 75.05 30.7
7303.1896067550815 35.47 61.18 59.18 84.39 34.49
7262.224098872139 35.94 61.03 59.06 84.39 34.42
7349.221476675381 36.39 61.27 59.28 85.71 34.57
7065.469212891037 36.48 58.94 56.95 83.03 33.25
7231.478051210158 36.5 60.19 58.18 84.36 33.96
6260.422104226971 36.52 52.24 50.29 74.29 29.44
7255.495258288541 36.53 60.42 58.42 84.77 34.08
6784.935637594511 36.53 56.55 54.56 80.0 31.89
7172.383625569679 30.16 59.86 49.82 49.22 36.24
7604.148252936265 29.94 59.97 56.48 50.47 36.35
6502.561014575683 26.6 52.45 49.74 41.55 32.7
7699.388554523028 27.23 60.55 56.5 36.74 37.76
7056.782444737758 10.81 54.49 53.5 24.08 35.55
7237.449608038561 12.11 54.97 53.78 21.91 36.01
7571.421493767682 14.08 56.85 55.48 21.19 37.32
7135.436735978497 21.61 52.42 77.94 21.21 44.63


==================perfrange40-50=====================
perf occupancy sm l1 l2 sharedmem


8707.447439276944 30.89 70.095 61.730000000000004 46.57 42.055
8707.895318502175 31.7055 69.035 60.48499999999999 50.606500000000004 41.452000000000005


7941.640412266281 48.02 72.62 54.63 84.4 38.13
7855.450937297754 48.22 71.42 53.67 83.27 37.49
7898.223296307278 48.25 72.04 54.15 84.0 37.82
8169.531679421385 32.66 67.22 56.18 54.92 40.84
8848.528408569695 34.83 72.38 60.6 65.03 44.03
9623.600146283678 36.31 77.67 65.28 70.7 47.36
8897.561456069807 36.34 71.76 61.39 82.8 43.78
8517.697455789848 32.64 68.58 65.05 57.93 41.77
9609.50988307842 45.57 77.63 73.95 69.65 47.85
9601.662353561782 48.44 76.97 74.52 87.03 47.58
7947.485995024207 28.36 62.89 59.52 38.22 39.81
9008.920562922172 29.14 69.8 65.11 33.19 44.19
7806.003299618803 17.18 59.8 57.93 31.81 38.72
7927.578714517958 20.3 60.58 56.06 23.21 39.22
9091.731985260192 22.98 68.7 66.37 32.38 44.82
9352.105263574804 26.22 70.39 65.06 24.36 45.93
9541.782272799408 26.52 71.34 68.79 31.27 46.73
9400.121600302748 12.98 61.2 27.11 10.46 18.86
8566.366469984194 19.14 63.92 62.26 23.42 42.08
8552.404177393053 20.01 63.79 62.07 24.08 42.03


==================perfrangeunder20=====================
perf occupancy sm l1 l2 sharedmem


1172.8372250882107 29.9 18.91 11.46 9.56 2.39
1474.1194442198062 37.5864 28.137840000000008 12.098 17.589279999999995 5.59664


2.1589048998923057 25.77 0.29 0.18 1.97 0.06
9.086955900387068 3.12 0.35 0.1 1.17 0.08
5.37599694641419 48.86 0.16 0.12 0.58 0.01
100.40204552280058 3.12 4.02 1.08 1.49 0.95
137.89682405381137 3.67 4.87 1.31 1.5 1.16
367.0806552505604 47.36 36.58 8.98 3.38 8.39
429.2082815436652 50.510000000000005 40.59 10.0 3.53 9.35
944.1879019297533 25.25 32.16 8.64 5.61 7.63
924.2978453686784 61.71 78.71 17.810000000000002 8.02 16.21
1172.8372250882107 90.33 103.74 21.48 12.44 18.77
1301.4708928717985 111.25 120.45 23.65 15.89 20.08
1750.6698546323266 35.09 76.87 17.52 3.51 16.9
1751.1143304454465 35.09 76.9 17.52 3.56 16.91
1791.9999061350068 83.07 46.8 11.76 32.23 4.29
2350.565103842642 82.38 60.98 15.37 43.49 5.7
2464.445613282883 82.83 63.0 15.59 45.88 5.91
2498.8760609101123 83.05 63.86 15.69 47.08 6.0
2513.6177932607416 82.98 64.05 15.68 47.15 6.02
2525.497823679176 83.06 64.31 15.71 47.55 6.05
2531.972061967864 83.08 64.35 15.7 47.77 6.05
2535.4169198707814 83.07 64.37 15.69 47.82 6.06
2541.269016213631 83.17 64.51 15.7 48.1 6.07
2544.548197186867 83.15 64.55 15.7 48.04 6.08
3.543476812802691 24.48 0.28 0.1699999999999999 1.87 0.07
14.251363734100982 29.9 0.97 0.39 1.87 0.25
45.6666785005174 3.12 1.4 0.47 1.31 0.35
139.12947446357 3.12 4.03 1.23 2.19 1.01
194.99057118661003 36.43 14.55 4.340000000000001 2.78 3.94
223.63626559668305 47.12 4.25 0.92 2.84 0.15
257.5703891257125 48.03 4.88 0.99 3.06 0.16
1169.0660378286716 25.82 31.64 9.65 9.8 8.1
927.8225337767934 56.67 16.95 3.52 12.31 0.57
2143.619176159052 31.39 56.67 17.42 16.59 14.6
2519.201220685906 32.78 63.1 19.44 17.53 16.29
2825.092135638984 85.26 48.23 11.44 32.29 1.78
2841.7606957439257 85.42 47.62 11.36 32.86 1.76
3009.69010201364 35.92 67.72 48.61 9.58 41.86
3604.260130209261 85.22 59.09 14.08 43.21 2.22
3650.231513887276 85.59 59.48 14.13 44.15 2.24
3767.559018683279 85.21 61.31 14.6 45.86 2.31
3796.236207652047 85.06 61.72 14.73 46.05 2.33
3804.867087362729 85.04 61.67 14.72 46.25 2.33
3809.989974264493 85.12 61.81 14.75 46.3 2.33
3827.4307632203686 84.93 62.05 14.84 46.41 2.34
3402.850721627 85.73 55.13 13.03 49.77 2.08
3401.609213849584 85.69 55.12 13.03 49.82 2.08
4.241205208456058 3.07 0.1 0.1 1.07 0.03
23.59596436854546 28.88 1.03 0.51 1.81 0.32
29.99998154698021 47.73 0.6 0.17 0.51 0.02
241.4852654597421 34.66 11.69 4.35 3.47 3.83
257.21904761803466 3.63 5.45 2.02 3.3 1.6
387.559569031095 47.71 8.49 2.55 4.9 0.23
458.507646982829 48.48 9.41 2.59 4.29 0.26
909.4733952326516 63.71 18.91 5.32 12.1 0.52
1204.7062062053596 83.76 24.33 7.08 15.64 0.69
1847.3053804535105 85.09 36.54 11.04 23.15 1.07
3457.024 32.86 60.71 23.73 31.2 18.72
2583.7071938587364 89.17 48.47 15.5 32.1 1.46
2831.268457597051 88.91 52.43 16.52 36.39 1.59
3078.413355788931 87.62 56.79 18.09 39.31 1.72
3117.154095799082 87.26 57.41 18.37 39.79 1.74
3144.7216856925816 87.48 57.85 18.54 40.24 1.75
3142.3761279307705 87.6 57.85 18.55 40.17 1.75
3116.7906107120966 87.41 57.33 18.38 40.39 1.74
3055.167739570538 87.39 56.17 17.94 43.56 1.7
2382.1760569699754 88.83 43.8 13.73 53.07 1.33
7.8375629675181155 3.06 0.11 0.1 1.03 0.04
27.72275355439317 3.06 0.45 0.41 1.24 0.17
12.156427845563243 48.06 2.36 0.34 0.53 0.02
316.1290145507114 3.07 4.98 3.33 7.57 1.85
479.7274181561264 36.120000000000005 16.18 7.76 6.27 6.74
117.6923339375138 47.92 22.59 3.73 4.49 0.18
1405.4893635801486 13.09 20.97 10.44 18.79 7.87
2592.926330031695 25.91 37.72 18.89 32.2 14.25
3746.5769156189217 33.91 47.89 24.32 40.22 18.24
2817.631213614311 30.660000000000004 37.73 30.5 17.94 25.33
3539.82895655245 33.12 47.64 38.42 21.74 31.89
12.807515903410518 3.09 0.14 0.18 0.94 0.07
44.36048722759027 3.07 0.54 0.69 1.28 0.26
31.231060794074494 48.76 5.44 0.84 0.5 0.02
523.2066634706085 3.09 6.23 5.92 13.11 3.05
656.2539378247735 3.67 7.61 5.24 9.11 3.72
1777.9809727566433 11.52 19.91 17.09 32.4 9.8
2183.180524800885 13.12 24.75 17.13 28.58 12.18
3429.456139847552 24.77 34.68 24.25 39.82 17.15
18.26524120833606 3.12 0.17 0.39 0.77 0.1
64.9442773515605 3.11 0.64 1.22 1.86 0.35
274.1592685474055 3.12 2.64 2.96 4.68 1.47
798.1845694030451 3.12 7.55 9.41 17.07 4.21
1012.8700418690484 3.72 9.7 8.96 15.0 5.46
2330.962499098626 11.79 20.66 22.27 40.41 11.52
2804.6722923249963 12.94 25.73 23.84 36.79 14.35
48.78947734366995 3.11 0.45 0.79 0.81 0.27
163.41569395386875 3.11 1.48 2.04 2.47 0.9
698.8110477516291 3.11 6.33 6.08 5.91 3.82
1846.2587981303293 5.49 16.66 14.81 21.35 10.07
2579.478958128758 7.14 22.99 19.21 19.25 14.01
51.19149849897201 3.12 0.45 1.04 0.7 0.27
190.10374013464087 3.12 1.65 2.44 3.35 1.0
799.9170683886803 3.12 7.0 7.34 7.69 4.24
2113.1659694428004 5.55 18.35 17.81 24.26 11.14
2797.101477812362 7.1 23.95 21.98 20.86 14.58
89.5041098082141 3.12 0.78 1.77 0.7 0.48
339.0356164542773 3.12 2.81 3.94 3.66 1.75
1477.8682292084002 3.12 12.1 12.18 9.38 7.52
3400.504556077836 8.07 28.35 27.53 26.15 17.68
129.91783480333353 3.12 1.07 2.51 0.85 0.68
502.4634877864509 3.12 4.06 5.54 4.05 2.57
2052.294871081515 3.7 16.78 16.67 9.56 10.58
3130.2363801846 13.79 22.51 11.46 9.66 7.93
303.3715948129755 3.12 2.38 5.59 1.56 1.54
1201.3878860045822 3.12 9.3 12.14 6.59 6.02
477.1545240954716 3.12 3.66 8.62 2.31 2.39
1895.2431811248805 3.12 14.5 18.64 8.45 9.46
657.6358629100441 3.12 5.22 11.87 3.09 3.38
570.9057276509056 25.04 7.73 6.34 3.66 4.66
825.1780700919945 3.12 6.51 14.83 3.79 4.23
793.7702539112704 25.0 9.87 7.99 4.21 5.95
1026.70009815888 3.12 8.07 18.36 4.66 5.25
1029.998916895664 24.98 11.88 9.55 4.68 7.19
1208.391988383311 3.12 9.44 21.51 5.42 6.16
1260.9361926363722 24.950000000000003 14.07 11.24 5.18 8.53
1409.0149242497016 3.12 10.87 24.75 6.22 7.09
138.72751017505036 49.96 21.32 57.38 10.2 0.0
183.237249692967 49.9 28.13 75.75 14.72 0.0


==================perfrange60-70=====================
perf occupancy sm l1 l2 sharedmem


12328.615490320084 92.27 109.1 64.84 62.86 37.81
12457.4792916446 80.22435897435899 109.77769230769233 63.315641025641035 58.67256410256409 41.329230769230776


12734.425799640758 36.72 86.11 47.3 41.39 36.95
11833.64882924366 52.040000000000006 87.55 53.58 61.620000000000005 36.75
11876.774151733764 94.22 109.1 61.37 76.05 37.81
11833.553436021672 93.32 118.08 64.84 82.07000000000001 38.17
11837.700566026842 96.44 126.25 68.04 87.47999999999999 38.59
13033.67657126114 36.42 86.31 46.77 41.96 34.07
13332.180555429832 36.78 89.21000000000001 48.0 43.44 34.75
13627.570066409377 52.11 98.58 51.34 49.71 35.61
11851.767991609602 33.400000000000006 78.19999999999999 37.83 28.65 29.130000000000003
12989.653331040969 36.6 85.11 53.28 55.02 33.54
12798.644628977156 36.71 83.45 52.75 61.86 32.9
13205.903905679796 36.84 87.74 54.48 56.35 34.12
13386.150003443816 52.13 96.35 57.45 62.23 34.66
13288.753350325143 78.25 106.38 60.68 68.29 34.88
13476.605448830194 94.39 117.94 65.27 76.28 35.77
12335.063348367426 33.29 80.50999999999999 38.07 30.23 28.26
12459.960815726816 28.01 80.84 35.18 16.55 26.32
12603.485572445185 32.24 80.04 34.46 18.8 25.42
12588.405002256171 29.91 80.27 33.96 18.41 25.48
11905.02616851791 133.22 141.58 86.06 85.77 53.580000000000005
11925.65659161085 134.07 142.2 86.34 86.5 53.67
12685.89834279552 20.76 80.85 35.34 15.14 24.93
13636.703284124682 26.58 86.35 35.11 14.6 26.46
11804.814840154128 125.18 134.69 82.33 77.98 52.05
11870.687712144678 21.83 80.25 41.92 17.48 31.16
11925.854698889329 92.27 121.42 77.28 62.86 51.93
12010.988899795218 111.02 126.85 79.36 68.21 52.09
12153.819339645335 121.85 133.51 82.05 74.63 52.620000000000005
12191.87071592495 129.78 137.15 83.39 78.35 52.7
12179.2884850119 132.44 138.22 83.67999999999999 79.81 52.620000000000005
12209.307079024478 134.14 139.65 84.27 81.11 52.74
12123.865338232266 134.21 137.46 83.58 82.2 52.38
12231.289434904704 68.4 106.55 72.92 44.58 53.14
12153.33497540418 119.27 118.53 76.95 60.85 52.24
12251.45057870133 112.34 125.69 79.07 65.99000000000001 52.57
12328.615490320084 125.11 135.28 82.63 76.08 52.77
12382.37320113342 129.72 138.28 83.87 78.97 53.010000000000005
12400.425934816454 132.8 139.21 84.25 80.07000000000001 53.07
12376.497888518716 133.94 139.59 84.26 80.66 52.93





=========batchsize= 64 =======kernelsize= 3 ===========
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem






==================perfrange50-60=====================
perf occupancy sm l1 l2 sharedmem


10739.242891976506 36.77 80.2 66.43 20.54 52.6
10657.078460106308 36.50759493670886 79.12329113924052 67.20101265822787 19.030379746835443 51.460379746835436


9937.609504800488 35.91 78.4 60.22 20.6 51.24
9941.008683571945 35.91 78.28 60.15 20.54 51.16
10053.739419325688 36.37 79.2 60.47 21.24 51.77
10205.233987080825 36.86 80.16 60.84 22.09 52.41
10228.78932478367 36.96 80.34 60.95 22.5 52.52
10239.617161034834 37.0 80.41 60.99 22.68 52.57
10246.698650227385 37.03 80.42 60.94 22.67 52.58
10249.04642557359 37.04 80.45 60.91 22.77 52.6
10250.027851467195 37.04 80.46 60.94 22.79 52.6
10250.196926551176 37.04 80.45 60.93 22.79 52.6
9860.142978934862 32.87 75.76 63.21 20.64 50.28
10209.709921963786 34.73 78.13 64.69 20.86 51.87
10508.156279217208 36.15 80.18 65.94 21.95 53.26
10489.553042755131 36.15 80.12 65.89 21.88 53.21
10596.619764477608 36.63 80.87 66.09 22.38 53.72
10703.189396617714 37.1 81.56 66.3 23.29 54.19
10731.86487653797 37.19 81.72 66.44 23.54 54.29
10739.242891976506 37.23 81.76 66.43 23.65 54.32
10741.943168825292 37.24 81.79 66.42 23.74 54.34
10739.264268308356 37.25 81.79 66.36 23.72 54.34
10742.261882987985 37.25 81.82 66.43 23.69 54.36
10746.886519969785 37.26 81.83 66.42 23.7 54.37
10053.43436835929 33.19 75.5 72.54 21.01 49.09
10314.34759737361 35.01 77.49 73.92 21.34 50.4
10574.520289175834 36.29 79.4 75.27 22.31 51.66
10578.483603606051 36.35 79.61 75.38 22.24 51.79
10678.351330390946 36.77 80.2 75.63 22.73 52.18
10774.005273712202 37.22 80.75 75.77 23.21 52.54
10776.784747198972 37.31 80.87 75.86 23.2 52.62
10788.54188511491 37.34 80.96 75.91 23.34 52.68
10784.492056369396 37.35 80.91 75.81 23.26 52.65
10802.667660057818 37.36 81.01 75.86 23.28 52.72
10790.213937823308 37.37 80.95 75.82 23.27 52.67
10379.169615630948 32.29 77.85 68.57 13.58 51.88
10618.728835937574 35.13 79.11 68.87 14.66 52.73
10769.151134422946 36.13 80.49 69.47 15.19 53.66
10775.526956976868 48.88 83.8 71.77 15.46 56.14
10787.990055558414 48.88 83.91 71.87 15.66 56.2
10948.750929359298 37.1 81.76 69.78 15.8 54.51
10992.199753616638 37.34 82.05 69.77 15.94 54.71
11002.67614971925 37.38 82.12 69.88 16.15 54.76
11006.87565030499 37.4 82.13 69.8 16.1 54.76
11007.090964685283 37.4 82.12 69.78 16.23 54.76
11009.645611715152 37.41 82.14 69.77 16.25 54.77
10351.472199027356 32.34 77.12 74.81 17.81 50.65
10571.668083333485 35.14 78.96 75.57 19.08 51.85
10768.126161741977 36.16 80.14 76.07 20.11 52.64
10720.142396569552 48.91 83.31 78.27 20.4 54.97
10735.776155561907 48.96 83.38 78.31 20.61 55.01
10908.326281321786 37.12 81.2 76.19 22.29 53.35
10813.791714332348 49.79 83.95 78.1 22.53 55.4
10968.8927790545 37.4 81.61 76.18 23.52 53.62
10958.800305234374 37.42 81.59 76.14 23.94 53.61
10958.61366987487 37.43 81.59 76.09 23.54 53.62
10284.411103072993 30.46 71.08 53.16 12.22 44.37
10404.950294809136 33.91 77.35 74.92 17.8 50.95
10756.605120860811 35.87 79.89 76.33 19.08 52.64
10112.28885809663 30.56 69.31 53.39 14.71 42.83
10806.649122348534 33.71 74.39 57.34 16.01 46.01
11690.694816379124 35.82 80.28 61.61 17.61 49.69
10198.53116486596 38.08 79.05 76.51 18.87 52.42
10266.81981002116 39.69 79.3 76.4 17.9 52.61
10741.050006270012 47.49 83.07 79.9 19.89 55.15
10939.611542038543 49.95 84.53 78.2 21.8 56.14
10884.75410311481 30.83 74.63 57.38 13.57 46.23
10693.065282984306 31.87 73.11 56.13 13.24 45.29
11612.14665779059 35.12 79.56 61.12 14.44 49.33
10556.772244152016 32.65 72.26 55.54 12.87 44.79
10764.429197956051 33.2 73.87 56.69 13.07 45.8
11611.972038406277 33.5 79.56 61.14 14.14 49.31
10870.611456751558 34.03 74.55 57.2 13.16 46.2
10201.782334723246 21.14 69.85 53.53 12.42 43.19
11236.555890982328 34.13 76.84 59.05 13.63 47.64
9980.540373684404 26.68 68.29 52.34 12.14 42.29
11606.58386216585 34.94 79.47 61.07 14.04 49.31
10491.925534512307 29.5 71.78 55.81 13.07 44.49
10359.682140479568 31.57 71.04 54.52 12.58 44.06
10903.624665795687 33.17 74.7 58.12 13.49 46.34
11553.079645985672 34.45 79.1 60.69 13.9 49.09


==================perfrange20-30=====================
perf occupancy sm l1 l2 sharedmem


4756.276736713687 9.165 38.614999999999995 35.84 12.455 25.3
4905.296033379608 9.415000000000001 39.01583333333333 37.196666666666665 12.280833333333332 25.466666666666665


5392.887893846646 20.52 46.89 35.79 12.13 30.05
3982.839162571813 9.15 34.93 27.85 10.59 22.84
4619.1511911789175 10.81 39.75 31.57 11.39 25.96
5090.441251502641 9.18 42.33 35.89 12.45 28.06
5829.911111087264 10.78 48.65 41.2 13.52 32.26
5778.21676352341 9.28 44.0 42.99 13.62 28.56
4578.736341255555 6.11 34.09 33.32 12.46 22.44
4351.033103326672 5.66 32.52 32.93 11.75 21.44
4250.659877704942 5.47 33.1 40.34 12.54 21.74
4833.462163446588 6.33 37.48 45.72 14.18 24.64
5477.122231130067 7.19 42.37 51.78 15.64 27.9
4679.091309980785 12.5 32.08 26.98 7.1 19.71


==================perfrange30-40=====================
perf occupancy sm l1 l2 sharedmem


6726.350794863904 14.82 54.15 49.26 13.83 35.27
6904.74156508259 16.58923076923077 52.643846153846155 45.94538461538461 13.143846153846154 34.114615384615384


6706.057643379542 28.18 56.49 43.07 13.83 36.24
6599.106071931673 19.81 54.15 42.91 15.31 35.27
7785.507765686604 28.02 63.08 49.9 17.26 41.11
7632.05854231524 19.35 59.92 50.72 16.9 39.7
6558.330006375643 10.87 50.63 49.26 14.73 32.86
7366.67831168617 14.96 55.87 49.38 10.92 37.2
7516.891713153786 14.82 56.66 55.27 13.42 37.16
6043.838549687912 7.96 45.51 44.41 14.49 30.01
6726.350794863904 12.6 52.21 50.24 13.22 34.51
7081.755697935509 13.25 54.65 54.78 14.6 36.12
6516.219339433995 14.34 44.58 34.45 8.15 27.45
7298.032021512319 16.74 50.05 38.73 9.1 30.88
5930.813888111349 14.76 40.57 34.17 8.94 24.98


==================perfrange40-50=====================
perf occupancy sm l1 l2 sharedmem


9279.13576900839 28.33 70.25 57.245000000000005 17.61 46.42
9133.043975074683 27.70088235294118 70.35411764705884 58.365 16.65264705882353 45.52117647058823


8288.010506934868 32.64 68.27 51.43 16.09 43.88
8854.272968951645 34.35 72.18 53.92 16.66 46.43
9293.911773779815 35.66 75.33 55.94 17.45 48.48
9298.01744897266 35.67 75.52 56.1 17.77 48.6
9464.05543630877 36.12 76.53 56.53 18.08 49.25
9646.59426774643 36.6 77.71 57.09 18.79 50.02
9675.725412476157 36.7 77.95 57.24 19.19 50.17
9690.192273801704 36.73 78.03 57.28 19.33 50.22
9695.08514076513 36.75 78.06 57.26 19.36 50.24
9697.03703979747 36.77 78.09 57.24 19.37 50.26
9698.49364655556 36.77 78.09 57.25 19.41 50.27
9699.59028990966 36.76 78.11 57.26 19.45 50.28
9705.166036174474 36.78 78.14 57.24 19.43 50.29
