,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
13,6.515199935085618e-05,0.0,0.0,0.0,31808.0,0.0,164544.0,0.0,0.0,0.0,0.0,0.61,0.61,0.63,602240.0,1426048.0,5103584.0,0.86,2112.0,0.03,13.85,0.0,32.0,65536.0,228160.0,0.0,228160.0,0.37885228480340066,0.1599946144870299,0.04470583809338692,3.261458754012515,0.0
14,6.614399683758213e-05,0.0,0.0,0.0,42896.0,0.0,169344.0,0.0,0.0,0.0,0.0,0.67,0.67,0.56,602240.0,1417888.0,5207968.0,0.78,2128.0,0.03,16.45,0.0,32.0,65536.0,255136.0,0.0,255136.0,0.42364505844845907,0.1799408698007177,0.04898954832287756,3.5923731216388437,0.0
15,3.654399710319701e-05,0.0,0.0,0.0,54880.0,0.0,174304.0,0.0,0.0,0.0,0.0,1.96,1.96,1.03,602368.0,1439968.0,5323040.0,1.27,2144.0,0.05,19.66,0.0,32.0,65536.0,284064.0,0.0,284064.0,0.4715788355291118,0.19727105046778817,0.05336499443926779,7.239361777763138,0.0
16,3.865600420134634e-05,0.0,0.0,0.0,67760.0,0.0,179424.0,0.0,0.0,0.0,0.0,0.85,0.85,0.94,602240.0,1436032.0,5416288.0,1.25,2160.0,0.05,22.01,0.0,32.0,65536.0,314944.0,0.0,314944.0,0.5229543039319873,0.2193154470095374,0.05814757265492529,7.5878110787633215,0.0
17,2.7615998020957265e-05,0.0,0.0,0.0,81536.0,0.0,184704.0,0.0,0.0,0.0,0.0,1.1,0.92,1.35,602240.0,1408288.0,5522560.0,1.65,2176.0,0.06,24.2,0.0,32.0,65536.0,347776.0,0.0,347776.0,0.5774707757704569,0.24694948760480812,0.06297369335960135,11.728406102277287,0.0
18,1.321599999993988e-05,0.0,0.0,0.0,224000.0,0.0,232704.0,0.0,0.0,0.0,0.0,2.36,1.28,2.9,602240.0,1457792.0,4926176.0,3.68,2304.0,0.15,23.59,0.0,32.0,65536.0,680704.0,0.0,680704.0,1.13028692879915,0.46694178593379576,0.13818101505102537,47.96875013876654,0.0
19,8.479999638991163e-06,0.0,0.0,0.0,680960.0,0.0,359424.0,0.0,0.0,0.0,0.0,3.91,1.67,5.04,602240.0,1570016.0,3366304.0,7.13,2560.0,0.27,19.16,0.0,32.0,65536.0,1721344.0,0.0,1721344.0,2.8582359192348563,1.096386278865948,0.5113453805716893,189.04794742062333,0.0
20,2.5152001015070005e-05,0.0,0.0,0.0,0.0,32.0,139264.0,4096.0,0.0,0.0,128.0,1.17,0.28,1.21,524416.0,1566848.0,525312.0,0.14,258.0,0.01,24.96,0.0,32.0,1024.0,147488.0,65536.0,213024.0,0.4062118623382963,0.13595702965444,0.4055190058479532,7.887804235377473,2.4266521066626208
21,7.446400130876756e-05,0.0,0.0,0.0,24640.0,0.0,134592.0,0.0,0.0,0.0,0.0,1.46,1.46,0.47,524416.0,1243424.0,4196352.0,1.09,2112.0,0.02,7.46,0.0,32.0,65536.0,183872.0,0.0,183872.0,0.3506224066390041,0.14787554366008698,0.04381710590531967,2.299690339357772,0.0
22,6.36159984121445e-05,0.0,0.0,0.0,43232.0,0.0,145568.0,0.0,0.0,0.0,0.0,0.89,0.89,0.5,524416.0,1254880.0,4464320.0,1.13,4256.0,0.05,10.48,0.0,32.0,65536.0,232032.0,0.0,232032.0,0.4424578960214791,0.18490373581537678,0.05197476883377536,3.396891427108769,0.0
