input_size,output_size,Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Bandwidth,bw_ratio
"[64, 512, 97, 97]","[2, 2]",0.0039645760032209,33.68,33.68,19.16,0.07,0.0,293.6593061321725,18.884842838081838
"[64, 512, 97, 97]","[3, 3]",0.0032026559958276,80.54,80.54,23.81,0.09,0.0,367.8431516479837,23.65550814456487
"[64, 512, 97, 97]","[4, 4]",0.002285727999028,33.23,33.23,32.55,0.14,0.0,521.5096105244413,33.53759553211842
"[64, 512, 97, 97]","[5, 5]",0.0032140480032186,26.57,26.57,23.01,0.11,0.0,372.8274562367566,23.97604220172068
"[64, 512, 97, 97]","[6, 6]",0.0019724160025728,71.91,71.91,34.96,0.19,0.0,593.9673726051009,38.19725868843092
"[64, 512, 97, 97]","[7, 7]",0.0021249279977561,29.4,29.4,31.94,0.19,0.0,545.3287785372082,35.06937482554394
"[64, 512, 97, 97]","[8, 8]",0.0015993279977483,38.25,29.95,41.73,0.26,0.0,725.5247161852393,46.65753801834337
"[64, 512, 97, 97]","[16, 16]",0.0012957439977472,48.04,21.89,51.05,0.33,0.0,909.9398772476416,58.51703390660074
"[64, 512, 97, 97]","[32, 32]",0.0012888639971074,52.04,16.18,54.55,0.33,0.0,986.1406809422572,63.417407134550295
"[64, 2048, 64, 64]","[2, 2]",0.0061583680029024,70.21,70.21,21.13,0.17,0.0,327.61488076868415,21.06848107837197
"[64, 2048, 64, 64]","[3, 3]",0.0072143679990265,29.05,29.05,17.07,1.12,0.0,280.83540676798003,18.060154776075887
"[64, 2048, 64, 64]","[4, 4]",0.0034186239999998,63.59,63.59,32.62,0.37,0.0,591.1827387010431,38.01818255312174
"[64, 2048, 64, 64]","[5, 5]",0.0042658560025837,32.12,32.12,26.64,2.0,0.0,475.7923786939855,30.597580623407428
"[64, 2048, 64, 64]","[6, 6]",0.0040796159968037,53.34,53.34,27.89,0.36,0.0,498.8274401610737,32.07893505858995
"[64, 2048, 64, 64]","[7, 7]",0.0036923520032065,29.14,28.22,30.9,2.42,0.0,552.8351008815672,35.55209651971493
"[64, 2048, 64, 64]","[8, 8]",0.0022561600012839,49.37,49.37,49.0,0.75,0.0,907.9122908451802,58.38664249808233
"[64, 2048, 64, 64]","[16, 16]",0.0024977919996808,45.0,23.26,46.53,0.67,0.0,853.4245095589033,54.882605116328186
"[64, 2048, 64, 64]","[32, 32]",0.0034431680038602,38.44,11.49,39.69,2.44,0.0,729.6611455658535,46.9235463386401
"[64, 2048, 97, 97]","[2, 2]",0.0149692480003842,35.64,35.64,20.31,0.07,0.0,312.34415626059786,20.08644091708025
"[64, 2048, 97, 97]","[3, 3]",0.0124111040025707,83.26,83.26,24.67,0.09,0.0,380.6955324615999,24.48202781103536
"[64, 2048, 97, 97]","[4, 4]",0.0089357439968,34.02,34.02,33.38,0.14,0.0,535.1627212869375,34.41560908597669
"[64, 2048, 97, 97]","[5, 5]",0.0126821440041704,26.9,26.9,23.37,0.11,0.0,379.3386303181655,24.39476722303315
"[64, 2048, 97, 97]","[6, 6]",0.007803295999019,72.59,72.59,35.38,0.19,0.0,603.2569384448743,38.79465842089224
"[64, 2048, 97, 97]","[7, 7]",0.0084619840012787,29.51,29.51,32.17,0.19,0.0,549.9357508478722,35.36564314134226
"[64, 2048, 97, 97]","[8, 8]",0.0063493120041541,38.68,30.14,42.09,0.27,0.0,733.8943358393332,47.19577722439441
"[64, 2048, 97, 97]","[16, 16]",0.0051398719980541,48.45,22.01,51.51,0.33,0.0,919.0066962605696,59.100109084281
"[64, 2048, 97, 97]","[32, 32]",0.0051194559964649,52.64,16.26,54.88,0.33,0.0,998.1858346980492,64.19201509312214
