Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,4,48,48,4,3,3,1,1,0,0,0.027420,0.027762,0.027420,NOT SUPPORT!,0.058709,0.117874,0.060757,0.043008,0,7,1,4.924799934296314e-05,172.91968982159318,1099.9350374167045,8288.010506934868,32.64,51.43,51.43,16.09,68.27,43.88,2263.0,270848.0,80.0
64,4,64,64,4,3,3,1,1,0,0,0.041870,0.042098,0.041756,NOT SUPPORT!,0.060188,0.251108,0.089657,0.060757,2,7,1,8.374399869984959e-05,174.6956574185766,1175.0859945523086,8854.272968951645,34.35,53.92,53.92,16.66,72.18,46.43,4808.0,492032.0,80.0
64,4,96,96,4,3,3,1,1,0,0,0.083513,0.083627,0.083399,NOT SUPPORT!,0.159630,0.421205,0.174080,0.130617,2,7,1,0.000183391998707,169.91874027001506,1233.4322194797367,9293.911773779815,35.66,55.94,55.94,17.45,75.33,48.48,13105.0,1131008.0,80.0
64,4,97,97,4,3,3,1,1,0,0,0.084764,0.084878,0.084423,NOT SUPPORT!,0.161109,0.419271,0.174421,0.132665,2,7,1,0.0001872319996767,169.9744426114777,1233.9771000627284,9298.01744897266,35.67,56.1,56.1,17.77,75.52,48.6,13089.0,1155200.0,80.0
64,4,128,128,4,3,3,1,1,0,0,0.175787,0.176356,0.175787,NOT SUPPORT!,0.169301,0.657408,0.292978,0.221184,4,7,1,0.0003235839980661,153.66568184153735,1256.0126657344088,9464.05543630877,36.12,56.53,56.53,18.08,76.53,49.25,23601.0,2032128.0,80.0
64,4,256,256,4,3,3,1,1,0,0,0.636132,0.637042,0.636132,NOT SUPPORT!,0.572985,2.089984,1.116274,0.826937,4,7,1,0.0012900800003178,103.85066107245628,1280.238124452081,9646.59426774643,36.6,57.09,57.09,18.79,77.71,50.02,101733.0,8258048.0,80.0
64,4,384,384,4,3,3,1,1,0,0,1.736021,1.737045,1.736590,NOT SUPPORT!,NOT SUPPORT!,5.270073,3.034453,2.070983,0,7,1,0.00290915199678,98.00754529965269,1284.1042352324027,9675.725412476157,36.7,57.24,57.24,19.19,77.95,50.17,232555.0,18678272.0,80.0
64,4,512,512,4,3,3,1,1,0,0,2.576384,2.576612,2.576725,NOT SUPPORT!,NOT SUPPORT!,7.449714,4.433351,3.291022,0,7,1,0.0051776319996916,96.2438756573678,1286.0241902855612,9690.192273801704,36.73,57.28,57.28,19.33,78.03,50.22,418448.0,33292800.0,80.0
64,4,640,640,4,3,3,1,1,0,0,4.863204,4.251875,4.040704,NOT SUPPORT!,NOT SUPPORT!,12.527161,6.912569,5.144463,2,7,1,0.0080986559977547,95.36753098007048,1286.673542238239,9695.08514076513,36.75,57.26,57.26,19.36,78.06,50.24,655741.0,52101632.0,80.0
64,4,768,768,4,3,3,1,1,0,0,7.051605,7.038748,6.216590,NOT SUPPORT!,NOT SUPPORT!,17.429731,9.943381,7.437312,2,7,1,0.0116719039961885,94.91144001902863,1286.9325865690075,9697.03703979747,36.77,57.24,57.24,19.37,78.09,50.26,947178.0,75104768.0,80.0
64,4,896,896,4,3,3,1,1,0,0,9.744953,9.327957,8.103139,NOT SUPPORT!,NOT SUPPORT!,23.267897,13.507697,10.148295,2,7,1,0.0158962239987396,94.73429119329947,1287.1258986802334,9698.49364655556,36.77,57.25,57.25,19.41,78.09,50.27,1289486.0,102302208.0,80.0
64,4,1024,1024,4,3,3,1,1,0,0,12.802616,11.302570,11.281180,NOT SUPPORT!,NOT SUPPORT!,31.518606,17.660700,13.269335,2,7,1,0.0207716800031846,94.57658174824684,1287.271438607785,9699.59028990966,36.76,57.26,57.26,19.45,78.11,50.28,1685665.0,133693952.0,80.0
64,4,2048,2048,4,3,3,1,1,0,0,58.181973,58.210190,58.211441,NOT SUPPORT!,NOT SUPPORT!,122.298599,70.568047,NOT SUPPORT!,0,6,1,0.0832015680026727,94.22965709255875,1288.0114182049736,9705.166036174474,36.78,57.24,57.24,19.43,78.14,50.29,6726231.0,535822848.0,80.0
