Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,4,24,24,4,3,3,1,1,0,0,0.015474,0.025941,0.015360,NOT SUPPORT!,0.044715,0.053703,0.034816,0.026624,2,7,1,1.731199791980227e-05,158.11575980923476,715.7117311010811,5392.887893846646,20.52,35.79,35.79,12.13,46.89,30.05,0.0,61952.0,80.0
64,8,15,15,8,3,3,1,1,0,0,0.019001,0.029355,0.023780,NOT SUPPORT!,0.033678,0.053134,0.027989,0.026965,0,7,1,1.4784002465713004e-05,127.0767955801105,538.4587846533531,3982.839162571813,9.15,27.85,27.85,10.59,34.93,22.84,0.0,21632.0,64.0
64,8,16,16,8,3,3,1,1,0,0,0.019456,0.028786,0.023780,NOT SUPPORT!,0.034361,0.053020,0.027876,0.027420,0,7,1,1.4784001036902815e-05,129.65054678007291,624.4848046854672,4619.1511911789175,10.81,31.57,31.57,11.39,39.75,25.96,0.0,25088.0,64.0
64,16,15,15,16,3,3,1,1,0,0,0.024121,0.024121,0.052338,NOT SUPPORT!,0.034247,0.061554,0.033564,0.032085,0,7,1,2.2752001698440567e-05,124.39180643387407,623.7074077298714,5090.441251502641,9.18,35.89,35.89,12.45,42.33,28.06,0.0,21632.0,64.0
64,16,16,16,16,3,3,1,1,0,0,0.024121,0.025372,0.056320,NOT SUPPORT!,0.040732,0.059506,0.033109,0.031858,0,7,1,2.304000000009425e-05,126.96721113127647,714.3111111081892,5829.911111087264,10.78,41.2,41.2,13.52,48.65,32.26,0.0,25088.0,64.0
64,32,15,15,32,3,3,1,1,0,0,0.037319,0.037774,0.082944,NOT SUPPORT!,0.043008,0.087495,0.038343,0.051883,0,6,1,3.961599804373151e-05,121.73982300884956,655.2504362339909,5778.21676352341,9.28,42.99,42.99,13.62,44.0,28.56,0.0,21632.0,80.0
64,96,8,8,96,3,3,1,1,0,0,0.158948,0.221867,0.155876,NOT SUPPORT!,0.110933,0.269881,0.064853,0.049380,7,7,1,9.542400161005776e-05,229.38297157449097,507.62172181735946,4578.736341255555,6.11,33.32,33.32,12.46,34.09,22.44,0.0,13824.0,80.0
64,128,7,7,128,3,3,1,1,0,0,0.127431,0.195698,0.167026,NOT SUPPORT!,0.175673,0.429852,0.094436,0.069404,7,7,1,0.000123903998705,245.52873965255918,480.9917405643427,4351.033103326672,5.66,32.93,32.93,11.75,32.52,21.44,0.0,12800.0,80.0
64,768,4,4,768,3,3,1,1,0,0,0.579129,0.884850,0.894976,NOT SUPPORT!,3.392171,8.929963,1.348722,0.437476,7,7,1,0.000729632000967,127.19935743646548,466.97741265245054,4250.659877704942,5.47,40.34,40.34,12.54,33.1,21.74,0.0,12288.0,64.0
64,896,4,4,896,3,3,1,1,0,0,0.716117,1.010916,1.027982,NOT SUPPORT!,4.635079,12.076488,1.762076,0.689721,7,7,1,0.0008733120006447,129.58983951335293,530.8170455207099,4833.4621634465875,6.33,45.72,45.72,14.18,37.48,24.64,0.0,14336.0,64.0
64,1024,4,4,1024,3,3,1,1,0,0,0.987705,1.189888,0.867783,NOT SUPPORT!,7.411484,16.699848,4.073812,0.803499,7,7,1,0.0010065600012842,131.43739509902653,601.345667647981,5477.122231130067,7.19,51.78,51.78,15.64,42.37,27.9,0.0,16384.0,64.0
64,2048,4,4,2048,3,3,1,1,0,0,5.148217,2.583779,2.661490,NOT SUPPORT!,25.362999,61.586773,16.185347,3.010105,1,7,1,0.0042760320041889,125.53229777849877,141.37033198250475,4679.091309980785,12.5,26.98,26.98,7.1,32.08,19.71,220668.0,16384.0,68.0
