Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,96,64,64,96,3,3,1,1,0,0,3.810873,3.406279,3.973347,NOT SUPPORT!,1.566606,2.063588,1.254514,1.264412,6,6,1,0.0046408320032161,311.4467290565376,373.1987365196058,12150.163410553076,36.51,62.07,62.07,15.13,83.55,52.29,1403243.0,984064.0,68.0
64,96,96,96,96,3,3,1,1,0,0,8.264249,7.433102,8.944527,NOT SUPPORT!,8.341390,3.792782,2.788125,2.824078,6,6,1,0.0105174400025995,301.2889358602665,378.5282501270286,12323.675416067465,37.03,62.76,62.76,15.42,84.67,53.01,3315959.0,2262016.0,68.0
64,96,97,97,96,3,3,1,1,0,0,8.458467,7.605817,9.165939,NOT SUPPORT!,8.360619,3.876409,2.798137,2.844217,6,6,1,0.0107630080009676,301.18366302164736,377.80367715367646,12300.085625514579,37.04,62.64,62.64,15.44,84.57,52.94,3355532.0,2310400.0,68.0
64,96,128,128,96,3,3,1,1,0,0,18.074965,14.265117,16.028898,NOT SUPPORT!,8.539364,6.028629,4.921571,4.983580,6,6,1,0.0188120319983829,298.5285317559613,380.24018673872587,12379.410625073291,37.21,62.9,62.9,15.5,85.04,53.24,6050489.0,4064256.0,68.0
64,96,256,256,96,3,3,1,1,0,0,59.952244,53.551224,68.052765,NOT SUPPORT!,33.982468,21.116358,19.941717,20.186338,6,6,1,0.0760925120001237,297.0202657410384,382.01300227744815,12437.127858237372,37.38,63.09,63.09,15.58,85.44,53.5,24678547.0,16516096.0,68.0
64,96,384,384,96,3,3,1,1,0,0,135.100769,120.976601,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,44.781567,45.005936,45.017769,5,6,1,0.1720103360009243,297.1986968738964,382.2300390114156,12444.193883723927,37.41,63.1,63.1,15.6,85.48,53.53,55583400.0,37356544.0,68.0
64,96,512,512,96,3,3,1,1,0,0,240.737274,215.519104,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,76.654137,80.016953,NOT SUPPORT!,5,6,1,0.3066035199972372,297.3762742688971,382.2221480074854,12443.936977743702,37.42,63.09,63.09,15.6,85.49,53.53,98809575.0,66585600.0,68.0
64,128,64,64,128,3,3,1,1,0,0,4.939548,4.397966,5.331968,NOT SUPPORT!,2.223445,2.703815,2.490709,1.664000,7,7,1,0.0062948800038615,304.21185340127545,365.18146534800536,11941.558979025442,36.55,62.75,62.75,18.1,81.99,50.77,2190235.0,984064.0,68.0
64,128,96,96,128,3,3,1,1,0,0,11.137365,9.969437,12.016867,NOT SUPPORT!,12.128940,5.013504,4.791979,3.729522,7,7,1,0.0142671359961222,297.7103839586059,370.366510660318,12111.111736438515,37.07,63.5,63.5,18.44,83.16,51.5,5101290.0,2262016.0,68.0
64,128,97,97,128,3,3,1,1,0,0,12.077853,11.135545,12.345230,NOT SUPPORT!,12.146118,5.126486,4.807111,3.801202,7,7,1,0.0145942079986712,297.7008774251831,369.8107085010303,12092.936815486602,37.08,63.36,63.36,18.44,83.04,51.43,5173858.0,2310400.0,68.0
