Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,4,32,32,4,3,3,1,1,0,0,0.019797,0.030151,0.019570,NOT SUPPORT!,0.045397,0.054272,0.038684,0.030720,2,7,1,2.588799697708987e-05,165.4226125137212,889.9877429833498,6706.057643379542,28.18,43.07,43.07,13.83,56.49,36.24,0.0,115200.0,80.0
64,8,24,24,8,3,3,1,1,0,0,0.026852,0.026852,0.041984,NOT SUPPORT!,0.043918,0.053817,0.035044,0.035044,1,6,1,2.521600201393504e-05,140.7714131023281,825.502472140373,6599.106071931673,19.81,42.91,42.91,15.31,54.15,35.27,0.0,61952.0,80.0
64,8,32,32,8,3,3,1,1,0,0,0.037660,0.035499,0.058368,NOT SUPPORT!,0.044260,0.054044,0.039253,0.041415,1,6,1,3.974399734899135e-05,147.36649597659107,973.9131084403198,7785.507765686604,28.02,49.9,49.9,17.26,63.08,41.11,0.0,115200.0,80.0
64,16,24,24,16,3,3,1,1,0,0,0.039822,0.038343,0.066788,NOT SUPPORT!,0.051314,0.061440,0.041074,0.045966,1,6,1,4.316800430360112e-05,139.08526964227818,895.5254852208932,7632.05854231524,19.35,50.72,50.72,16.9,59.92,39.7,0.0,61952.0,80.0
64,32,16,16,32,3,3,1,1,0,0,0.038002,0.037660,0.090453,NOT SUPPORT!,0.049493,0.085675,0.037888,0.052110,1,6,1,4.04800026442576e-05,124.3970491213339,743.7153664383644,6558.330006375643,10.87,49.26,49.26,14.73,50.63,32.86,0.0,25088.0,80.0
64,48,15,15,48,3,3,1,1,0,0,0.079189,0.079303,0.135054,NOT SUPPORT!,0.059392,0.114574,0.056889,0.061440,6,6,1,9.299200358909112e-05,240.53447191011236,826.273884145171,7366.67831168617,14.96,49.38,49.38,10.92,55.87,37.2,0.0,43264.0,80.0
64,64,15,15,64,3,3,1,1,0,0,0.102059,0.185116,0.171804,NOT SUPPORT!,0.069860,0.144612,0.071680,0.074183,4,6,1,0.0001214080035772,237.92077952414323,838.1401967070117,7516.891713153786,14.82,55.27,55.27,13.42,56.66,37.16,0.0,43264.0,80.0
64,128,8,8,128,3,3,1,1,0,0,0.130503,0.194901,0.165888,NOT SUPPORT!,0.176356,0.431218,0.094549,0.069404,7,7,1,0.0001284480003259,288.8916833380966,668.1255588429393,6043.838549687912,7.96,44.41,44.41,14.49,45.51,30.01,0.0,18432.0,80.0
64,256,8,8,256,3,3,1,1,0,0,0.359879,0.291385,0.368526,NOT SUPPORT!,0.460800,1.140395,0.190578,0.144953,7,7,1,0.0004614719961335,473.4975300205018,742.5970521965613,6726.3507948639035,12.6,50.24,50.24,13.22,52.21,34.51,0.0,36864.0,64.0
64,384,7,7,384,3,3,1,1,0,0,0.533618,0.522354,0.518827,NOT SUPPORT!,0.899641,2.386716,0.667193,0.211854,7,7,1,0.0006845760015999,478.78795540161303,779.918663161151,7081.755697935509,13.25,54.78,54.78,14.6,54.65,36.12,0.0,38400.0,64.0
64,640,7,7,640,3,3,1,1,0,0,1.282958,1.318571,1.329380,NOT SUPPORT!,2.501177,6.515143,0.856747,0.603364,7,7,1,0.0018743040041775,535.5601331365099,197.22734368388626,6516.219339433995,14.34,34.45,34.45,8.15,44.58,27.45,198986.0,32000.0,68.0
64,768,7,7,768,3,3,1,1,0,0,1.577301,1.559552,1.579008,NOT SUPPORT!,3.397746,8.950329,1.349063,0.730908,7,7,1,0.0024097920025782,556.5536517195285,220.79515552825552,7298.032021512319,16.74,38.73,38.73,9.1,50.05,30.88,288155.0,38400.0,68.0
64,4096,4,4,4096,3,3,1,1,0,0,10.789888,8.537542,7.053539,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,64.748199,10.937117,2,7,1,0.013493855995789,123.29649371696135,179.11616077378164,5930.813888111349,14.76,34.17,34.17,8.94,40.57,24.98,989546.0,32768.0,68.0
