,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
24,619536896.0,25.02,25.02,1225312.0,1532767872.0,16.66,1349266944.0,26.67,1401505.31,1143794653.78,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.14
25,69258496.0,19.89,19.7,183008.0,214584608.0,16.61,188786080.0,26.53,198816.31,1086380457.77,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.94
26,69271296.0,19.76,19.58,183104.0,214588224.0,16.52,182678144.0,26.34,200157.93,1093137921.21,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.77
27,69287936.0,19.9,19.71,184832.0,214591072.0,16.63,188888160.0,26.51,198927.52,1076261245.45,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.93
28,69279616.0,19.8,19.61,182976.0,214591936.0,16.54,188618528.0,26.35,199865.67,1092305366.1,0.0,0.0,0.0,0.0,1572864.0,66584576.0,66060288.0,0.0,0.0,0.0,24.81
29,619573504.0,25.03,25.03,1235104.0,1532745632.0,16.66,1349877920.0,26.67,1400984.2,1134304644.55,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.15
30,619592192.0,25.0,25.0,1220256.0,1532753088.0,16.64,1357577920.0,26.63,1402870.8,1149652856.69,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.12
31,72000000.0,29.56,20.37,174912.0,245635072.0,20.55,221865152.0,33.14,199813.63,1142366616.53,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.68
32,72112640.0,29.8,20.55,174336.0,245478272.0,20.73,221493088.0,33.26,198345.24,1137718203.59,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.9
33,71979264.0,29.56,20.28,183584.0,245642496.0,20.47,219479008.0,32.86,200620.35,1092798674.46,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.56
34,72133632.0,29.59,20.39,182432.0,245589024.0,20.62,219835744.0,33.06,200060.93,1096632860.06,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.64
35,13256064.0,39.62,21.0,32512.0,41948288.0,27.92,68214080.0,52.23,35480.43,1091302470.65,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,63.92
36,60731008.0,22.99,20.65,146400.0,196432768.0,18.17,182274656.0,28.64,166325.41,1136102509.61,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.61
