Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
505,12583040.0,54.17,41.74,16064.0,25162240.0,24.91,44586272.0,72.52,16863.91,1049795032.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79
506,193100800.0,82.05,82.05,115744.0,212934528.0,26.19,372655744.0,78.41,133096.78,1149923778.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57
507,104715904.0,76.22,76.22,68192.0,124667776.0,26.31,218201408.0,78.5,77600.8,1137975074.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61
508,7782528.0,47.35,36.08,11872.0,15556608.0,21.93,27879200.0,62.78,12028.7,1013199435.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36
509,31084928.0,59.74,56.08,28640.0,51370880.0,27.14,90811520.0,80.14,31194.46,1089192142.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91
510,35404416.0,59.04,58.36,30656.0,55726080.0,26.86,98228960.0,79.64,34137.74,1113574528.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8
511,94927744.0,75.32,75.32,62848.0,114590720.0,26.45,201329440.0,78.2,71126.78,1131726988.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66
512,143488.0,3.6,1.95,4640.0,286720.0,3.6,650752.0,4.2,4187.24,902422573.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
513,1048704.0,15.08,11.21,5792.0,2097152.0,8.44,3854304.0,21.61,5274.43,910639835.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
514,262272.0,5.18,3.42,4832.0,524288.0,4.37,1089184.0,7.43,4334.83,897109547.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
515,101381248.0,76.1,76.1,66208.0,121208960.0,26.41,212387904.0,78.73,75283.06,1137068867.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65
516,9633920.0,50.41,38.74,13312.0,19267584.0,23.31,34255584.0,66.99,13897.26,1043964788.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.03
517,273769216.0,84.64,84.64,161472.0,293168384.0,26.26,513104224.0,78.67,182926.41,1132867663.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61
518,602240.0,10.25,7.29,5216.0,1204224.0,6.44,2316096.0,14.78,4658.22,893064076.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95
519,151680.0,3.66,2.04,4608.0,303104.0,3.66,675936.0,4.19,4194.78,910325038.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
520,1048704.0,15.78,11.23,5824.0,2097152.0,8.54,3991328.0,23.2,5216.94,895766559.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93
521,6963328.0,44.64,34.12,10912.0,13931008.0,20.82,24828448.0,59.03,11388.89,1043703160.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85
522,976008192.0,84.32,84.32,568352.0,995473408.0,24.83,1742505216.0,75.6,655218.96,1152840076.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
523,3993728.0,35.44,26.99,8480.0,7987200.0,16.9,14339424.0,47.93,8311.15,980088225.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95
524,14747264.0,55.77,43.21,17760.0,29490176.0,25.69,52012192.0,74.37,19088.87,1074823782.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18
525,161032832.0,80.99,80.99,98784.0,180854528.0,26.35,316558880.0,78.81,112417.96,1138017927.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64
526,677504.0,11.24,8.11,5312.0,1354752.0,6.89,2571008.0,16.43,4707.98,886291694.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16
527,3010688.0,31.51,23.65,7520.0,6021120.0,15.2,10933536.0,42.27,7131.69,948362391.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11
528,295040.0,5.69,3.82,4800.0,589824.0,4.59,1202528.0,8.12,4359.96,908325617.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
