repeat_numbers
5
40
455
4
30
5
18
30
2
1
250
86
6
406
100
5
75
45
1
7957
120
20
60
12
1
13
10
12
94
5
2
2
42
45
2
75
4
30
1
3
162
49
3200
870
65
6
1108
342
1
25
600
6
10
7
80
5
120
20
2
50
1
7
20
50
2
40
6
105
230
5
10
5
1
5
8
3
4
12
210
6
7
1
6
100
234
8
5
10
80
2
205
3495
35
540
35
3
4
1
1
5
40
5
9
5
215
3
10
20
1
40
25
5
6
23
10
5
250
15
90
10
32
15
12
80
1
426
80
8
45
100
1
18
23
40
1
20
330
4
24
2620
5
3
17
5
30
9
3
40
155
20
5
5
1
40
6
8
6
8
8
1
45
1
7
73
9
1
4
5
5
1
35
5
210
1
170
5
15
120
1342
16
98
9
22
6
46
5
1
1
4
1
5
3
1
4
392
7
20
12
3
6
6
85
1
10
2
3
1500
262
146
1
1870
6
3
80
8
5
120
30
8
5
10
3
536
2
8
8
3
5
80
45
13
20
20
560
1400
40
85
90
1
2846
3
8
1
8
1
5
1
1
4
4
98
11
15
3
1
12
4
60
60
28
15
10
2
4
10
20
11
10
30
1
20
9
1
30
5
800
11
3
5
30
2
5
6
15
6
5
2
8
80
23
5
120
35
23
16
12
11
20
363
20
15
100
20
30
11
5
4
20
44
52
10
20
2
6
11
8
5
2
1
68
1
2
18
30
240
20
24
12
155
297
32
168
56
5
30
10
1
60
23
25
2190
3
6
384
270
73
5385
45
70
46
40
1
1
1
586
130
30
5
20
5
30
120
4
12
1280
40
3
3
17
2
22
40
9
40
50
22
961
10
40
5
200
40
560
15
45
12
23
73
68
10
155
15
141
150
1140
73
170
1
17
1
90
21
5
5
6
4
28
4
60
4
7
7
35
10
180
4
24
58
32
11
90
6
2
45
10
1
10
60
5
250
2268
5
32
48
8
148
15
6
5
155
1
3
2
5
12
12
6
10
10
60
28
1
26
20
55
15
40
10
3
17
9
16
32
3
5
10
350
3
10
60
1
285
34
15
1324
1075
16
120
30
937
1550
14
1
1
17
16
23
12
2
1
4
5
3
75
10
4
350
26
220
140
8
20
4
15
6
45
3
11
10
1
44
6
41
12
60
12
3
65
40
4
9680
11
3
17
2
3
5
5
705
230
7
5
90
12
6
40
20
40
432
6
255
5
120
11
48
211
200
668
8
2
11
1
1
3
4
16
5
434
35
95
45
91
14
15
120
4
17
1
2
4
18
620
12
7
35
5
5
120
3
1300
5470
5
5
7
18
60
7
18
2
1
1094
20
1
1
98
10
15
6
36
1300
20
160
5
6
10
12
6
11
125
53
4
165
100
46
330
7
2
15
26
20
22
1
4
11
20
2
8
26
215
80
80
18
104
30
1104
5
50
32
8
545
6
7
24
210
