Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,kernel_nums
1.1808003976749942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864448.0,28043680.0,15725056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.535996526237002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727680.0,2708256.0,1455104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.112002683526101e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638528.0,6002336.0,3276800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.635199858892146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12845184.0,45485920.0,25695744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.087995863078702e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524416.0,2021568.0,1048576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.191995876415289e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3932288.0,14206240.0,7864320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.798400100051114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48862848.0,121337184.0,68702080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.480005587889863e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16512.0,188896.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.728000365356915e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5657728.0,20390880.0,11318272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.972799763516277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33106304.0,94168384.0,53430016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.447997472777759e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32896.0,246816.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.609600277941539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12845184.0,45547904.0,25695744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.095999545314076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17744256.0,62355040.0,35491456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.799997882023881e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262272.0,1060192.0,524288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.856000000004178e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15564928.0,54917472.0,31115776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.64000043784644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102528.0,500960.0,204800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1744000357864886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7864448.0,28026656.0,15729664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001120639977328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185669248.0,360067968.0,205790976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.908800000013095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32112000.0,92344544.0,52436608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.440003073455983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589952.0,2264800.0,1179648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.448004114500586e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194432.0,15032480.0,8393216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.800004001827772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57472.0,334368.0,114688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0112004881119112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5752960.0,20823136.0,11505664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.025599933828455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53472640.0,129358624.0,73370752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.375999933230794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41208832.0,108009504.0,61366784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3407995997819024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40326912.0,106896544.0,60616832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.89600331008835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346240.0,1374688.0,692224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.057600165301353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53438080.0,129268832.0,73299200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.848004312126968e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257024.0,8213536.0,4513792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.520001182886501e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920576.0,10652832.0,5840896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.576002561883741e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98432.0,481632.0,196608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.44799743441828e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21632.0,203552.0,43008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.1200008312293454e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524416.0,2064000.0,1048576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.144001464907018e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638528.0,6014432.0,3276800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.5807996690059616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80874240.0,176967104.0,100617344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.175997644770184e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572992.0,5758624.0,3145728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2639998922925689e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8786048.0,31408928.0,17561600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.407998724009831e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716928.0,2707232.0,1433600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.983996468593402e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5914752.0,21171616.0,11827200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.144003625287482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405056.0,5212448.0,2809856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.760004502090145e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048704.0,3872928.0,2097152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7471996186192245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14336128.0,50613920.0,28664320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.032000801455487e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145856.0,11379616.0,6293504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.568005072007848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819328.0,3093344.0,1638400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0002351360006504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399325952.0,733100096.0,419646080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001117759970955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185563392.0,359967520.0,205533696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.856003751201197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048704.0,3924064.0,2097152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.687994895798912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097280.0,7639968.0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3407996067572157e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9633920.0,34437088.0,19258368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001458880019373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248598528.0,469872736.0,268816384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001277440029081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216096896.0,412512448.0,235642496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2607998869447045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8155264.0,29143200.0,16320512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.679999735808741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82910976.0,181114784.0,103057792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.44000527044998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802944.0,3014944.0,1605632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.657599661525504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45559552.0,115679904.0,65526272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.216000821208972e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652416.0,2478912.0,1304576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.696003301108288e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983168.0,3615680.0,1966080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.440005219550037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786560.0,2974112.0,1572864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0287998315180334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17744256.0,62725664.0,35481856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.407995661035721e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602240.0,2311264.0,1204224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
