Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
7.96800449435498e-06,0.0,0.0,0.0,0.0,262144.0,0.0,131072.0,0.0,0.0,4096.0,14.08,8.53,20.73,524672.0,5404352.0,2621440.0,20.68,12288.0,1.44,53.45,0.0,24.0,131072.0,524288.0,2097152.0,2621440.0,4.996340570870944,0.4850609286737799,1.0,306.40121397140786,245.1209711771263
1.3439997095056424e-05,0.0,0.0,0.0,0.0,589824.0,0.0,294912.0,0.0,0.0,12288.0,19.27,11.78,29.93,1180160.0,12927168.0,6617440.0,35.87,45056.0,3.04,69.04,0.0,24.0,524288.0,1179648.0,6291456.0,7471104.0,6.33058568329718,0.5779381841405635,1.1290021518895526,517.7090265190112,435.9654960160094
1.427199656083135e-05,0.0,0.0,0.0,0.0,1048576.0,0.0,524288.0,0.0,0.0,16384.0,28.53,17.21,40.54,2098048.0,21468896.0,12582912.0,41.29,49152.0,2.96,81.37,0.0,24.0,524288.0,2097152.0,8388608.0,10485760.0,4.997864681837593,0.4884163582514909,0.8333333333333334,684.2507954914437,547.400636393155
3.75039975391538e-05,0.0,0.0,0.0,0.0,2560000.0,0.0,1280000.0,0.0,0.0,51200.0,38.66,26.61,52.73,7367296.0,62956736.0,41767488.0,50.96,182272.0,4.27,75.64,0.0,24.0,2097152.0,5120000.0,26214400.0,31334400.0,4.253175113365881,0.49771322325223466,0.7502103071173445,778.115294284698,650.9722723427539
4.262400169948608e-05,0.0,0.0,0.0,0.0,4194304.0,0.0,2097152.0,0.0,0.0,65536.0,37.06,22.69,51.58,22059776.0,83971968.0,50331648.0,54.08,196608.0,3.92,88.72,0.0,24.0,2097152.0,8388608.0,33554432.0,41943040.0,1.9013357161922224,0.499488591240353,0.8333333333333334,916.4437509974803,733.1550007979843
0.0001062080036266,0.0,0.0,0.0,0.0,9437184.0,0.0,4718592.0,0.0,0.0,147456.0,35.31,20.17,46.66,74651904.0,191137888.0,113246208.0,48.71,540672.0,4.2,76.61,0.0,24.0,6291456.0,18874368.0,75497472.0,94371840.0,1.2641585136261226,0.4937369612454858,0.8333333333333334,827.5329730233968,662.0263784187174
0.0001585919960896,0.0,0.0,0.0,0.0,16777216.0,0.0,8388608.0,0.0,0.0,262144.0,46.39,23.31,52.91,148110336.0,336144000.0,201326592.0,55.59,786432.0,4.04,91.16,0.0,24.0,8388608.0,33554432.0,134217728.0,167772160.0,1.132751194352837,0.4991080013327622,0.8333333333333334,985.2325707012551,788.1860565610041
8.8320018723427e-06,0.0,0.0,0.0,0.0,393216.0,0.0,196608.0,0.0,0.0,6144.0,18.89,11.77,27.05,786560.0,8049024.0,3932160.0,27.8,18432.0,1.95,72.08,0.0,24.0,196608.0,786432.0,3145728.0,3932160.0,4.999186330349878,0.48852631076761605,1.0,414.64091923121623,331.712735384973
1.635200250481885e-05,0.0,0.0,0.0,0.0,884736.0,0.0,442368.0,0.0,0.0,18432.0,23.86,14.37,38.14,1769856.0,19779392.0,10185312.0,43.34,67584.0,3.7,71.69,0.0,24.0,786432.0,1769472.0,9437184.0,11206656.0,6.331959210240833,0.5665824308451949,1.100276162379709,638.2711668295224,537.4915089090715
1.852800347694878e-05,0.0,0.0,0.0,0.0,1572864.0,0.0,786432.0,0.0,0.0,24576.0,32.89,20.09,45.46,3146112.0,31778400.0,18874368.0,48.01,73728.0,3.46,84.67,0.0,24.0,786432.0,3145728.0,12582912.0,15728640.0,4.999389722934212,0.494947511517257,0.8333333333333334,790.6106838885551,632.488547110844
5.414399663828868e-05,0.0,0.0,0.0,0.0,3840000.0,0.0,1920000.0,0.0,0.0,76800.0,38.35,26.43,52.6,20144896.0,95905856.0,61833472.0,50.56,273408.0,4.24,76.69,0.0,24.0,3145728.0,7680000.0,39321600.0,47001600.0,2.333176602152724,0.4900806057140035,0.7601319880598003,808.4673064583438,676.3648054030589
6.188799597721742e-05,0.0,0.0,0.0,0.0,6291456.0,0.0,3145728.0,0.0,0.0,98304.0,37.84,23.09,52.57,43040128.0,126018592.0,75497408.0,55.04,294912.0,3.99,89.78,0.0,24.0,3145728.0,12582912.0,50331648.0,62914560.0,1.461765169471615,0.4992482379107997,0.8333340397593517,946.7708410136577,757.4166728109261
0.0001568000006518,0.0,0.0,0.0,0.0,14155776.0,0.0,7077888.0,0.0,0.0,221184.0,38.67,20.26,46.85,121867136.0,286662176.0,169869312.0,48.93,811008.0,4.22,77.26,0.0,24.0,9437184.0,28311552.0,113246208.0,141557760.0,1.1615745199755905,0.49381387518665876,0.8333333333333334,840.7904142345204,672.6323313876163
0.0002367999977213,0.0,0.0,0.0,0.0,25165824.0,0.0,12582912.0,0.0,0.0,393216.0,48.69,23.4,53.28,232152192.0,504078432.0,301989888.0,55.78,1179648.0,4.05,91.36,0.0,24.0,12582912.0,50331648.0,201326592.0,251658240.0,1.0840226742291539,0.49924421285297127,0.8333333333333334,989.759300064884,791.8074400519072
1.1647998411817756e-05,0.0,0.0,0.0,0.0,524288.0,0.0,262144.0,0.0,0.0,8192.0,20.15,12.64,29.07,1049344.0,10681472.0,5242880.0,29.6,24576.0,2.09,76.84,0.0,24.0,262144.0,1048576.0,4194304.0,5242880.0,4.996340570870944,0.49083871586238303,1.0,419.19755887380836,335.35804709904664
1.967999546075524e-05,0.0,0.0,0.0,0.0,1179648.0,0.0,589824.0,0.0,0.0,24576.0,25.8,15.55,40.23,2359808.0,25971680.0,13310144.0,46.72,90112.0,4.0,73.78,0.0,24.0,1048576.0,2359296.0,12582912.0,14942208.0,6.331959210240833,0.5753269715320688,1.1226180573253002,707.1147781893826,595.4650763700065
2.2848003137502487e-05,0.0,0.0,0.0,0.0,2097152.0,0.0,1048576.0,0.0,0.0,32768.0,35.63,21.77,49.38,4203264.0,42302336.0,25165824.0,51.92,98304.0,3.75,85.96,0.0,24.0,1048576.0,4194304.0,16777216.0,20971520.0,4.989341616420001,0.495753236889802,0.8333333333333334,854.8340037620881,683.8672030096704
7.1488003651958e-05,0.0,0.0,0.0,0.0,5120000.0,0.0,2560000.0,0.0,0.0,102400.0,38.2,26.37,52.79,33583232.0,127834560.0,82677088.0,50.39,364544.0,4.23,77.11,0.0,24.0,4194304.0,10240000.0,52428800.0,62668800.0,1.8660741169879063,0.4902336269628495,0.7579947663371985,816.4288437569753,683.0254379143323
8.060799670463484e-05,0.0,0.0,0.0,0.0,8388608.0,0.0,4194304.0,0.0,0.0,131072.0,39.75,23.21,52.52,63948544.0,167570496.0,100663296.0,55.36,393216.0,4.02,90.48,0.0,24.0,4194304.0,16777216.0,67108864.0,83886080.0,1.311774666832133,0.5006017288389478,0.8333333333333334,969.1966454180337,775.357316334427
0.0002081919957754,0.0,0.0,0.0,0.0,18874368.0,0.0,9437184.0,0.0,0.0,294912.0,40.21,20.27,46.72,168820736.0,382217344.0,226492224.0,48.94,1081344.0,4.22,77.51,0.0,24.0,12582912.0,37748736.0,150994944.0,188743680.0,1.1180124223602483,0.49381244195972435,0.8333340397593517,844.3228057126408,675.4582445701127
0.0003116800038899,0.0,0.0,0.0,0.0,33554432.0,0.0,16777216.0,0.0,0.0,524288.0,50.1,23.59,53.68,315617920.0,671170432.0,402653184.0,56.25,1572864.0,4.09,91.51,0.0,24.0,16777216.0,67108864.0,268435456.0,335544320.0,1.0631345647294044,0.4999390676375922,0.8333333333333334,1002.6308909774964,802.1047127819971
1.2319999648614342e-05,0.0,0.0,0.0,0.0,786432.0,0.0,393216.0,0.0,0.0,12288.0,25.29,15.85,35.67,1573632.0,16047904.0,7864320.0,36.83,36864.0,2.63,80.11,0.0,24.0,393216.0,1572864.0,6291456.0,7864320.0,4.997559785261103,0.4900527819707795,1.0,594.4982921183582,475.5986336946866
2.6592004183240613e-05,0.0,0.0,0.0,0.0,1769472.0,0.0,884736.0,0.0,0.0,36864.0,28.25,17.26,44.57,3541632.0,38983456.0,19823776.0,51.63,135168.0,4.43,75.83,0.0,24.0,1572864.0,3538944.0,18874368.0,22413312.0,6.328526509812425,0.5749442019712157,1.1306277875617643,784.973682076046,661.0304691166702
