Metric Name,Achieved Occupancy,Registers Per Thread,Threads,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
21,80.11,24.0,393216.0,1573632.0,25.29,0.0,36864.0,2.63,7864320.0,15.85,16047904.0,35.67,12984.87,1053966750.84,12288.0,0.0,0.0,0.0,0.0,0.0,786432.0,0.0,393216.0,0.0,36.83
22,75.83,24.0,1572864.0,3541632.0,28.25,0.0,135168.0,4.43,19823776.0,17.26,38983456.0,44.57,28252.56,1062445681.24,36864.0,0.0,0.0,0.0,0.0,0.0,1769472.0,0.0,884736.0,0.0,51.63
23,87.48,24.0,1572864.0,11761152.0,36.6,0.0,147456.0,3.85,37748736.0,22.29,63447648.0,50.67,35502.91,1078198111.26,49152.0,0.0,0.0,0.0,0.0,0.0,3145728.0,0.0,1572864.0,0.0,53.13
24,77.65,24.0,6291456.0,58493184.0,38.67,0.0,546816.0,4.29,123202592.0,26.69,192032480.0,53.22,118137.33,1126232967.26,153600.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,3840000.0,0.0,50.99
25,91.12,24.0,6291456.0,105689728.0,44.27,0.0,589824.0,4.06,150994944.0,23.39,252308544.0,53.09,134668.44,1125839724.15,196608.0,0.0,0.0,0.0,0.0,0.0,12582912.0,0.0,6291456.0,0.0,55.83
26,77.76,24.0,18874368.0,263619584.0,41.89,0.0,1622016.0,4.22,339738624.0,20.26,573385472.0,47.05,355911.0,1147803792.57,442368.0,0.0,0.0,0.0,0.0,0.0,28311552.0,0.0,14155776.0,0.0,48.94
27,91.71,24.0,25165824.0,483364480.0,51.28,0.0,2359296.0,4.1,603979776.0,23.63,1007755584.0,53.48,533306.59,1147705462.33,786432.0,0.0,0.0,0.0,0.0,0.0,50331648.0,0.0,25165824.0,0.0,56.34
28,81.59,24.0,524288.0,2097664.0,29.32,0.0,49152.0,3.05,10485760.0,18.43,21417408.0,40.88,14931.37,1030033827.98,16384.0,0.0,0.0,0.0,0.0,0.0,1048576.0,0.0,524288.0,0.0,42.5
29,77.2,24.0,2097152.0,5828224.0,28.77,0.0,180224.0,4.55,26719456.0,17.78,51535328.0,45.87,36674.3,1063146344.4,49152.0,0.0,0.0,0.0,0.0,0.0,2359296.0,0.0,1179648.0,0.0,52.96
30,88.96,24.0,2097152.0,22043136.0,36.91,0.0,196608.0,3.89,50331648.0,22.53,84179456.0,51.32,46752.63,1090313190.99,65536.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,2097152.0,0.0,53.73
31,78.03,24.0,8388608.0,84617472.0,38.26,0.0,729088.0,4.24,164472064.0,26.43,255924320.0,52.72,159032.19,1135944179.89,204800.0,0.0,0.0,0.0,0.0,0.0,10240000.0,0.0,5120000.0,0.0,50.49
32,91.37,24.0,8388608.0,147960192.0,46.3,0.0,786432.0,4.04,201326592.0,23.28,335500608.0,52.88,180444.74,1136645464.25,262144.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,8388608.0,0.0,55.54
33,77.73,24.0,25165824.0,357584768.0,42.88,0.0,2162688.0,4.24,452984832.0,20.38,764262816.0,47.03,471768.17,1146136609.53,589824.0,0.0,0.0,0.0,0.0,0.0,37748736.0,0.0,18874368.0,0.0,49.22
34,91.74,24.0,33554432.0,651332992.0,51.65,0.0,3145728.0,4.08,805306368.0,23.54,1342080576.0,53.43,713569.98,1147248130.95,1048576.0,0.0,0.0,0.0,0.0,0.0,67108864.0,0.0,33554432.0,0.0,56.14
35,85.96,24.0,1048576.0,4205184.0,35.46,0.0,98304.0,3.74,20971520.0,22.65,42229024.0,49.38,24342.74,1068413831.67,32768.0,0.0,0.0,0.0,0.0,0.0,2097152.0,0.0,1048576.0,0.0,51.78
36,79.36,24.0,4194304.0,29507072.0,30.29,0.0,360448.0,4.64,52983200.0,18.14,106077536.0,47.88,71878.65,1110884151.65,98304.0,0.0,0.0,0.0,0.0,0.0,4718592.0,0.0,2359296.0,0.0,53.93
37,90.55,24.0,4194304.0,63987328.0,39.96,0.0,393216.0,4.04,100663296.0,23.31,167814976.0,52.79,90160.17,1117170978.72,131072.0,0.0,0.0,0.0,0.0,0.0,8388608.0,0.0,4194304.0,0.0,55.62
38,78.28,24.0,16777216.0,186947200.0,38.66,0.0,1458176.0,4.29,329387776.0,26.72,513131360.0,53.65,314557.69,1142616257.36,409600.0,0.0,0.0,0.0,0.0,0.0,20480000.0,0.0,10240000.0,0.0,51.03
39,91.73,24.0,16777216.0,315485824.0,50.26,0.0,1572864.0,4.1,402653184.0,23.65,672022720.0,53.67,354985.13,1143401906.92,524288.0,0.0,0.0,0.0,0.0,0.0,33554432.0,0.0,16777216.0,0.0,56.44
40,77.99,24.0,50331648.0,735392384.0,44.15,0.0,4325376.0,4.25,905969664.0,20.4,1529489824.0,47.1,942804.57,1149044223.7,1179648.0,0.0,0.0,0.0,0.0,0.0,75497472.0,0.0,37748736.0,0.0,49.25
41,91.83,24.0,67108864.0,1322125696.0,52.61,0.0,6291456.0,4.1,1610612736.0,23.62,2684506368.0,53.61,1422343.39,1149453849.41,2097152.0,0.0,0.0,0.0,0.0,0.0,134217728.0,0.0,67108864.0,0.0,56.32
42,89.07,24.0,2097152.0,22023040.0,36.95,0.0,196608.0,3.9,41943040.0,23.49,84062688.0,51.13,46646.81,1087845494.75,65536.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,2097152.0,0.0,53.85
43,80.87,24.0,8388608.0,76443776.0,31.05,0.0,720896.0,4.73,106609824.0,18.48,213071264.0,49.01,141078.61,1127834893.12,196608.0,0.0,0.0,0.0,0.0,0.0,9437184.0,0.0,4718592.0,0.0,54.9
44,91.33,24.0,8388608.0,147852800.0,46.3,0.0,786432.0,4.04,201326464.0,23.3,335640832.0,52.91,180287.31,1138407473.83,262144.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,8388608.0,0.0,55.59
45,78.45,24.0,33554432.0,391361792.0,38.75,0.0,2916352.0,4.3,659607616.0,26.79,1027155904.0,53.71,627465.41,1147824971.11,819200.0,0.0,0.0,0.0,0.0,0.0,40960000.0,0.0,20480000.0,0.0,51.15
46,91.98,24.0,33554432.0,651184640.0,51.73,0.0,3145728.0,4.09,805306368.0,23.57,1339953056.0,53.43,712113.7,1148214913.61,1048576.0,0.0,0.0,0.0,0.0,0.0,67108864.0,0.0,33554432.0,0.0,56.25
47,78.09,24.0,100663296.0,1490335744.0,44.79,0.0,8650752.0,4.25,1811939264.0,20.41,3059495328.0,47.17,1883755.94,1150562373.23,2359296.0,0.0,0.0,0.0,0.0,0.0,150994944.0,0.0,75497472.0,0.0,49.29
48,91.96,24.0,134217728.0,2664651264.0,53.38,0.0,12582912.0,4.12,3221225472.0,23.77,5369358944.0,53.9,2825634.94,1150697734.0,4194304.0,0.0,0.0,0.0,0.0,0.0,268435456.0,0.0,134217728.0,0.0,56.7
