input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
"[64, 1, 97, 97]","[3, 3]",0.0001113919968338,0.0,0.0,0.0,5760.0,0.0,627264.0,0.0,0.0,0.0,0.0,4.52,4.52,1.4,3366656.0,3937760.0,20066688.0,2.29,8384.0,0.06,10.34,0.0,38.0,262144.0,638784.0,0.0,638784.0,0.18973842293361723,0.16222014546341068,0.03183305585854527,5.340724436341708,0.0,28.14782769755728,1.8101496911612398
"[64, 1, 97, 97]","[4, 4]",7.203200189919456e-05,0.0,0.0,0.0,10240.0,0.0,640000.0,0.0,0.0,0.0,0.0,2.25,2.1,1.94,3342848.0,3919456.0,20414368.0,3.04,8448.0,0.09,13.77,0.0,38.0,262144.0,660480.0,0.0,660480.0,0.19758002756930618,0.16851318142109517,0.03235368344491488,8.539536842844699,0.0,43.2206480983977,2.7794629002185016
"[64, 1, 97, 97]","[5, 5]",8.204799778384857e-05,0.0,0.0,0.0,16000.0,0.0,652864.0,0.0,0.0,0.0,0.0,2.05,2.05,1.55,3352704.0,3947520.0,20831200.0,2.54,8512.0,0.08,16.55,0.0,38.0,262144.0,684864.0,0.0,684864.0,0.20427213377619974,0.17349221789883268,0.03287683858827144,7.7738558035478835,0.0,38.056369509827064,2.4473549524004543
"[64, 1, 97, 97]","[6, 6]",4.038399968259373e-05,0.0,0.0,0.0,23040.0,0.0,665856.0,0.0,0.0,0.0,0.0,6.9,6.9,3.2,3344896.0,3935904.0,21292640.0,4.57,8576.0,0.17,20.54,0.0,38.0,262144.0,711936.0,0.0,711936.0,0.2128424919638757,0.18088246054781823,0.033435778747961734,16.418434867590122,0.0,77.13889607333066,4.960700712111296
"[64, 1, 97, 97]","[7, 7]",3.894400125578208e-05,0.0,0.0,0.0,31360.0,0.0,678976.0,0.0,0.0,0.0,0.0,4.13,3.14,3.33,3346304.0,3963424.0,21666432.0,5.1,8640.0,0.17,23.33,0.0,38.0,262144.0,741696.0,0.0,741696.0,0.2216463298014765,0.18713516393905874,0.034232493841164065,17.73721769792322,0.0,80.02486535107546,5.146293591709033
"[64, 1, 97, 97]","[8, 8]",3.017600030372009e-05,0.0,0.0,0.0,40960.0,0.0,692224.0,0.0,0.0,0.0,0.0,6.22,3.05,4.08,4042368.0,3933440.0,22091360.0,5.62,8704.0,0.22,26.35,0.0,38.0,262144.0,774144.0,0.0,774144.0,0.1915075520091194,0.19681093394077448,0.03504284027782807,23.892423646159727,0.0,124.7596943071049,8.023131466694847
"[64, 1, 97, 97]","[16, 16]",1.3600000999263554e-05,0.0,0.0,0.0,163840.0,0.0,802816.0,0.0,0.0,0.0,0.0,9.0,4.68,9.66,2408832.0,4140256.0,19704768.0,14.96,9216.0,0.56,26.12,0.0,38.0,262144.0,1130496.0,0.0,1130496.0,0.4693129284234019,0.2730497824289126,0.05737169805805377,77.41590940835319,0.0,164.95584229571995,10.608092752136331
"[64, 1, 97, 97]","[32, 32]",9.567996424375116e-06,0.0,0.0,0.0,655360.0,0.0,1048576.0,0.0,0.0,0.0,0.0,17.41,4.62,13.12,3676800.0,4576000.0,13462336.0,20.81,10240.0,0.8,31.35,0.0,38.0,262144.0,2359296.0,0.0,2359296.0,0.6416710182767624,0.5155804195804196,0.17525160566487125,229.6474128483491,0.0,357.889644860505,23.01541124504855
"[64, 2, 64, 64]","[1, 1]",2.5535997186092765e-05,0.0,0.0,0.0,0.0,128.0,557056.0,16384.0,0.0,0.0,512.0,5.67,1.0,4.39,3028096.0,4715712.0,2101248.0,0.49,1032.0,0.03,24.97,0.0,26.0,4096.0,589952.0,262144.0,852096.0,0.28139662679122457,0.1806929685273401,0.4055190058479532,31.076767230055253,9.560645829525786,110.4375968696736,7.102096261715343
"[64, 2, 64, 64]","[2, 2]",8.27840009683723e-05,0.0,0.0,0.0,5120.0,0.0,524288.0,0.0,0.0,0.0,0.0,5.2,5.2,1.74,2994688.0,4171104.0,16785408.0,3.8,8448.0,0.08,7.26,0.0,38.0,262144.0,534528.0,0.0,534528.0,0.17849204992306378,0.12815024511496237,0.03184480234260615,6.0134565536915074,0.0,33.69033274189811,2.166580883723351
