Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,4,15,15,4,3,3,1,1,0,0,0.012629,0.031175,0.012516,NOT SUPPORT!,0.033223,0.067925,0.030606,0.026510,2,7,1,1.4687998979696666e-05,141.25513033832502,589.1067947349962,4438.919698328199,15.59,29.01,29.01,9.86,37.86,24.26,0.0
128,4,16,16,4,3,3,1,1,0,0,0.012516,0.030948,0.012516,NOT SUPPORT!,0.033792,0.067584,0.030948,0.026055,0,7,1,1.5200004122379996e-05,144.0136518771331,660.2103472606626,4974.684966609092,17.72,32.82,32.82,10.95,42.86,27.46,0.0
128,8,15,15,8,3,3,1,1,0,0,0.023893,0.041870,0.039253,NOT SUPPORT!,0.033337,0.067243,0.031403,0.031516,0,6,1,2.1727999308303194e-05,125.74349030470914,669.0309491332185,5348.265265987573,15.2,36.07,36.07,13.1,45.21,29.45,0.0
128,48,7,7,48,3,3,1,1,0,0,0.057572,0.082034,0.110364,NOT SUPPORT!,0.086471,0.206848,0.056661,0.061668,6,6,1,5.052799967428556e-05,157.42692384171804,449.90500606674635,4011.146320980215,5.67,28.21,28.21,10.52,30.36,20.22,0.0
128,48,8,8,48,3,3,1,1,0,0,0.059847,0.083399,0.108999,NOT SUPPORT!,0.088178,0.207189,0.057003,0.062123,6,6,1,5.238399613710359e-05,176.24611579191466,624.9090259231604,5571.401754767635,8.03,37.45,37.45,11.89,41.69,27.75,0.0
128,64,7,7,64,3,3,1,1,0,0,0.072476,0.094322,0.123449,NOT SUPPORT!,0.109682,0.264761,0.066219,0.071111,6,6,1,6.633599649881467e-05,154.26735781558006,460.00967213246383,4077.1830420129863,5.69,31.24,31.24,12.51,31.37,20.43,0.0
128,64,8,8,64,3,3,1,1,0,0,0.075548,0.099328,0.122084,NOT SUPPORT!,0.110137,0.264533,0.066105,0.072135,6,6,1,6.915199902058571e-05,173.4929866575436,635.4391575421996,5632.05931160515,8.0,42.77,42.77,14.36,44.45,29.07,0.0
128,96,8,8,96,3,3,1,1,0,0,0.196380,0.309931,0.200932,NOT SUPPORT!,0.221184,0.557852,0.131982,0.092046,7,7,1,0.0002041599983843,303.6990687916375,158.89655298162796,5173.166185140501,12.45,26.58,26.58,6.59,35.77,22.1,5958.0
128,128,8,8,128,3,3,1,1,0,0,0.227783,0.207986,0.282852,NOT SUPPORT!,0.287175,0.730795,0.134258,0.112868,7,7,1,0.0002707519993559,293.64313934863856,159.02801125173568,5200.270429579446,12.49,27.37,27.37,8.19,35.8,21.9,13774.0
128,384,4,4,384,3,3,1,1,0,0,0.357831,0.386389,0.348160,NOT SUPPORT!,1.856512,5.090190,1.499136,0.190009,7,7,1,0.0003643840012857,183.4917943438503,468.8799491667061,4257.486592512704,5.47,40.26,40.26,12.44,32.96,21.63,0.0
128,512,4,4,512,3,3,1,1,0,0,1.071445,0.632604,0.603705,NOT SUPPORT!,2.683221,7.188707,1.121280,0.308110,7,7,1,0.0005044479977586,202.2774512197412,601.2524766629014,5466.161912133372,7.17,51.64,51.64,15.15,42.2,27.76,0.0
128,896,4,4,896,3,3,1,1,0,0,1.853326,1.004544,1.037085,NOT SUPPORT!,7.893106,21.434937,3.262009,0.742628,7,7,1,0.0018552960016106,211.35004096855312,124.86943312489505,4128.634719931709,12.5,23.85,23.85,5.95,28.32,17.39,75016.0
128,1024,4,4,1024,3,3,1,1,0,0,1.163264,1.133795,0.976100,NOT SUPPORT!,10.177764,27.714674,8.045114,0.864029,7,7,1,0.0021243199996743,216.83270451418173,142.40518191533357,4709.520765955172,12.5,27.2,27.2,6.77,32.29,19.84,113637.0
