Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,96,24,24,96,3,3,1,1,0,0,1.182720,1.105124,1.271353,NOT SUPPORT!,0.681529,0.575147,0.602795,0.430649,7,7,1,0.0012096319993529,370.3722994020373,360.55765739771834,11738.610095959808,33.89,60.41,60.41,14.19,80.66,50.42,313069.0
128,96,64,64,96,3,3,1,1,0,0,7.252651,6.527204,7.946922,NOT SUPPORT!,2.795179,4.057657,2.481835,2.505500,6,6,1,0.0092079360035419,299.545706446535,376.1869412067573,12247.449847242724,36.97,62.61,62.61,15.3,84.25,52.74,2890275.0
128,96,96,96,96,3,3,1,1,0,0,18.715534,14.771315,17.847639,NOT SUPPORT!,14.564011,7.603996,5.534947,5.732580,6,6,1,0.020956415996859,296.4696995647839,379.945517458396,12369.817130889824,37.23,63.02,63.02,15.5,85.02,53.23,6713912.0
128,96,97,97,96,3,3,1,1,0,0,18.084978,15.131193,18.302067,NOT SUPPORT!,14.594162,7.759417,5.578638,5.776156,6,6,1,0.0214009280010156,296.58312802699305,380.0119321748132,12371.979382736816,37.23,62.95,62.95,15.54,84.99,53.21,6803977.0
128,96,128,128,96,3,3,1,1,0,0,32.901459,26.441158,32.064850,NOT SUPPORT!,14.861197,12.098788,9.864761,10.065351,6,6,1,0.0375034560011956,296.10166920661743,381.4630075570616,12419.221780124788,37.32,63.15,63.15,15.57,85.35,53.45,12238784.0
128,96,256,256,96,3,3,1,1,0,0,119.445282,107.010384,136.380310,NOT SUPPORT!,59.095840,42.673038,39.971043,40.314877,6,6,1,0.1520282879993562,296.3598291819129,382.40684470673114,12449.950114599827,37.4,63.16,63.16,15.63,85.53,53.56,49733382.0
128,96,384,384,96,3,3,1,1,0,0,270.116333,241.875275,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,90.041687,90.425011,NOT SUPPORT!,5,6,1,0.3438726079987336,296.9794604139262,382.3946188830611,12449.552080681478,37.42,63.14,63.14,15.61,85.53,53.55,111946743.0
128,128,48,48,128,3,3,1,1,0,0,5.472939,5.608903,5.911894,NOT SUPPORT!,3.706425,2.422898,2.812359,1.850709,7,7,1,0.0069746559964847,299.3197553028669,362.8571377965525,11865.552672090347,36.64,62.5,62.5,17.93,81.41,50.4,2359511.0
128,128,64,64,128,3,3,1,1,0,0,9.769642,8.722888,10.685099,NOT SUPPORT!,3.832605,5.322866,4.254493,3.315371,7,7,1,0.012476960001321,296.41450620290533,368.4829483714971,12049.518604538493,37.01,63.27,63.27,18.28,82.66,51.19,4426212.0
128,128,96,96,128,3,3,1,1,0,0,23.089380,19.832491,24.016670,NOT SUPPORT!,20.362127,10.011647,9.546070,7.510926,7,7,1,0.0284150399961744,294.8610832828858,371.92060097127506,12161.93102182952,37.26,63.74,63.74,18.51,83.48,51.7,10214334.0
