Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
65,125265664.0,67.89,67.89,91680.0,276818304.0,38.47,325235328.0,81.84,104265.24,1137273568.29,0.0,0.0,1105920.0,16777216.0,0.0,8388608.0,0.0,0.0,0.0,0.0,23.4
66,53176576.0,63.7,56.66,48640.0,138404480.0,37.85,165647328.0,79.31,52915.37,1087898239.52,0.0,0.0,1105920.0,8388608.0,0.0,4194304.0,0.0,0.0,0.0,0.0,23.18
67,125257728.0,67.73,67.73,97056.0,276829824.0,38.56,326141920.0,82.23,104452.43,1076207817.4,0.0,0.0,1105920.0,16777216.0,0.0,8388608.0,0.0,0.0,0.0,0.0,23.36
68,53255168.0,64.11,57.25,47264.0,138410624.0,37.93,164939392.0,81.11,52426.33,1109223369.44,0.0,0.0,1105920.0,8388608.0,0.0,4194304.0,0.0,0.0,0.0,0.0,23.39
69,125310080.0,66.43,66.43,91328.0,276830720.0,37.89,325152992.0,80.96,106508.65,1166221182.42,0.0,0.0,1105920.0,16777216.0,0.0,8388608.0,0.0,0.0,0.0,0.0,22.91
70,53138432.0,63.9,56.71,50368.0,138404096.0,37.78,165383968.0,80.28,52731.31,1046920958.05,0.0,0.0,1105920.0,8388608.0,0.0,4194304.0,0.0,0.0,0.0,0.0,23.26
71,16640.0,1.97,0.16,6144.0,67584.0,1.97,226208.0,0.78,5951.78,968713831.02,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
72,16640.0,1.99,0.16,6048.0,67584.0,1.99,206688.0,0.72,5900.15,975553595.92,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
73,16640.0,1.96,0.16,6016.0,67584.0,1.96,206688.0,0.71,5972.04,992692326.64,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.28
74,2048256.0,17.89,11.69,9952.0,8448000.0,12.46,8545952.0,28.09,9796.37,984361974.51,0.0,0.0,320000.0,512000.0,0.0,256000.0,0.0,0.0,0.0,0.0,19.05
75,16640.0,1.9,0.15,6080.0,67584.0,1.9,205728.0,0.68,6164.35,1013873659.84,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.28
76,16640.0,1.98,0.16,6144.0,67584.0,1.98,206304.0,0.72,5909.31,961802541.47,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
77,50945536.0,65.4,57.46,47072.0,134220192.0,38.56,160122048.0,81.57,49977.76,1061730099.83,0.0,0.0,1105920.0,8133904.0,0.0,4066952.0,0.0,0.0,0.0,0.0,23.8
78,1460480.0,16.63,10.04,9184.0,6023424.0,11.75,6642688.0,25.83,8198.02,892641389.21,0.0,0.0,228160.0,365056.0,0.0,182528.0,0.0,0.0,0.0,0.0,18.05
79,11688192.0,51.76,30.58,23296.0,48188416.0,31.54,54118048.0,67.76,21421.74,919545876.58,0.0,0.0,1105920.0,2920448.0,0.0,1460224.0,0.0,0.0,0.0,0.0,22.56
80,640256.0,9.28,4.84,7584.0,2640000.0,7.55,3370240.0,14.86,7460.56,983723042.66,0.0,0.0,100000.0,160000.0,0.0,80000.0,0.0,0.0,0.0,0.0,8.8
81,205056.0,4.34,1.84,6624.0,844800.0,4.23,1324832.0,6.23,6273.65,947108718.02,0.0,0.0,32000.0,51200.0,0.0,25600.0,0.0,0.0,0.0,0.0,3.38
82,4563456.0,35.12,21.29,12992.0,18823200.0,20.77,20547328.0,47.86,11967.69,921158034.57,0.0,0.0,713000.0,1140800.0,0.0,570400.0,0.0,0.0,0.0,0.0,22.86
83,10191488.0,50.64,29.26,22080.0,42028960.0,30.13,48268544.0,64.59,19452.31,880992518.79,0.0,0.0,1105920.0,2547216.0,0.0,1273608.0,0.0,0.0,0.0,0.0,22.8
84,817408.0,11.38,6.18,8064.0,3370752.0,9.06,3892512.0,18.14,7438.37,922416960.61,0.0,0.0,127680.0,204288.0,0.0,102144.0,0.0,0.0,0.0,0.0,11.26
85,6537472.0,40.79,24.13,16352.0,26966016.0,23.93,30167264.0,52.98,15123.04,924843263.03,0.0,0.0,1021440.0,1634304.0,0.0,817152.0,0.0,0.0,0.0,0.0,22.6
86,2553856.0,23.93,14.88,10720.0,10533600.0,14.99,11200192.0,35.48,9590.41,894627556.66,0.0,0.0,399000.0,638400.0,0.0,319200.0,0.0,0.0,0.0,0.0,21.28
87,13680512.0,53.48,32.18,25408.0,55862528.0,32.22,62454464.0,69.2,23888.63,940201103.18,0.0,0.0,1105920.0,3385600.0,0.0,1692800.0,0.0,0.0,0.0,0.0,22.31
88,942336.0,12.72,6.92,8512.0,3886080.0,9.49,4747360.0,19.84,7657.48,899610136.45,0.0,0.0,147200.0,235520.0,0.0,117760.0,0.0,0.0,0.0,0.0,12.61
89,7536896.0,43.95,26.11,17600.0,31088640.0,25.98,34572736.0,55.92,16090.41,914227693.6,0.0,0.0,1105920.0,1884160.0,0.0,942080.0,0.0,0.0,0.0,0.0,23.17
90,2944256.0,25.89,16.09,10272.0,12144000.0,16.17,12859808.0,37.58,10188.13,991835049.61,0.0,0.0,460000.0,736000.0,0.0,368000.0,0.0,0.0,0.0,0.0,21.36
91,62230016.0,62.23,59.44,58336.0,155721856.0,37.92,180102784.0,79.84,59083.19,1012808303.37,0.0,0.0,1105920.0,9437184.0,0.0,4718592.0,0.0,0.0,0.0,0.0,23.33
92,1573120.0,17.54,10.97,8960.0,6488064.0,12.53,6886368.0,27.73,8059.04,899446097.88,0.0,0.0,245760.0,393216.0,0.0,196608.0,0.0,0.0,0.0,0.0,19.68
93,12692096.0,50.72,29.97,25984.0,51904384.0,30.22,58917664.0,64.55,23752.69,914127354.73,0.0,0.0,1105920.0,3145728.0,0.0,1572864.0,0.0,0.0,0.0,0.0,21.36
94,4915456.0,36.63,21.68,14560.0,20275200.0,20.33,22686016.0,48.04,12674.69,870514092.39,0.0,0.0,768000.0,1228800.0,0.0,614400.0,0.0,0.0,0.0,0.0,22.54
95,6969856.0,42.46,25.43,16768.0,28749600.0,25.39,31808000.0,56.94,15306.63,912847663.98,0.0,0.0,1089000.0,1742400.0,0.0,871200.0,0.0,0.0,0.0,0.0,23.32
96,676096.0,9.77,5.11,7712.0,2787840.0,8.07,3527712.0,15.74,7449.72,965990952.05,0.0,0.0,105600.0,168960.0,0.0,84480.0,0.0,0.0,0.0,0.0,9.29
97,5406976.0,41.35,23.93,16000.0,22302720.0,23.22,25425440.0,52.69,12610.94,788184027.78,0.0,0.0,844800.0,1351680.0,0.0,675840.0,0.0,0.0,0.0,0.0,24.0
98,2112256.0,20.78,12.89,9984.0,8712000.0,12.76,9236256.0,30.5,9132.96,914759912.16,0.0,0.0,330000.0,528000.0,0.0,264000.0,0.0,0.0,0.0,0.0,20.67
99,983296.0,14.76,7.39,7520.0,4055040.0,9.78,5392288.0,19.87,7487.59,995690504.33,0.0,0.0,153600.0,245760.0,0.0,122880.0,0.0,0.0,0.0,0.0,13.45
100,22607616.0,55.38,39.17,32800.0,77860480.0,34.72,87923648.0,72.13,32393.44,987605013.55,0.0,0.0,1105920.0,4718592.0,0.0,2359296.0,0.0,0.0,0.0,0.0,21.47
101,9636864.0,49.08,28.86,20384.0,39740544.0,29.3,44702880.0,63.02,18633.07,914102927.5,0.0,0.0,1105920.0,2408448.0,0.0,1204224.0,0.0,0.0,0.0,0.0,23.01
102,64116096.0,60.01,58.11,61024.0,158968448.0,37.16,183040640.0,78.9,62277.89,1020547471.3,0.0,0.0,1105920.0,9633792.0,0.0,4816896.0,0.0,0.0,0.0,0.0,22.59
103,9634560.0,49.18,28.85,20416.0,39741696.0,29.71,44800576.0,63.12,18621.2,912088739.41,0.0,0.0,1105920.0,2408448.0,0.0,1204224.0,0.0,0.0,0.0,0.0,23.02
104,205056.0,4.27,1.86,6336.0,844800.0,4.25,1293984.0,5.33,6241.57,985096918.26,0.0,0.0,32000.0,51200.0,0.0,25600.0,0.0,0.0,0.0,0.0,3.4
105,327936.0,6.11,2.91,6528.0,1351680.0,5.7,1831072.0,9.03,6350.54,972815109.84,0.0,0.0,51200.0,81920.0,0.0,40960.0,0.0,0.0,0.0,0.0,5.32
106,65792.0,2.59,0.62,6240.0,270336.0,2.59,670688.0,2.29,6020.17,964770299.15,0.0,0.0,10240.0,16384.0,0.0,8192.0,0.0,0.0,0.0,0.0,1.13
107,262400.0,5.08,2.36,6432.0,1081344.0,4.9,1549472.0,7.41,6287.13,977476621.52,0.0,0.0,40960.0,65536.0,0.0,32768.0,0.0,0.0,0.0,0.0,4.31
108,1048832.0,13.67,7.91,8192.0,4325376.0,10.12,4824736.0,21.42,7434.37,907515914.35,0.0,0.0,163840.0,262144.0,0.0,131072.0,0.0,0.0,0.0,0.0,14.44
109,4352.0,2.26,0.05,5600.0,16896.0,2.26,160672.0,0.69,4753.31,848806216.93,0.0,0.0,640.0,1024.0,0.0,512.0,0.0,0.0,0.0,0.0,0.09
110,18822528.0,54.5,35.64,29696.0,69200000.0,33.38,79042432.0,71.67,29689.2,999771137.65,0.0,0.0,1105920.0,4194304.0,0.0,2097152.0,0.0,0.0,0.0,0.0,20.87
111,182784.0,4.02,1.68,6272.0,752928.0,4.02,1206112.0,5.16,6175.41,984599395.31,0.0,0.0,28520.0,45632.0,0.0,22816.0,0.0,0.0,0.0,0.0,3.08
112,37860864.0,59.55,50.36,44928.0,108127488.0,36.88,123645696.0,74.94,42346.02,942530682.84,0.0,0.0,1105920.0,6553600.0,0.0,3276800.0,0.0,0.0,0.0,0.0,22.69
113,332144256.0,73.86,73.86,220352.0,675836544.0,38.57,793331584.0,83.58,254420.7,1154610367.52,0.0,0.0,1105920.0,40960000.0,0.0,20480000.0,0.0,0.0,0.0,0.0,23.34
