,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
16,7.84000456853856e-06,207360.0,331776.0,0.0,165888.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71,1327360.0,6950560.0,5474304.0,1078272.0,0.0,1078272.0,0.8123432979749277,0.15513455030961534,0.19696969696969696,128.08909056069282,0.0,157.67852197464205,10.140097876182768
17,6.52799733459105e-06,69120.0,110592.0,0.0,55296.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,442624.0,2672032.0,1824768.0,359424.0,0.0,359424.0,0.8120300751879699,0.13451335912144766,0.19696969696969696,51.277546221541726,0.0,63.14734858763934,4.060922738754941
18,6.080002622626982e-06,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,147712.0,991648.0,608256.0,119808.0,0.0,119808.0,0.8110918544194108,0.12081706411952628,0.19696969696969696,18.35194850151578,0.0,22.626227105501293,1.4550628363666427
19,6.271995761776149e-06,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,49408.0,449248.0,202752.0,39936.0,0.0,39936.0,0.8082901554404145,0.08889522045729753,0.19696969696969696,5.930057951651276,0.0,7.336546055568565,0.4718036048597148
20,6.207999233132824e-06,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,16640.0,224032.0,67584.0,13312.0,0.0,13312.0,0.8,0.059420082845307816,0.19696969696969696,1.9970630871075032,0.0,2.4963288588843793,0.16053561793468676
21,6.208002278651056e-06,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,147712.0,1011488.0,608256.0,119808.0,0.0,119808.0,0.8110918544194108,0.11844727767408017,0.19696969696969696,17.973558966504854,0.0,22.15970838391731,1.4250616324062577
22,6.015997765028207e-06,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,49408.0,449632.0,202752.0,39936.0,0.0,39936.0,0.8082901554404145,0.0888193011173582,0.19696969696969696,6.182398962322314,0.0,7.6487371777449145,0.4918802043565862
23,5.983995530500274e-06,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,16640.0,224480.0,67584.0,13312.0,0.0,13312.0,0.8,0.05930149679258731,0.19696969696969696,2.0718207508829427,0.0,2.5897759386036783,0.16654507643753558
24,6.431996611247104e-06,69120.0,110592.0,0.0,55296.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49,442624.0,2612128.0,1824768.0,359424.0,0.0,359424.0,0.8120300751879699,0.13759815751754892,0.19696969696969696,52.04288890222081,0.0,64.08985392588303,4.12153401452624
25,6.176002681215834e-06,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,147712.0,982624.0,608256.0,119808.0,0.0,119808.0,0.8110918544194108,0.1219265965415052,0.19696969696969696,18.066685003052033,0.0,22.274524031540647,1.4324452753402346
