N,cin,cout,time,ai,tc_perf,perf
256,512,1536,4.59199963629952e-05,110.45658087465998,0.0,8222.20179587734
256,512,2048,6.175999641583653e-05,118.09509343893244,0.0,8404.193634585554
128,2048,2048,0.0001104960016127,57.45677471856775,0.0,9140.690621233423
256,256,4096,5.625600392658815e-05,63.51327197940402,0.0,9096.251320441683
6860,128,128,2.6656002741640533e-05,63.252486227373545,0.0,7907.453321305328
6144,512,128,7.9744003232534e-05,62.75385136616378,0.0,9414.280590928694
1536,512,256,4.480000332878196e-05,110.45658087465998,0.0,8427.755547061148
1536,1024,256,7.907199797568796e-05,110.24038780100787,0.0,9531.34015415579
384,2048,512,8.588800231318505e-05,109.97447164678803,0.0,8753.621395756729
96,1024,4096,8.083199837857298e-05,47.04703988553032,0.0,9310.217384925994
3456,256,256,4.771199766909273e-05,121.4918176308169,0.0,9014.81319388086
288,1024,1024,6.019200065559783e-05,113.63890542761199,0.0,9450.045396006873
216,4096,1024,0.0002086080024944,93.40965532882676,0.0,8472.91124361923
6860,128,128,2.5632000661533848e-05,63.252486227373545,0.0,8223.357208648573
6144,512,128,7.977599869725472e-05,62.75385136616378,0.0,9410.504840233789
1536,512,256,4.464000364174268e-05,110.45658087465998,0.0,8457.962494641062
1536,1024,256,7.923199966397603e-05,110.24038780100787,0.0,9512.09249509404
384,2048,512,8.665600196557472e-05,109.97447164678803,0.0,8676.041331634191
96,1024,4096,8.099199967559863e-05,47.060367062752526,0.0,9291.824866366811
3456,256,256,4.707200066114192e-05,121.4918176308169,0.0,9137.37975978597
288,1024,1024,6.118400296823096e-05,113.39046125329722,0.0,9296.827783027311
216,4096,1024,0.0002071359996725,93.32616618305187,0.0,8533.123612690928
3430,192,192,3.2736003962338907e-05,122.44041593816141,0.0,9690.56042925496
768,768,384,4.905599708170762e-05,128.564733111529,0.0,8639.058069006285
48,3072,1536,6.34240003276043e-05,32.31775676351058,0.0,9236.975659680122
48,1536,6144,0.0001198399964062,30.470810326720745,0.0,9408.907796864427
6860,96,288,3.9807999332878906e-05,139.95784761727128,0.0,8988.418913722307
6144,96,384,4.5343998026618105e-05,181.6285101603186,0.0,9352.335128809298
6144,384,96,4.528000316264235e-05,47.689123322427726,0.0,9401.94755098835
1960,192,576,4.627200232537458e-05,236.78906558023394,0.0,9283.484787774907
1536,192,768,4.6239997018533646e-05,260.6289599305656,0.0,9289.910410576456
588,384,1152,5.744000032500608e-05,213.741920038305,0.0,9264.454483699225
384,384,1536,4.451199874547828e-05,154.96637014536776,0.0,9564.167569244382
96,1536,768,2.6592001007529755e-05,42.831267782225005,0.0,7963.352383651494
96,3072,768,4.470400361796494e-05,42.74896920888289,0.0,9455.506003929979
192,1280,320,2.361600234852389e-05,75.48012889366272,0.0,7803.846374041131
768,256,1024,4.143999672863294e-05,219.82647510112986,0.0,9066.90278803492
3072,256,256,4.668799867677747e-05,120.44796634994555,0.0,8188.91855692601
1576,384,384,4.771199570133891e-05,163.82519979595307,0.0,9628.84939815791
1664,512,256,4.771200099045865e-05,78.07203524549212,0.0,8589.464875358719
1024,1024,320,8.009600128494097e-05,99.02916267628115,0.0,7848.857611986632
782,2048,256,8.940800358907306e-05,99.02021281399094,0.0,8772.164977726366
442,1024,1024,9.689600250998085e-05,125.19524417804854,0.0,9405.093031313436
1024,1024,320,8.009599892066366e-05,99.02916267628115,0.0,7848.857843669565
1024,1024,320,7.887999531441943e-05,99.02916267628115,0.0,7969.854801196714
