N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
64,1600,100,1.1552001092760282e-05,0.0,0.0,0.0,14155776.0,884736.0,663552.0,0.0,0.0,0.0,0.0,1049856.0,7206976.0,3932224.0,29859840.0,0.0,29859840.0,28.441843452816386,4.143185713397686,7.593626405820218,2407.300938002372,0.0
64,640,100,1.0783996771687374e-05,0.0,0.0,0.0,6815744.0,294912.0,221184.0,0.0,0.0,0.0,0.0,420096.0,2864448.0,1325696.0,14147584.0,0.0,14147584.0,33.67702620353443,4.939026297562393,10.671816162981559,1221.8071494662645,0.0
2,1600,100,6.268799576394524e-05,0.0,0.0,0.0,6557696.0,16384.0,12288.0,0.0,0.0,0.0,0.0,653952.0,1621792.0,693056.0,13144064.0,0.0,13144064.0,20.099432374241534,8.104654604289577,18.965370763690093,195.27444411344857,0.0
25,128,4096,1.7343999649239613e-05,0.0,0.0,0.0,16908288.0,524288.0,393216.0,0.0,0.0,0.0,0.0,2519808.0,7686432.0,4554752.0,34734080.0,0.0,34734080.0,13.784415320532357,4.518882102905484,7.625899280575539,1865.1195495104967,0.0
25,256,1,5.055998728461848e-06,0.0,0.0,0.0,6400.0,0.0,6350.0,0.0,0.0,0.0,0.0,26752.0,237536.0,52800.0,19150.0,0.0,19150.0,0.7158343301435407,0.0806193587498316,0.3626893939393939,3.5274588190634653,0.0
256,2048,4096,0.0003076159980636,0.0,0.0,0.0,2190475264.0,9437184.0,0.0,0.0,0.0,0.0,0.0,40019584.0,422149952.0,362920608.0,4390387712.0,0.0,4390387712.0,109.7059807518239,10.400066827438607,12.09737781548079,13292.114887518372,0.0
256,4096,256,0.000175264000339,0.0,0.0,0.0,301006848.0,4718592.0,3538944.0,0.0,0.0,0.0,0.0,8388992.0,82343776.0,64138912.0,610271232.0,0.0,610271232.0,72.746669921726,7.411261198417717,9.514836048357042,3242.875741171405,0.0
256,256,4096,5.625600392658815e-05,0.0,0.0,0.0,272629760.0,4194304.0,0.0,0.0,0.0,0.0,0.0,8651008.0,103219904.0,73347424.0,549453824.0,0.0,549453824.0,63.51327197940402,5.323138297047826,7.491112762187804,9096.251320441683,0.0
1,8192,4096,8.729599706430041e-05,0.0,0.0,0.0,33558528.0,4194304.0,1110016.0,0.0,0.0,0.0,0.0,134270336.0,273957632.0,151078912.0,72421376.0,0.0,72421376.0,0.539369887329395,0.26435246746475016,0.47936124930526375,772.6317886470222,0.0
1,4096,4096,4.672000000012108e-05,0.0,0.0,0.0,16781312.0,2097152.0,585728.0,0.0,0.0,0.0,0.0,67142912.0,136619136.0,75634880.0,36245504.0,0.0,36245504.0,0.5398262142696462,0.2653032734740761,0.4792167846369294,722.5226049535133,0.0
1,4096,101,2.185600000002641e-05,0.0,0.0,0.0,413797.0,53248.0,14443.0,0.0,0.0,0.0,0.0,1671680.0,3771520.0,1871040.0,895285.0,0.0,895285.0,0.5355600354134763,0.23738041956558628,0.47849591670942365,38.149667423756,0.0
