N,cin,cout,time,ai,tc_perf,perf
1024,1024,320,8.307200132239363e-05,99.02916267628115,0.0,7567.677428827422
352,1024,256,2.6464000351383347e-05,81.1495528831329,0.0,7112.77279986737
600,256,768,3.785599932236931e-05,172.96839027955417,0.0,5962.076882345072
8,256,32768,6.780800356534645e-05,15.601674481901691,0.0,7416.966450211553
1700,128,256,1.7952002083969397e-05,113.49246102734475,0.0,5897.990475348476
1024,1024,81,2.953599692776445e-05,45.087042588088906,0.0,6434.977530209464
1600,256,256,2.7583997593586114e-05,111.83838383838383,0.0,7177.450890293467
1024,1024,81,2.966400136661053e-05,45.087042588088906,0.0,6407.209675240689
1025,768,192,4.105600100371289e-05,84.14745849734726,0.0,7138.062538235816
32,2048,2048,3.814399753574719e-05,16.40744580159553,0.0,6826.132376882757
200,256,2048,3.43360040515079e-05,60.30377444292861,0.0,6445.522205510713
200,2048,256,3.283200309220768e-05,69.51935859658741,0.0,7367.040449677134
2,8192,512,3.5903995643492665e-05,16.32270910279209,0.0,7131.308810615785
256,2048,128,2.1216002882659973e-05,45.11091219790056,0.0,6229.808300384426
256,128,3000,2.5696002125334003e-05,121.21971441731921,0.0,7325.358277792924
12544,96,96,2.9536002881153168e-05,47.88101893360055,0.0,7328.464623905224
784,768,384,6.003200298579603e-05,132.08260512893676,0.0,7353.675025117927
784,384,384,3.72159961777721e-05,148.02311149154718,0.0,6647.020466672321
196,3072,768,0.0001619520003657,89.7181138436271,0.0,6111.825636362736
25088,64,64,2.8256004327510808e-05,32.166660040551825,0.0,6826.924610154833
768,2048,81,3.936000068763029e-05,45.73647344327395,0.0,7534.608476707159
25088,64,64,2.892800220167197e-05,32.166660040551825,0.0,6668.3350610701955
6272,128,128,2.7135995793479908e-05,62.96008124365284,0.0,7081.145358602695
1568,320,320,4.208000172222213e-05,141.86824825248888,0.0,7589.506701694597
392,512,512,3.0367999999979385e-05,118.59422093184018,0.0,6734.508357640488
4,4096,1000,4.5567995155123935e-05,17.575423689247863,0.0,5908.897042326827
