N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
1,64,64,64,64,3,3,1,1,1,1,6,2,12377,2.947200683180952e-05,94.9488951454654,0.0,4833.423418124724
2,256,16,12,1024,1,1,1,1,0,0,0,1,4995,3.4880002916987864e-05,137.78073089700996,0.0,5783.250892497917
2,64,64,64,64,3,3,1,1,1,1,6,2,3968,5.056000324236961e-05,111.61535759096613,0.0,5630.2173604579575
2,96,32,24,96,3,3,1,1,1,1,6,2,3136,3.67360012963728e-05,102.66392024388234,0.0,4341.574759682615
2,96,32,32,96,3,3,1,1,1,1,6,2,2624,3.81439964119726e-05,91.09086921558594,0.0,4181.315829558404
2,48,64,64,48,3,3,1,1,1,1,6,2,2624,4.403200097893971e-05,113.31875253138922,0.0,4879.9533798787215
2,1024,24,18,256,1,1,1,1,0,0,0,1,2313,0.0001114879958136,98.31103706788838,0.0,4065.0655946648126
2,64,48,36,64,3,3,1,1,1,1,6,2,2221,2.998399739724533e-05,99.83314198239572,0.0,4454.455029143998
2,32,96,72,32,3,3,1,1,1,1,6,2,2221,3.2416002278134064e-05,71.0090246674243,0.0,4194.368905622697
1,96,48,36,96,3,3,1,1,1,1,6,2,1984,3.775999450619376e-05,110.17958798553232,0.0,4750.048148724686
1,48,96,72,48,3,3,1,1,1,1,6,2,1984,4.025599642322931e-05,122.11918063314711,0.0,5004.362924767951
2,128,24,18,128,3,3,1,1,1,1,6,2,1979,4.646400322796056e-05,99.96116973168526,0.0,4567.096101446151
2,64,64,48,256,1,1,1,1,0,0,1,1,1773,3.551999902550369e-05,122.10383608072716,0.0,5712.259616176124
2,384,12,9,384,3,3,1,1,1,1,6,2,1056,0.0001187200007292,42.20651824261407,0.0,5375.585950809659
1,256,24,18,1024,1,1,1,1,0,0,0,1,1045,4.505599935246136e-05,155.4989427387296,0.0,5222.909165972023
1,32,128,128,32,3,3,1,1,1,1,6,2,1027,3.2576000333620224e-05,64.67309777955363,0.0,4451.897793306633
1,256,16,16,1024,1,1,1,1,0,0,0,1,1021,3.283199644699368e-05,100.88573074707125,0.0,4096.000443260095
2,384,16,16,384,3,3,1,1,1,1,6,2,1011,0.0001194239996606,40.97649495381176,0.0,5343.897121296546
2,256,64,48,64,1,1,1,1,0,0,0,1,983,3.667200226203854e-05,31.619903691813803,0.0,5500.648875363227
1,256,24,18,256,3,3,1,1,1,1,6,2,902,8.345600716398977e-05,60.266783038766455,0.0,5083.484226202681
2,512,32,32,128,1,1,1,1,0,0,0,1,882,6.032000193458636e-05,59.987426415957025,0.0,4454.535666152454
4,128,128,128,128,3,3,2,2,1,1,1,4,765,0.0011031039928587,118.1892690833075,0.0,4467.672342684814
2,512,8,8,2048,1,1,1,1,0,0,0,1,744,6.003200387299051e-05,59.99428408116605,0.0,4475.905894603859
1,48,64,64,48,3,3,1,1,1,1,6,2,576,2.4319998705976092e-05,97.07048763577536,0.0,4421.30549840769
1,192,32,32,192,3,3,1,1,1,1,6,2,560,6.233599219864687e-05,70.43030079664332,0.0,5101.208030613533
2,1024,16,16,512,1,1,1,1,0,0,0,1,478,0.0001073280035398,127.38607249104487,0.0,5004.59375265298
2,128,128,256,128,3,3,2,2,1,1,1,4,455,0.0011047680000567,124.76444061298929,0.0,4426.7741858462605
2,256,64,128,19,1,1,1,1,0,0,0,1,430,4.59519996763708e-05,15.978569254185693,0.0,5848.423439517771
4,144,16,16,144,3,3,1,1,1,1,6,2,400,5.046400290682442e-05,69.79948862871754,0.0,3946.835536763674
4,96,64,64,48,1,1,1,1,0,0,1,1,400,3.619200194719913e-05,31.91785086212124,0.0,5584.466543046298
4,48,128,128,96,3,3,2,2,1,1,1,4,400,0.0004403839970873,77.6475672886194,0.0,4198.3851462102075
1,64,64,64,256,1,1,1,1,0,0,1,1,391,2.950400324489528e-05,118.99200540479676,0.0,4584.676285358107
4,192,32,32,96,1,1,1,1,0,0,0,1,350,2.8959998374113428e-05,46.69799028704544,0.0,5227.492006191611
2,256,12,12,1024,1,1,1,1,0,0,0,1,325,3.360000388478056e-05,110.75262368815592,0.0,4502.673765122038
8,36,28,28,36,3,3,1,1,1,1,6,2,320,3.625599643647793e-05,155.6267847260653,0.0,4964.12405366741
8,18,56,56,18,3,3,1,1,1,1,6,2,320,3.0719998060983945e-05,88.29622679445077,0.0,5489.450346488684
2,512,97,97,19,1,1,1,1,0,0,0,1,315,0.0001072640022559,16.007670133339744,0.0,5761.194743840624
