N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
4,2048,60,60,512,3,3,1,1,12,12,6,2,40,0.0187881920035277,77.98277050042826,0.0,14382.601658598256
4,512,60,60,512,3,3,1,1,1,1,6,2,40,0.0024884480009462,78.38253105563956,0.0,14388.566837798315
4,2048,112,112,512,1,1,1,1,0,0,1,2,40,0.0076920960051731,59.2045961442909,0.0,13683.18710442713
4,1024,128,128,512,1,1,1,1,0,0,1,2,40,0.0049615359974235,56.73329251378927,0.0,13857.206962461441
6,256,128,128,128,3,3,1,1,1,1,6,2,40,0.0019177280039589,65.19574325700937,0.0,14032.4685254879
2,256,168,100,256,3,3,1,1,1,1,6,2,38,0.0014651199996684,113.14560748504341,0.0,14064.14852344086
8,256,100,168,256,3,3,1,1,1,1,6,2,36,0.0055986239998962,125.0994163073224,0.0,14319.389564558425
8,256,35,35,256,3,3,1,1,1,1,6,2,35,0.0006092159954313,229.8088644596428,0.0,13809.10105954151
4,4096,64,64,2048,1,1,1,1,0,0,1,2,35,0.0194145919996691,60.58183076324173,0.0,14160.043197440646
2,720,128,256,720,1,1,1,1,0,0,1,2,35,0.0052568320022692,54.670407979838515,0.0,13796.286244014165
8,128,128,128,128,3,3,1,1,1,1,6,2,35,0.0013034240015715,60.99756303012323,0.0,13831.315705606225
2,256,304,200,256,3,3,1,1,1,1,6,2,35,0.0048627519964908,118.82995743207574,0.0,14238.290729604349
4,256,100,168,256,3,3,1,1,1,1,6,2,34,0.0028377599973765,124.23720127785894,0.0,14126.049990506488
12,512,32,32,512,3,3,1,1,1,1,7,4,30,0.001437696005182,51.96152120549178,0.0,13652.056930849803
2,2048,64,128,512,3,3,1,1,36,36,6,2,30,0.0328206720018994,84.6339967654829,0.0,14457.94098854949
2,512,64,64,512,3,3,1,1,4,4,6,2,30,0.0018330879977584,86.20238635163565,0.0,13736.40836816974
2,2048,64,128,512,3,3,1,1,24,24,6,2,30,0.0239421439951953,73.66790591360156,0.0,14363.94748160459
2,2048,64,128,512,3,3,1,1,12,12,6,2,30,0.016203488002826,75.02525816148868,0.0,14403.242850878556
4,512,112,112,512,3,3,1,1,4,4,6,2,30,0.0093052160016146,82.53013611972756,0.0,14424.994481450984
4,720,128,128,150,1,1,1,1,0,0,1,2,30,0.0017600320035638,58.00225410157096,0.0,13732.148842215009
4,256,128,128,256,3,3,1,1,1,1,6,2,30,0.0025165440058326,117.26162620214983,0.0,14258.394616122941
2,256,128,256,128,3,3,1,1,1,1,6,2,30,0.0012654719954905,101.04647326835457,0.0,14177.270469779183
1,256,152,100,256,3,3,1,1,1,1,6,2,28,0.000673407998443,213.4863935709073,0.0,13845.532060144062
2,256,200,336,256,3,3,1,1,1,1,6,2,28,0.0051308800026263,106.25626299187041,0.0,14340.987793582437
2,256,92,140,256,3,3,1,1,1,1,6,2,27,0.0010685119987349,177.23383800242146,0.0,14169.110495647537
2,2048,32,64,512,3,3,1,1,6,6,6,2,25,0.0047527039961301,76.2084743274441,0.0,14106.327047211456
16,128,64,64,128,3,3,1,1,1,1,6,2,25,0.0006587840029363,69.96020090279103,0.0,13683.558689678206
16,128,64,64,128,3,3,1,1,1,1,6,2,25,0.0006583679987326,69.98161272243796,0.0,13692.204945187952
8,256,69,69,256,3,3,1,1,1,1,6,2,25,0.0017904960019058,105.55761455489521,0.0,14091.3878283697
2,1024,128,256,512,1,1,1,1,0,0,1,2,25,0.0049647999996659,56.68154225511962,0.0,13848.096836252545
2,2048,128,128,512,3,3,1,1,1,1,6,2,25,0.0195170239938845,73.33469698939484,0.0,14646.30588401026
2,512,128,128,512,3,3,1,1,1,1,6,2,25,0.0049457919980711,80.68429081269011,0.0,14475.982096279567
4,128,256,256,64,3,3,1,1,1,1,6,2,25,0.0013029120012667,33.31765930443402,0.0,13836.386272037902
8,512,25,38,512,3,3,1,1,1,1,7,4,24,0.0015708799996661,55.77436487423056,0.0,14078.685845322923
8,128,76,68,256,3,3,1,1,1,1,6,2,22,0.0010312000068519,93.06512566842885,0.0,13659.41315982066
4,256,152,100,256,3,3,1,1,1,1,6,2,21,0.0026417599977508,108.99394403848514,0.0,14113.077984276822
768,512,7,7,512,3,3,1,1,1,1,7,4,20,0.0042776640061208,55.2396172499327,0.0,14054.485583247144
2,4096,64,128,2048,1,1,1,1,0,0,1,2,20,0.0194373440006306,60.58220500195195,0.0,14143.468437204236
2,768,64,64,768,3,3,1,1,1,1,6,2,20,0.0029370880041681,58.41396722115138,0.0,13709.131332414614
8,256,64,64,256,3,3,1,1,1,1,6,2,20,0.0012678399990594,131.73079930233956,0.0,14152.289965067865
2,768,64,64,768,3,3,1,1,1,1,6,2,20,0.0029375999974251,58.405919729249696,0.0,13706.741972798713
2,256,64,128,512,3,3,1,1,2,2,6,2,20,0.001598783995459,194.56460371068906,0.0,14205.607181775438
2,4096,97,97,2048,1,1,1,1,0,0,1,2,20,0.0225337599916235,59.96437589405099,0.0,14058.567121588301
2,2048,97,97,512,3,3,1,1,36,36,6,2,20,0.0352381760010822,83.59222232238827,0.0,14638.247442096846
2,2048,97,97,512,3,3,1,1,12,12,6,2,20,0.0184415999952411,83.33694208408022,0.0,14531.837560578017
2,2048,97,97,512,3,3,1,1,24,24,6,2,20,0.0246251519970102,80.76923722341417,0.0,14690.90086672045
8,128,100,168,128,3,3,1,1,1,1,6,2,20,0.0014675520013567,65.90053893589896,0.0,13723.957860014982
4,320,100,180,320,3,3,1,1,1,1,6,2,20,0.0047578879980527,131.91845716616612,0.0,14346.986635233507
4,512,112,112,512,3,3,1,1,1,1,6,2,20,0.0076263679986438,76.96433429074916,0.0,14374.08570101707
4,720,120,120,720,1,1,1,1,0,0,1,2,20,0.004627680008073,54.9493207195489,0.0,13774.172779621993
4,256,120,120,48,3,3,1,1,1,1,6,2,20,0.0006073600045435,40.67224256455811,0.0,13846.605586617407
4,720,128,128,512,3,3,1,1,1,1,6,2,20,0.0137941440048521,73.1205596168232,0.0,14585.680568886972
2,768,128,128,768,3,3,1,1,1,1,6,2,20,0.0110529599980494,59.87199396650726,0.0,14562.349939600372
2,256,128,128,256,3,3,1,1,1,1,6,2,20,0.0012692800081316,134.75728132939958,0.0,14136.234070535893
2,256,128,256,256,3,3,1,1,1,1,6,2,20,0.0025189119986706,126.60964199546002,0.0,14244.99050500267
2,768,128,128,768,3,3,1,1,1,1,6,2,20,0.0110522880026001,59.87838585695839,0.0,14563.235352004413
4,270,128,128,512,3,3,1,1,1,1,6,2,20,0.0053238399967184,186.64583084560275,0.0,14318.042925216778
2,2048,193,193,512,3,3,1,1,1,1,6,2,20,0.0494735040023174,54.043100120649456,0.0,14668.52362375641
2,512,193,193,512,3,3,1,1,1,1,6,2,20,0.012530656006527,80.02334771827427,0.0,14505.328201278824
2,256,272,200,256,3,3,1,1,1,1,6,2,19,0.0043455679951026,118.59763030573917,0.0,14255.798659649636
8,256,100,152,256,3,3,1,1,1,1,6,2,18,0.0051181440061839,125.49404723990162,0.0,14239.760295908585
8,256,100,156,256,3,3,1,1,1,1,6,2,18,0.0051220799934761,109.9112126305329,0.0,14228.81796083376
1,256,200,304,256,3,3,1,1,1,1,6,2,17,0.0023755200019193,150.86313329918573,0.0,14013.405848447528
1,256,200,304,256,3,3,1,1,1,1,6,2,17,0.0023757119957669,150.52295048284364,0.0,14012.273351027125
4,256,100,152,256,3,3,1,1,1,1,6,2,16,0.002576288000051,124.51141961486789,0.0,14145.341067178277
1,256,200,272,256,3,3,1,1,1,1,6,2,16,0.0021170559967632,150.30678154734952,0.0,14069.258221577218
2,512,32,64,512,3,3,1,1,6,6,6,2,15,0.0012266559961253,84.3225587494215,0.0,13689.057930700206
4,1024,32,64,512,3,3,1,1,1,1,6,2,15,0.0026087040042106,73.54621997331839,0.0,13714.229167531028
2,1024,64,64,2048,1,1,1,1,0,0,1,2,15,0.0025034879983974,69.31076435351656,0.0,13731.448125977045
2,512,64,64,512,3,3,1,1,2,2,6,2,15,0.0018415680058291,62.22493886447826,0.0,13673.155285223142
1,256,96,160,256,3,3,1,1,1,1,6,2,15,0.0006094399954201,281.34608980039127,0.0,13804.025517230664
2,640,97,97,128,3,3,1,1,1,1,6,2,15,0.001147488001313,73.32652191417093,0.0,13856.097254007836
2,512,128,256,512,3,3,1,1,1,1,6,2,15,0.0098686399999923,64.1888559968204,0.0,14508.097213001156
4,128,128,128,1024,3,3,1,1,1,1,6,2,15,0.005165504001949,120.29860509548293,0.0,13961.0919896277
2,2048,128,256,512,3,3,1,1,1,1,6,2,15,0.0388834240042262,50.84987845070233,0.0,14701.477659217167
2,512,128,256,512,3,3,1,1,1,1,6,2,15,0.0098560320008985,82.13798591615385,0.0,14526.65621083087
16,256,160,160,64,3,3,1,1,1,1,6,2,15,0.0039481280061643,31.94912559618442,0.0,14199.246980967073
8,256,160,160,256,3,3,1,1,1,1,6,2,15,0.0078168319970121,114.16286010542049,0.0,14343.763551635462
12,128,256,256,64,3,3,1,1,1,1,6,2,15,0.0038823040009983,31.09508577390215,0.0,13930.344171423292
4,256,78,50,256,3,3,1,1,1,1,6,2,14,0.0008070719961054,120.06195568173722,0.0,13896.777514425465
2,256,100,144,256,3,3,1,1,1,1,6,2,14,0.0011968000002949,160.29222647551853,0.0,13704.2139003665
2,256,100,144,256,3,3,1,1,1,1,6,2,14,0.0011980480042557,158.12775662020778,0.0,13689.938251004744
8,128,100,152,128,3,3,1,1,1,1,6,2,14,0.0013340160013193,66.24827438005505,0.0,13725.279587270496
2,256,184,272,256,3,3,1,1,1,1,6,2,12,0.0038302719995889,107.50305969461559,0.0,14307.588826559013
1,256,136,100,256,3,3,1,1,1,1,6,2,11,0.0006088960018968,234.96167905578346,0.0,13701.273869448023
2,256,144,100,256,3,3,1,1,1,1,6,2,11,0.0012647360029385,120.91355807002525,0.0,13965.398140768255
2,256,148,100,256,3,3,1,1,1,1,6,2,11,0.0013310079983575,121.87086722749264,0.0,14007.11565896425
768,3136,1,1,3136,1,1,1,1,0,0,4,5,10,0.5813711039977046,78.427761447949,0.0,15081.032246973555
768,2048,7,7,512,1,1,1,1,0,0,1,2,10,0.0057598720009484,56.835464717424955,0.0,13705.042687580926
28,512,15,15,512,3,3,1,1,4,4,7,4,10,0.0015799999980572,53.871539616792546,0.0,14050.374012213333
