N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
4,64,64,64,64,3,3,1,1,1,1,6,2,18522,7.199999968392208e-05,122.46965815497342,0.0,7904.028479142901
9,64,40,40,64,3,3,1,1,1,1,6,2,5060,6.640000291248946e-05,145.0014224751067,0.0,9039.143699903452
4,64,128,128,256,1,1,1,1,0,0,1,2,3430,0.0002261119961021,26.40966776054268,0.0,9571.632205762036
2,96,48,36,96,3,3,1,1,1,1,6,2,2816,3.9167997074701496e-05,156.30631737697593,0.0,9144.941859469076
2,256,24,18,1024,1,1,1,1,0,0,1,2,2445,5.5967995776721166e-05,231.3923257635082,0.0,8109.448296320423
4,1024,60,60,256,1,1,1,1,0,0,4,12,2160,0.0192164160168182,9.992910759544431,0.0,9354.431392965018
2,64,128,256,256,1,1,1,1,0,0,1,2,2065,0.0002253760058314,26.45565920534236,0.0,9602.889429228091
2,64,80,80,64,3,3,1,1,1,1,6,2,1920,4.832000292855144e-05,119.21262868908717,0.0,9202.266991943041
2,32,160,160,32,3,3,1,1,1,1,6,2,1920,5.2575999031301686e-05,67.63344542953226,0.0,8617.563153298443
4,256,128,128,64,1,1,1,1,0,0,1,1,1720,0.0002346879980697,14.699091558551146,0.0,9168.248780071715
2,128,40,40,128,3,3,1,1,1,1,6,2,1680,4.732800098645795e-05,132.86385193753614,0.0,9319.334491355401
2,512,64,128,128,1,1,1,1,0,0,1,2,1420,0.0002209280042218,62.389383818645186,0.0,9729.77965184502
2,64,193,193,256,1,1,1,1,0,0,1,2,1380,0.0002892159987087,18.313601075872025,0.0,8509.919931777147
1,48,160,160,48,3,3,1,1,1,1,6,2,1280,6.991999449036364e-05,128.10594473086226,0.0,9598.155447401976
4,18,128,128,18,3,3,1,1,1,1,6,2,1200,5.244799806391864e-05,91.33588150979455,0.0,8397.77456259104
1,192,40,40,192,3,3,1,1,1,1,6,2,1120,6.291199640452415e-05,119.8952722765886,0.0,9447.455270347426
2,256,32,64,1024,1,1,1,1,0,0,4,12,1075,0.0190916800057546,10.108230763804773,0.0,9412.635321450707
4,64,120,120,256,1,1,1,1,0,0,1,2,800,0.0001998719996488,28.894129907703196,0.0,9517.002898566941
2,128,48,36,512,1,1,1,1,0,0,1,1,794,5.683200421185384e-05,221.41144210395115,0.0,8001.729136716752
2,18,128,256,18,3,3,1,1,1,1,6,2,720,5.260800356606314e-05,91.33830594855732,0.0,8372.23300912577
2,256,32,32,1024,1,1,1,1,0,0,1,2,680,0.000122016002586,335.5554136058767,0.0,8817.195721862148
1,96,64,64,96,3,3,1,1,1,1,6,2,640,4.022400128949513e-05,125.4608169440242,0.0,7916.90666744201
1,48,128,128,48,3,3,1,1,1,1,6,2,640,5.459200388551922e-05,123.85651018600531,0.0,7868.735665040232
2,64,96,72,64,3,3,1,1,1,1,6,2,593,6.54080071653215e-05,133.68364336112893,0.0,8157.055857877817
2,256,26,26,1024,1,1,1,1,0,0,1,1,580,8.937600129154644e-05,294.38598686268375,0.0,8087.2351140682085
2,64,128,128,256,1,1,1,1,0,0,1,1,570,0.0001291840035478,48.13254157581002,0.0,8376.659665912859
2,1024,49,49,256,1,1,1,1,0,0,1,2,540,0.000283584002594,121.55771576328243,0.0,8996.862025580216
2,1024,50,76,256,1,1,1,1,0,0,1,2,493,0.0004158720019759,74.61036405927648,0.0,9606.135996218154
1,384,20,20,384,3,3,1,1,1,1,6,2,480,0.0001147840039244,61.87464472700075,0.0,8302.621405572141
4,512,60,60,128,1,1,1,1,0,0,1,2,480,0.0002201919958113,63.30416881111683,0.0,8580.148397487954
4,18,120,120,18,3,3,1,1,1,1,6,2,480,5.225600810382522e-05,97.07062257394759,0.0,7901.892222222262
2,256,96,72,64,1,1,1,1,0,0,1,1,468,5.702399579468204e-05,31.86484300580528,0.0,7959.273314240933
32,512,8,8,512,3,3,1,1,1,1,7,4,400,0.0003033920023248,28.760993522721478,0.0,8327.006792009593
4,256,120,120,64,1,1,1,1,0,0,1,2,400,0.0002094720032233,14.842303538689505,0.0,9028.047523773557
1,128,96,72,128,3,3,1,1,1,1,6,2,390,0.000116927995144,202.4904143172346,0.0,9041.690578017664
2,32,385,385,64,3,3,1,1,1,1,1,6,365,0.001313536000063,76.5153976604721,0.0,8428.467062546442
2,256,128,128,64,1,1,1,1,0,0,1,1,322,0.0001253120041881,18.224852173649072,0.0,8585.282654845329
32,64,300,17,64,9,1,1,1,4,0,5,7,320,0.0005935679948476,16.159638730450293,0.0,7861.740539427382
2,256,64,48,256,1,1,1,1,0,0,1,2,295,8.953600292458721e-05,122.39566627186765,0.0,9011.785266755807
16,64,32,32,64,3,3,1,1,1,1,6,2,285,6.687999288238684e-05,122.47303178888215,0.0,8509.122436672276
2,64,200,304,256,1,1,1,1,0,0,1,2,260,0.0004276160003269,23.66961762304915,0.0,9390.945139868716
2,1024,24,18,512,1,1,1,1,0,0,1,2,247,0.0001106240016263,159.92917475947422,0.0,8193.629037773911
96,36,32,32,36,1,1,1,1,0,0,1,2,240,7.347199968031959e-05,39.71948382345557,0.0,8268.710837371309
2,128,53,53,128,3,3,1,1,1,1,6,2,240,0.0001149440003583,216.52081109925294,0.0,8585.122467670782
2,128,64,64,512,1,1,1,1,0,0,1,2,240,0.0001166080084364,240.32235602990696,0.0,9244.100319129664
32,64,300,17,192,1,1,1,1,0,0,1,2,240,0.0005741119931785,27.52594640090915,0.0,9369.377515037499
