N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
4,256,64,64,1024,1,1,1,1,0,0,1,2,9890,0.0006919360003286,102.08921123711168,0.0,12438.595193648947
4,1024,64,64,256,1,1,1,1,0,0,1,2,9275,0.0006796799970911,59.13467829015626,0.0,12644.375195358436
4,256,64,64,256,3,3,1,1,2,2,6,2,8955,0.0008737279961287,146.19214066750064,0.0,12275.192553656234
2,256,64,128,1024,1,1,1,1,0,0,1,2,5880,0.000688864005165,101.21511845822916,0.0,12494.065219648803
2,1024,64,128,256,1,1,1,1,0,0,1,2,5535,0.000678719998686,59.11744397670932,0.0,12662.259713340121
2,1024,97,97,256,1,1,1,1,0,0,1,2,4115,0.0008260799987403,53.192775913478165,0.0,11988.396841833459
2,256,97,97,256,3,3,1,1,2,2,6,2,4095,0.0009376640038939,165.72914099666934,0.0,13605.445032572175
4,64,128,128,64,3,3,1,1,1,1,6,2,2825,0.0001938559999938,97.50671032353247,0.0,11738.85506805454
4,128,64,64,128,3,3,1,1,1,1,6,2,2515,0.0001834240003518,223.21967046894804,0.0,12290.322376985916
4,256,60,60,1024,1,1,1,1,0,0,1,2,2320,0.0006306240012549,110.60110680458368,0.0,11995.250394763218
4,256,60,60,256,3,3,1,1,2,2,6,2,2160,0.0007429760035343,119.57886118398385,0.0,12077.537025845197
4,512,64,64,2048,1,1,1,1,0,0,1,2,2025,0.0025537919932053,53.26031563609579,0.0,13467.538817377408
4,2048,64,64,512,1,1,1,1,0,0,1,2,1935,0.0025846400025936,110.35926101903351,0.0,13297.065332701162
2,64,128,256,64,3,3,1,1,1,1,6,2,1645,0.0001927040000111,102.2704817128591,0.0,11809.030886068373
2,128,64,128,128,3,3,1,1,1,1,6,2,1520,0.0001833279964419,223.13200136828368,0.0,12296.758486172852
2,512,64,128,2048,1,1,1,1,0,0,1,2,1155,0.0025607999993368,53.28145929444565,0.0,13430.68291506843
2,2048,64,128,512,1,1,1,1,0,0,1,2,1120,0.0025964479970711,59.153722000124255,0.0,13236.593613570793
2,128,97,97,128,3,3,1,1,1,1,6,2,1100,0.0002515200023293,238.43918790233496,0.0,12742.481306929621
4,512,64,64,256,1,1,1,1,0,0,1,2,1085,0.000358943995791,63.87196397465446,0.0,11977.248959203222
2,512,97,97,2048,1,1,1,1,0,0,1,2,915,0.003038432006153,51.70445779378333,0.0,13043.822913838898
4,256,64,64,256,3,3,1,1,1,1,6,2,870,0.0007312960009897,135.09661256691808,0.0,12270.435199776766
4,1024,64,64,512,1,1,1,1,0,0,4,1,755,0.001378752000003,103.5601714855526,0.0,12466.533351873724
2,256,50,76,256,3,3,1,1,1,1,6,2,743,0.000410176002552,316.92407364558886,0.0,11968.049855324389
2,512,64,128,256,1,1,1,1,0,0,1,2,680,0.0003635200029104,63.14760361281783,0.0,11826.478778554734
4,512,64,64,1024,1,1,1,1,0,0,1,2,675,0.0013001919990431,54.741285525109504,0.0,13226.236134860223
4,1024,64,64,256,3,3,1,1,1,1,6,2,675,0.0026946239961429,58.624237699801185,0.0,13271.298794632841
9,64,160,160,64,3,3,1,1,1,1,6,2,660,0.0006271360055249,32.72685647498195,0.0,12755.966006615094
4,64,120,120,64,3,3,1,1,1,1,6,2,600,0.0001745599941684,98.60999621355548,0.0,12221.782993082894
4,2048,60,60,512,1,1,1,1,0,0,1,2,520,0.002347328000008,59.2051280443059,0.0,12868.402541058196
2,32,256,512,64,3,3,1,1,1,1,6,2,485,0.0003956479944942,54.17664873850091,0.0,11725.11695384824
4,512,60,60,2048,1,1,1,1,0,0,1,2,480,0.0023033280016327,55.3011319450445,0.0,13123.827773800662
4,128,60,60,128,3,3,1,1,1,1,6,2,480,0.0001833280009262,240.85818221602253,0.0,12296.758185387624
2,1024,64,128,512,1,1,1,1,0,0,1,2,440,0.0013258239967187,57.45185892548639,0.0,12964.207794201533
2,256,64,128,256,3,3,1,1,1,1,6,2,435,0.0006729600049138,241.40268523396796,0.0,13334.106226936028
2,256,50,68,256,3,3,1,1,1,1,6,2,391,0.000361471994443,315.86029445405217,0.0,12223.592255905027
2,512,64,128,1024,1,1,1,1,0,0,1,2,385,0.0012918400041832,54.91873507962981,0.0,13311.74630319103
48,256,14,14,256,3,3,1,1,1,1,7,4,375,0.000303232007167,37.1841533676643,0.0,12313.934702623834
4,512,64,64,512,1,1,1,1,0,0,1,2,375,0.0006993279971175,98.62764300218326,0.0,12295.122225108516
2,256,100,152,256,3,3,1,1,1,1,6,2,372,0.00132681599968,138.61296974218754,0.0,13047.905653968091
4,512,64,64,150,1,1,1,1,0,0,1,2,355,0.0003483200032869,68.14974677506115,0.0,12337.57709993
12,192,64,64,64,3,3,1,1,1,1,6,2,345,0.0004141759980607,45.09316480790797,0.0,12203.326024844297
2,256,97,97,256,3,3,1,1,1,1,6,2,345,0.0009384640058838,169.78154060531932,0.0,13593.846949927247
2,1024,97,97,512,1,1,1,1,0,0,1,2,340,0.0014951359922612,54.3915588813929,0.0,13247.456952758426
4,64,256,256,64,3,3,1,1,1,1,6,2,330,0.0007005119948335,43.72530965354099,0.0,12993.178296916049
2,1024,50,76,1024,1,1,1,1,0,0,1,2,326,0.0012158399935479,64.59460337664085,0.0,13142.923507039954
4,96,112,112,96,3,3,1,1,1,1,6,2,320,0.0003009920013293,108.46039349871685,0.0,12940.52641531389
4,48,224,224,48,3,3,1,1,1,1,6,2,320,0.0004300159945132,70.97208818764916,0.0,12232.634774329374
2,512,97,97,1024,1,1,1,1,0,0,1,2,305,0.0015522560032556,52.1615403768395,0.0,12766.183200733909
2,1024,97,97,2048,1,1,1,1,0,0,1,2,305,0.0058262080012706,55.89714925508057,0.0,13598.38144582581
4,192,56,56,192,3,3,1,1,1,1,6,2,280,0.000329343996095,253.72780429694382,0.0,11754.60876743389
2,512,97,97,512,1,1,1,1,0,0,1,2,280,0.0008000640064609,52.87375026553762,0.0,12384.24948002485
20,64,64,64,64,3,3,1,1,1,1,6,2,275,0.0002303999967566,45.97166316024651,0.0,12345.920173796689
2,512,64,128,512,1,1,1,1,0,0,1,2,270,0.000691680003278,54.27339654715505,0.0,12431.070956585341
2,1024,50,68,256,1,1,1,1,0,0,1,2,256,0.0002884480012643,80.16055529371438,0.0,12453.076493009401
2,512,50,76,1024,1,1,1,1,0,0,1,2,255,0.000647104004526,185.98252479228088,0.0,12353.094958599995
2,64,184,248,64,3,3,1,1,1,1,6,2,243,0.0002655360028968,83.89174993762884,0.0,12319.004927069424
8,256,40,40,256,3,3,1,1,1,1,6,2,240,0.0005688000003792,107.86318040573272,0.0,12326.36758671913
2,1024,50,68,1024,1,1,1,1,0,0,1,2,228,0.0010846080048488,69.4408041006759,0.0,13247.42213939589
48,64,56,56,64,3,3,1,1,1,1,6,2,225,0.0004655360006636,34.426933334316985,0.0,12830.776995732867
2,256,100,136,256,3,3,1,1,1,1,6,2,216,0.0011904319986287,135.44068610388928,0.0,13012.28162032249
2,256,50,84,256,3,3,1,1,1,1,6,2,207,0.0004755840039208,353.1461286386346,0.0,12384.874073647106
2,1024,76,50,1024,1,1,1,1,0,0,1,2,182,0.0012198399980698,69.00529528686305,0.0,13099.826253676943
256,512,8,8,512,1,1,1,1,0,0,1,2,180,0.0006979200035542,58.52641924022576,0.0,12319.926576416376
256,512,8,8,512,1,1,1,1,0,0,1,2,180,0.0006956800009909,58.44738687599733,0.0,12359.595198586816
256,256,14,14,1024,1,1,1,1,0,0,1,2,180,0.0021823039941939,42.912540211822034,0.0,12078.085813033644
2,256,64,64,256,3,3,1,1,1,1,6,2,174,0.0003587840042158,284.81640012670465,0.0,12510.481479827173
2,64,200,304,64,3,3,1,1,1,1,6,2,174,0.0003372800071142,78.60175666852533,0.0,12518.351159102069
2,128,100,152,128,3,3,1,1,1,1,6,2,173,0.0003525440006949,182.69704910328906,0.0,12986.033921938835
2,256,76,50,256,3,3,1,1,1,1,6,2,171,0.0004119680045566,301.38068189632645,0.0,13616.956816920183
4,64,64,64,256,3,3,1,1,1,1,6,2,170,0.0001934720045341,344.0057256707353,0.0,11765.837633624069
1,64,256,256,64,3,3,1,1,1,1,6,2,170,0.000192991996451,101.87607657969984,0.0,11791.408606821575
9,128,40,40,256,3,3,1,1,1,1,6,2,165,0.000355008005874,263.64787872766243,0.0,13394.471745202567
9,128,80,80,128,3,3,1,1,1,1,6,2,165,0.0005897920002752,62.37950762427554,0.0,13433.589923741041
9,64,80,80,128,3,3,1,1,1,1,6,2,165,0.0003193920003566,81.45912539847622,0.0,12524.481300514008
6,256,128,128,256,3,3,1,1,1,1,6,2,165,0.0039726399970614,74.19836538956991,0.0,13547.896550357409
6,256,128,128,256,3,3,1,1,1,1,6,2,165,0.0039761600022664,76.04320876241583,0.0,13535.902901624238
8,768,32,32,768,1,1,1,1,0,0,1,2,160,0.000811487999312,123.52212215747444,0.0,11916.3411907489
4,512,32,32,512,3,3,1,1,1,1,6,2,160,0.0006775999983538,112.22322480346826,0.0,13227.13013839212
4,1024,60,60,512,1,1,1,1,0,0,1,2,160,0.0012050560002916,56.89885833378731,0.0,12536.23665318826
4,1024,60,60,2048,1,1,1,1,0,0,1,2,160,0.0044511039999763,56.33688120699385,0.0,13575.83844374828
4,512,60,60,1024,1,1,1,1,0,0,1,2,160,0.0011764479996454,56.85716803344403,0.0,12847.35067300524
4,256,60,60,256,3,3,1,1,1,1,6,2,160,0.0006622720015775,125.16576112314058,0.0,12702.82486344175
2,512,100,152,256,1,1,1,1,0,0,1,2,160,0.0006350079945041,53.42532456399037,0.0,12561.983579796484
2,48,256,256,48,3,3,1,1,1,1,6,2,160,0.0002795520045112,86.85195768462816,0.0,12288.637164332577
4,64,128,128,256,3,3,1,1,1,1,6,2,155,0.0007001920052089,93.26644301111371,0.0,13000.134083627923
4,64,256,256,3,3,3,1,1,1,1,6,2,155,0.0003541439951562,58.86360821840698,0.0,12850.53166577834
256,1024,14,14,256,1,1,1,1,0,0,1,2,150,0.0020135680026002,54.95381737227097,0.0,13071.085610226504
256,256,14,14,256,3,3,1,1,1,1,4,5,150,0.0016620159955145,40.84412519515953,0.0,12193.364120858845
4,256,32,32,256,3,3,1,1,2,2,6,2,150,0.0003462079997228,389.9220323303723,0.0,12155.303087650922
1,64,128,128,256,3,3,1,1,1,1,6,2,150,0.0001932799977423,369.5006025348016,0.0,11777.525965387627
2,256,68,50,256,3,3,1,1,1,1,6,2,134,0.0003647680022822,291.0845356651966,0.0,12113.141076945865
4,64,100,168,64,3,3,1,1,1,1,6,2,128,0.0002113600000125,95.76886282981022,0.0,12028.279181726186
32,64,56,56,64,3,3,1,1,1,1,6,2,125,0.0003208960003407,35.14216939327157,0.0,12409.643385308744
4,64,224,224,64,3,3,1,1,1,1,6,2,125,0.0005521279980671,53.18306865282064,0.0,12621.494422300784
2,256,100,168,256,3,3,1,1,1,1,6,2,124,0.0014665280007408,131.3878249863765,0.0,13047.213242662006
256,128,28,28,512,1,1,1,1,0,0,1,2,120,0.0022525439987416,32.670722036569266,0.0,11724.270491832267
