N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
2,256,97,97,1024,1,1,1,1,0,0,1,2,4380,0.0008481920045327,74.88822199605856,0.0,11692.903280153052
4,96,64,64,96,3,3,1,1,1,1,6,2,3200,0.0001168320000035,175.3130721605842,0.0,10889.097781103535
4,48,128,128,48,3,3,1,1,1,1,6,2,3200,0.0001522560077545,117.00091543954176,0.0,11281.956550244773
4,128,64,64,512,1,1,1,1,0,0,1,2,3060,0.0002093760013261,91.97909510416952,0.0,10296.65406897451
4,192,32,32,192,3,3,1,1,1,1,6,2,2800,0.0001159360035794,184.04080265068313,0.0,10915.859447693321
4,512,64,64,128,1,1,1,1,0,0,1,2,2320,0.0002199680022197,62.88466003130453,0.0,9772.243136767856
2,96,64,64,96,3,3,1,1,1,1,6,2,2240,6.505599805242771e-05,154.8254492230077,0.0,9781.800587966733
2,48,128,128,48,3,3,1,1,1,1,6,2,2240,8.291200031509183e-05,129.87497580801238,0.0,10359.92277035499
2,192,32,32,192,3,3,1,1,1,1,6,2,1960,6.492799936713234e-05,119.5353642639888,0.0,9762.192308067026
2,128,64,128,512,1,1,1,1,0,0,1,2,1870,0.0002089280006252,92.93732170151247,0.0,10318.733006340595
2,256,24,18,256,3,3,1,1,1,1,6,2,1768,8.176000092182654e-05,112.914379577031,0.0,10331.37835709713
2,96,64,128,96,3,3,1,1,1,1,6,2,1600,0.0001165440009801,175.3285351397121,0.0,10916.006497985501
2,48,128,256,48,3,3,1,1,1,1,6,2,1600,0.0001523520016094,121.39311979303295,0.0,11274.848022042768
9,64,80,80,64,3,3,1,1,1,1,6,2,1430,0.0001749760019282,85.97444841815681,0.0,11430.765053259867
2,192,32,64,192,3,3,1,1,1,1,6,2,1400,0.0001144959973767,184.07849416320678,0.0,11053.147262749104
2,128,97,97,512,1,1,1,1,0,0,1,2,1380,0.0002458560035743,79.46724414422174,0.0,10087.530245119664
4,96,60,60,96,3,3,1,1,1,1,6,2,1280,0.0001182079986709,193.38503745500535,0.0,10762.343380348457
4,48,120,120,48,3,3,1,1,1,1,6,2,1280,0.0001402559980528,125.60005590551967,0.0,11481.845470835113
